SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,18057
0,0,0,0,1,0,1,0,0,1,0,0,0,1,19141
0,1,0,1,0,1,0,1,0,0,1,0,1,1,19094
1,1,0,0,0,1,0,0,1,1,0,1,0,1,17979
1,0,0,1,1,1,0,1,1,1,0,0,1,1,19019
1,1,1,1,0,0,1,0,1,1,1,0,1,0,19014
0,1,1,1,1,1,1,0,0,1,0,1,1,0,18431
1,0,1,0,1,0,0,1,1,1,0,0,0,1,18961
1,0,1,1,1,0,1,0,1,1,1,1,1,0,18037
1,0,0,1,1,1,0,1,1,0,1,1,0,0,17945
0,1,0,1,0,1,1,0,0,1,0,1,0,0,18401
0,0,0,1,0,1,0,1,0,1,1,1,0,0,17890
0,1,0,0,1,1,0,0,1,0,1,0,1,0,18925
0,1,1,1,1,0,0,1,0,1,0,0,1,0,19445
1,1,0,1,1,0,0,1,1,0,1,0,0,0,19188
0,0,1,0,1,1,0,1,1,1,0,0,0,0,18936
1,0,0,0,1,0,0,1,1,0,0,1,0,1,18003
1,1,0,0,0,0,0,1,0,0,1,1,1,1,17821
1,1,0,1,0,0,1,0,0,1,0,1,0,0,18193
0,0,0,0,0,1,0,1,1,0,0,1,0,1,17836
0,1,1,1,1,0,0,0,0,1,0,0,1,1,20216
1,0,0,0,1,1,0,0,1,1,1,0,0,0,19705
0,1,1,1,0,0,0,0,0,0,1,0,1,1,20315
1,1,1,1,1,0,0,1,0,1,1,0,1,0,19878
1,1,0,1,0,0,0,0,1,1,0,0,1,1,19824
0,0,1,0,0,0,1,0,1,1,0,1,0,0,18766
0,1,1,0,1,1,0,1,1,0,0,1,1,0,18934
1,0,0,1,1,0,1,1,0,0,0,1,1,0,19400
1,1,1,0,0,0,1,0,1,0,0,0,0,1,19986
0,0,0,0,1,0,0,0,1,0,1,0,1,0,20675
0,0,0,0,1,0,0,0,0,1,1,1,1,0,18989
1,0,1,1,1,1,0,1,0,0,0,1,0,0,18899
0,1,0,1,0,0,0,0,1,0,0,0,0,1,20127
0,1,0,1,0,0,0,0,0,0,1,1,0,1,16542
1,1,0,1,1,1,0,1,0,0,0,0,0,0,16931
0,1,1,0,0,0,1,0,0,1,1,1,0,0,16189
0,1,1,0,0,0,0,1,0,1,1,0,0,1,16897
1,1,1,0,1,1,0,0,1,0,1,1,1,1,18637
0,0,0,0,1,0,1,0,1,0,1,0,1,0,19854
0,0,0,1,1,1,0,0,0,0,0,1,1,1,18711
1,0,0,0,1,0,1,1,0,0,1,0,1,0,19932
1,0,0,1,0,1,0,1,1,0,0,0,1,0,20060
0,1,1,0,0,0,1,1,1,1,1,1,0,0,18758
1,0,1,1,0,0,0,0,1,1,1,0,1,0,20940
0,0,0,1,1,0,0,1,0,1,1,0,1,1,20064
1,1,1,1,1,0,0,1,1,1,0,0,1,0,19913
1,0,1,0,0,1,1,1,1,0,1,1,0,1,18900
0,1,0,1,1,1,0,0,1,1,0,0,1,0,19992
0,1,1,1,1,1,1,0,1,1,1,0,1,0,20155
0,1,0,1,0,0,1,1,1,1,1,0,0,0,20413
1,0,1,1,1,0,1,0,1,1,0,1,1,0,18946
1,0,0,1,1,1,1,0,0,0,1,1,1,0,19003
1,0,0,1,0,0,1,1,0,0,0,0,0,1,20172
1,1,1,0,0,1,0,0,1,0,1,0,1,1,20262
0,0,1,1,0,1,0,1,1,1,0,0,0,0,19273
1,0,0,0,1,1,0,1,0,1,1,1,1,0,18092
1,1,1,0,0,0,0,1,0,0,0,0,0,1,19156
0,0,1,0,1,1,1,0,0,0,1,0,0,0,19312
1,1,1,0,0,0,0,0,0,1,1,0,0,0,19121
0,0,0,0,0,1,1,1,1,0,0,1,1,0,17980
0,0,1,1,1,0,1,1,0,0,1,0,0,0,19600
0,1,0,0,0,1,1,1,1,1,0,1,1,0,18375
0,0,0,1,0,0,0,0,0,1,1,0,0,1,19080
1,0,0,0,1,1,0,1,0,1,1,1,0,0,17926
0,0,1,1,0,0,1,1,0,1,1,1,1,0,17863
0,1,1,1,1,0,1,0,0,0,1,0,1,0,19021
0,0,0,1,0,0,0,0,0,1,0,1,1,0,17864
0,1,0,1,0,0,1,0,0,1,1,0,1,1,18931
0,0,1,1,1,0,1,0,1,1,1,0,1,0,19384
0,0,0,1,1,0,1,0,1,1,0,0,1,0,19817
0,0,1,0,0,0,0,0,1,0,1,0,1,1,19070
0,0,1,0,1,0,1,0,0,0,0,0,0,1,19413
0,1,1,1,1,1,1,0,1,1,0,1,1,1,18265
1,1,0,1,0,0,0,1,0,1,0,1,0,0,17815
1,0,1,1,0,0,0,1,1,1,1,0,0,0,18852
1,1,0,0,1,1,1,0,0,0,0,1,1,0,17788
1,0,0,1,1,1,1,0,1,1,1,1,0,1,17785
0,0,0,0,0,1,0,1,0,0,0,0,0,1,18847
1,1,1,1,1,1,1,1,1,1,1,0,0,1,19505
0,0,1,1,0,0,1,1,0,0,1,1,0,0,17771
1,1,1,0,1,0,1,1,1,1,0,1,0,0,17718
0,0,0,1,1,0,0,0,0,1,1,0,1,0,18783
1,1,0,0,1,0,0,0,1,0,0,1,1,0,17707
0,1,0,1,1,0,0,0,0,0,0,1,1,0,17680
1,0,0,1,0,1,0,0,1,1,1,1,1,0,17751
1,1,1,1,1,1,0,0,1,1,1,0,0,0,18762
1,0,1,0,1,1,0,0,1,1,1,1,0,1,17719
0,0,1,1,0,1,0,1,0,0,1,1,0,1,18364
0,1,0,1,0,0,1,1,1,1,1,0,1,1,18720
1,0,0,1,1,1,1,0,1,0,0,1,1,0,17726
1,0,0,1,1,0,1,0,1,1,0,1,1,0,18588
0,0,1,1,0,0,0,0,1,1,0,0,1,0,19987
0,0,0,0,1,1,1,1,1,0,1,0,1,0,19821
1,0,0,1,1,1,1,1,1,0,1,0,0,1,19786
1,1,0,0,0,1,0,0,1,0,0,1,0,0,18739
1,0,1,1,0,0,0,0,0,0,1,1,0,0,18701
1,0,1,0,1,0,0,0,1,0,0,1,0,0,18792
0,1,1,1,1,1,0,1,1,0,0,0,0,0,20432
0,1,0,0,0,1,0,0,1,0,1,1,0,0,18939
1,0,0,0,1,1,0,0,0,1,1,0,0,1,19981
1,1,0,1,1,0,0,1,1,0,0,1,0,0,18924
1,0,1,1,0,1,0,1,1,1,1,0,1,1,20382
0,1,1,0,1,1,1,0,0,1,1,0,0,1,20114
1,1,0,1,0,0,1,1,0,0,1,1,1,0,18954
0,1,0,1,1,0,1,1,0,1,1,0,1,0,20773
1,0,0,1,1,0,1,1,0,1,0,1,0,1,19055
1,1,1,0,1,0,0,0,1,0,0,0,0,1,20331
0,0,1,1,0,0,1,0,0,1,0,1,0,1,18304
