Index, $Training_time, <$Testing_time, <$Accuracy
0,0.027022838592529297,0.0009379386901855469,70.8661417323
1,0.02623605728149414,0.0008854866027832031,79.1338582677
2,0.02656269073486328,0.0008363723754882812,67.3228346457
3,0.027428388595581055,0.0009603500366210938,78.3464566929
4,0.027351856231689453,0.000946044921875,68.5039370079
5,0.026296377182006836,0.0009374618530273438,79.1338582677
6,0.02697920799255371,0.0008795261383056641,66.9291338583
7,0.02701115608215332,0.0009305477142333984,78.7401574803
8,0.031313180923461914,0.0009150505065917969,70.8661417323
9,0.03119349479675293,0.00098419189453125,77.1653543307
10,0.03157615661621094,0.0009305477142333984,69.6850393701
11,0.03343677520751953,0.0009431838989257812,78.3464566929
12,0.03111410140991211,0.0008630752563476562,70.4724409449
13,0.03198814392089844,0.0009872913360595703,77.9527559055
14,0.032740116119384766,0.0009248256683349609,68.5039370079
15,0.03307390213012695,0.0009367465972900391,77.1653543307
16,0.02226853370666504,0.0008916854858398438,70.0787401575
17,0.02270221710205078,0.0008883476257324219,78.3464566929
18,0.023294925689697266,0.0008709430694580078,66.9291338583
19,0.024024009704589844,0.0009398460388183594,78.3464566929
20,0.022417783737182617,0.0008978843688964844,68.1102362205
21,0.02272963523864746,0.0009095668792724609,78.3464566929
22,0.023394107818603516,0.0008654594421386719,66.9291338583
23,0.02290630340576172,0.0009129047393798828,78.3464566929
24,0.02703857421875,0.0009250640869140625,70.0787401575
25,0.027060270309448242,0.0009298324584960938,78.7401574803
26,0.027315139770507812,0.0008828639984130859,67.3228346457
27,0.02764296531677246,0.0009698867797851562,77.9527559055
28,0.0271761417388916,0.0009245872497558594,68.1102362205
29,0.027077436447143555,0.0009136199951171875,78.7401574803
30,0.027573823928833008,0.0008466243743896484,67.3228346457
31,0.02829742431640625,0.0008945465087890625,78.3464566929
32,0.026329517364501953,0.0009057521820068359,70.8661417323
33,0.026544809341430664,0.0009603500366210938,79.1338582677
34,0.027033567428588867,0.0009160041809082031,67.3228346457
35,0.027692794799804688,0.0009436607360839844,78.3464566929
36,0.02650284767150879,0.0008382797241210938,68.5039370079
37,0.02736520767211914,0.0010063648223876953,79.1338582677
38,0.026976346969604492,0.0008673667907714844,66.9291338583
39,0.027685165405273438,0.0010027885437011719,78.7401574803
40,0.03273630142211914,0.0009448528289794922,70.8661417323
41,0.03185844421386719,0.0010116100311279297,77.1653543307
42,0.03247952461242676,0.0009036064147949219,69.6850393701
43,0.03426480293273926,0.0009424686431884766,78.3464566929
44,0.03180265426635742,0.0009305477142333984,70.4724409449
45,0.03231072425842285,0.0009443759918212891,77.9527559055
46,0.03330421447753906,0.0008487701416015625,68.5039370079
47,0.03385639190673828,0.0009441375732421875,77.1653543307
48,0.02353811264038086,0.0008785724639892578,70.0787401575
49,0.0228273868560791,0.0008919239044189453,78.3464566929
50,0.023769855499267578,0.0008273124694824219,66.9291338583
51,0.024590730667114258,0.0009255409240722656,78.3464566929
52,0.022760391235351562,0.0008890628814697266,68.1102362205
53,0.023215293884277344,0.0009276866912841797,78.3464566929
54,0.024007081985473633,0.0008983612060546875,66.9291338583
55,0.024537324905395508,0.000926971435546875,78.3464566929
56,0.02785491943359375,0.0008907318115234375,70.0787401575
57,0.028891801834106445,0.0009169578552246094,78.7401574803
58,0.029547691345214844,0.0008683204650878906,67.3228346457
59,0.030347824096679688,0.0009467601776123047,77.9527559055
60,0.02799224853515625,0.0009398460388183594,68.1102362205
61,0.0285642147064209,0.0009124279022216797,78.7401574803
62,0.02932286262512207,0.0008749961853027344,67.3228346457
63,0.029706478118896484,0.0009603500366210938,78.3464566929
64,0.026232481002807617,0.0008335113525390625,66.9291338583
65,0.026507854461669922,0.0008795261383056641,75.1968503937
66,0.025500774383544922,0.0006062984466552734,66.9291338583
67,0.026749372482299805,0.0008747577667236328,75.1968503937
68,0.025771617889404297,0.0005922317504882812,66.9291338583
69,0.027050256729125977,0.000823974609375,75.1968503937
70,0.024981021881103516,0.0005476474761962891,66.9291338583
71,0.027749300003051758,0.0009453296661376953,74.8031496063
72,0.03145027160644531,0.0006461143493652344,66.9291338583
73,0.03148818016052246,0.0007665157318115234,74.0157480315
74,0.03110480308532715,0.0007078647613525391,66.9291338583
75,0.032645463943481445,0.0007297992706298828,74.0157480315
76,0.03097057342529297,0.0006527900695800781,66.9291338583
77,0.03462648391723633,0.0006952285766601562,74.0157480315
78,0.03175044059753418,0.000690460205078125,66.9291338583
79,0.03206205368041992,0.0007090568542480469,74.0157480315
80,0.02238774299621582,0.0007655620574951172,66.9291338583
81,0.02311563491821289,0.00078582763671875,74.8031496063
82,0.021548032760620117,0.0005867481231689453,66.9291338583
83,0.022847652435302734,0.0008664131164550781,74.8031496063
84,0.02121424674987793,0.0005695819854736328,66.9291338583
85,0.022831439971923828,0.0008394718170166016,74.8031496063
86,0.021498441696166992,0.0006046295166015625,66.9291338583
87,0.022897958755493164,0.0008823871612548828,74.8031496063
88,0.026465415954589844,0.0006539821624755859,66.9291338583
89,0.026813030242919922,0.0006480216979980469,74.0157480315
90,0.026218414306640625,0.0006363391876220703,66.9291338583
91,0.027217864990234375,0.0006496906280517578,74.0157480315
92,0.026702404022216797,0.000640869140625,66.9291338583
93,0.027471542358398438,0.0006508827209472656,74.0157480315
94,0.02673482894897461,0.0006253719329833984,66.9291338583
95,0.027905941009521484,0.0007140636444091797,74.0157480315
96,0.027400970458984375,0.0008561611175537109,66.9291338583
97,0.027390718460083008,0.0008063316345214844,75.1968503937
98,0.026142120361328125,0.0006051063537597656,66.9291338583
99,0.02740478515625,0.0008509159088134766,75.1968503937
100,0.026150941848754883,0.0005848407745361328,66.9291338583
101,0.027043581008911133,0.0008575916290283203,75.1968503937
