topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4,10,2,1000000,10,0,1,1000,1024,10000,2,29,0.000413059476643
4,1,2,1000000,10,0,1000,10,1024,100,2,0,0.218600835095
2,1,2,10,10,1,1000,10,1024,100,2,29,0.261789079108
4,10,2,10,10,1,1000,10,1024,100,2,29,0.670568074424
4,1,2,1000000,10,0,1000,1000,512,10000,5,29,0.203332448828
2,1,4,10,10,0,1000,10,512,100,2,29,0.255716494798
4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,0.205921913459
4,10,2,10,1,0,1000,1000,1024,10000,2,0,0.0214843213864
4,10,4,1000000,1,0,1000,1000,1024,10000,2,29,0.0101016570744
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,0.579097621902
4,10,4,1000000,1,0,1000,1000,512,10000,5,0,0.0116022655528
4,10,2,10,10,0,1000,10,1024,100,5,0,0.509560279016
4,1,4,1000000,1,0,1000,1000,512,10000,5,29,0.0223261261426
2,1,4,10,10,0,1,1000,1024,10000,2,29,0.000402602274703
4,10,2,10,10,1,1000,1000,1024,10000,2,29,0.625546334337
2,10,4,10,10,1,1,10,1024,100,2,0,0.000439202481494
4,10,2,1000000,10,0,1000,10,512,100,5,29,0.200739934181
4,10,2,10,10,1,1000,10,1024,100,5,0,0.71447263677
4,10,4,10,10,0,1,10,512,100,5,0,0.000591703343124
4,1,2,10,10,0,1000,10,512,100,5,29,0.764926021832
4,10,4,10,10,1,1,1000,512,10000,5,0,0.000629523556808
4,1,2,1000000,1,1,1000,1000,512,10000,5,0,0.0267547511643
4,10,4,10,1,1,1000,1000,512,10000,2,29,0.0171288967783
2,10,2,10,10,1,1000,10,1024,100,2,0,0.278820375335
4,1,2,10,10,1,1,1000,512,10000,5,29,0.000512402895076
4,10,4,10,1,0,1000,1000,1024,10000,2,29,0.0144570816825
4,1,4,10,1,0,1000,10,512,100,5,29,0.0112850637606
4,1,4,10,10,1,1,1000,512,10000,2,29,0.00102480579015
4,10,2,10,10,1,1,10,1024,100,2,0,0.000592923350017
4,1,4,1000000,10,0,1000,1000,1024,10000,2,29,0.501979156182
4,10,2,1000000,10,0,1000,1000,512,10000,5,0,0.212299499492
4,1,2,10,10,1,1,1000,512,10000,2,29,0.000739324177182
2,1,2,10,10,0,1,1000,512,10000,2,29,0.0
2,10,2,10,10,1,1000,10,512,100,2,0,0.313334370339
4,10,2,1000000,10,0,1,1000,512,10000,5,0,0.000263521488896
