topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
2,10,2,10,1,true,1000,1000,512,10000,5,0,nan
4,1,2,1000000,1,false,1000,1000,1024,10000,5,0,nan
4,1,4,10,1,false,1,1000,1024,10000,2,29,nan
2,1,4,10,1,true,1000,1000,1024,10000,5,0,nan
4,10,2,1000000,10,false,1,1000,1024,10000,2,29,1.4285714285714286
4,10,2,10,1,true,1,1000,512,10000,5,0,nan
4,1,2,1000000,10,false,1000,10,1024,100,2,0,597.56666666666661
2,1,2,10,1,true,1000,1000,1024,10000,2,0,nan
2,10,4,1000000,1,false,1000,1000,512,10000,2,0,nan
2,1,2,1000000,1,true,1,1000,1024,10000,5,0,nan
2,1,2,10,10,true,1000,10,1024,100,2,29,715.56666666666661
4,10,2,10,10,true,1000,10,1024,100,2,29,1832.4428571428568
4,1,4,10,1,true,1,10,1024,100,2,29,nan
4,1,2,1000000,10,false,1000,1000,512,10000,5,29,555.85000000000002
4,1,2,1000000,10,false,1,1000,512,10000,2,29,nan
4,10,2,10,1,true,1,10,1024,100,2,0,nan
4,10,4,10,1,false,1,1000,1024,10000,5,29,nan
2,1,2,10,10,false,1,10,512,100,2,0,nan
4,1,2,10,1,false,1000,1000,512,10000,2,29,nan
2,1,2,1000000,10,true,1000,10,1024,100,2,0,nan
2,1,2,1000000,10,false,1000,10,1024,100,5,29,nan
2,1,2,1000000,1,false,1000,10,1024,100,2,0,nan
4,1,4,10,10,false,1,1000,512,10000,2,0,nan
4,1,4,1000000,10,true,1000,1000,512,10000,2,0,nan
2,10,2,1000000,1,true,1000,10,512,100,5,0,nan
2,1,4,1000000,1,true,1,1000,512,10000,2,29,nan
4,10,2,1000000,1,false,1,10,1024,100,5,0,nan
4,10,2,1000000,1,false,1,1000,1024,10000,2,0,nan
2,1,4,1000000,10,false,1000,10,512,100,5,29,nan
4,1,2,1000000,10,true,1000,10,512,100,5,0,nan
2,1,4,10,10,false,1000,10,512,100,2,29,698.97500000000002
2,1,2,10,1,false,1000,10,512,100,5,29,nan
4,10,4,1000000,1,false,1,10,1024,100,2,29,nan
2,1,4,10,1,false,1000,10,512,100,2,29,nan
4,10,2,1000000,10,false,1000,1000,1024,10000,2,29,562.92499999999995
2,10,2,1000000,10,false,1000,1000,512,10000,2,29,nan
2,1,4,1000000,1,true,1000,1000,1024,10000,5,0,nan
2,1,4,10,10,true,1,1000,1024,10000,5,0,nan
2,1,4,10,1,false,1000,1000,512,10000,2,0,nan
4,10,4,1000000,10,true,1000,10,1024,100,5,0,nan
2,10,2,1000000,1,true,1,10,512,100,5,0,nan
4,10,4,10,1,false,1000,1000,1024,10000,2,29,nan
4,1,2,1000000,1,true,1000,1000,1024,10000,2,0,nan
2,1,2,1000000,1,true,1,10,1024,100,2,0,nan
2,1,4,10,10,false,1,1000,512,10000,2,29,nan
4,10,2,10,1,false,1000,1000,1024,10000,2,0,59.0
2,1,2,10,1,true,1000,1000,1024,10000,5,0,nan
2,10,4,1000000,10,true,1000,1000,512,10000,5,29,nan
4,10,2,1000000,10,true,1000,10,512,100,2,29,nan
2,10,4,1000000,10,false,1000,10,512,100,5,29,nan
4,10,4,1000000,1,false,1000,1000,1024,10000,2,29,27.899999999999999
2,10,2,10,1,false,1,10,1024,100,5,0,nan
4,10,2,10,1,false,1,10,512,100,5,0,nan
4,1,2,1000000,10,false,1000,1000,512,10000,2,0,1582.5250000000001
4,10,2,1000000,1,true,1,10,512,100,2,0,nan
4,10,4,1000000,1,false,1000,1000,512,10000,5,0,32.0
4,10,2,10,10,false,1000,10,1024,100,5,0,1392.5333333333333
4,1,4,1000000,1,false,1000,1000,512,10000,5,29,61.299999999999997
2,1,4,10,10,false,1,1000,1024,10000,2,29,1.3999999999999999
2,1,4,10,1,true,1,10,1024,100,2,0,nan
2,1,4,1000000,10,true,1000,10,512,100,2,0,nan
2,1,2,10,1,false,1000,1000,512,10000,5,29,nan
2,1,2,1000000,10,true,1000,1000,512,10000,2,0,nan
2,10,2,1000000,1,true,1000,1000,512,10000,5,0,nan
4,10,2,10,10,true,1000,1000,1024,10000,2,29,1709.4333333333334
4,10,2,1000000,10,true,1000,1000,512,10000,5,29,nan
4,10,4,1000000,1,false,1,10,1024,100,2,0,nan
2,10,4,10,10,true,1,10,1024,100,2,0,1.5
4,10,2,10,1,false,1,1000,512,10000,5,0,nan
4,10,2,1000000,10,false,1000,10,512,100,5,29,548.76666666666665
2,10,2,1000000,10,true,1000,1000,1024,10000,2,0,nan
2,1,4,10,1,false,1,10,512,100,2,0,nan
4,10,2,10,10,true,1000,10,1024,100,5,0,1952.4000000000003
2,10,2,10,1,true,1,1000,1024,10000,5,0,nan
4,10,4,10,10,false,1,10,512,100,5,0,1.9166666666666667
4,1,4,1000000,10,false,1,1000,512,10000,5,29,nan
2,1,2,10,1,false,1,1000,512,10000,5,29,nan
2,10,2,1000000,10,true,1000,1000,512,10000,2,29,nan
4,1,2,10,10,false,1000,10,512,100,5,29,2090.2499999999995
4,10,4,10,10,true,1,1000,512,10000,5,0,2.0200000000000005
4,1,2,1000000,1,true,1000,1000,512,10000,5,0,73.400000000000006
4,10,4,10,1,true,1000,1000,512,10000,2,29,47.100000000000001
2,10,4,10,1,false,1,10,512,100,2,0,nan
4,10,2,10,10,true,1,10,1024,100,2,0,nan
2,1,4,1000000,1,false,1,10,1024,100,5,29,nan
4,1,4,1000000,1,false,1000,1000,1024,10000,5,29,nan
4,1,2,1000000,1,false,1,10,1024,100,2,0,nan
4,1,2,1000000,1,false,1,1000,512,10000,5,0,nan
2,1,4,10,1,true,1000,10,512,100,5,0,nan
2,10,2,10,10,true,1000,10,1024,100,2,0,762.10000000000002
4,1,2,10,10,true,1,1000,512,10000,5,29,1.7
2,10,2,10,1,false,1000,1000,1024,10000,2,0,nan
2,10,4,1000000,1,false,1,10,512,100,2,0,nan
4,10,4,10,1,false,1000,1000,1024,10000,2,29,39.799999999999997
4,1,4,10,1,false,1000,10,512,100,5,29,31.133333333333336
2,1,2,10,10,false,1,1000,1024,10000,2,29,nan
2,1,2,1000000,1,true,1000,10,1024,100,5,0,nan
4,1,2,10,1,false,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,true,1000,1000,1024,10000,2,29,nan
4,10,4,1000000,1,false,1,10,512,100,2,29,nan
4,1,4,10,10,true,1,1000,512,10000,2,29,3.1000000000000001
4,10,2,10,10,true,1,10,1024,100,2,0,1.9199999999999999
2,10,2,1000000,1,false,1,10,512,100,5,0,nan
4,1,4,1000000,10,false,1000,1000,1024,10000,2,29,1371.8200000000002
2,1,4,1000000,1,true,1,1000,1024,10000,5,29,nan
4,10,2,1000000,10,false,1000,1000,512,10000,5,0,580.34999999999991
4,1,2,10,10,true,1,1000,512,10000,2,29,2.3199999999999998
2,1,2,10,10,false,1,1000,512,10000,2,29,0.29999999999999999
4,10,4,10,1,true,1,1000,512,10000,2,29,nan
2,10,2,10,10,true,1000,10,512,100,2,0,856.39999999999998
2,1,2,10,1,true,1000,1000,512,10000,5,29,nan
4,1,2,1000000,10,true,1,1000,1024,10000,5,29,nan
4,10,2,1000000,10,false,1,1000,512,10000,5,0,1.02
2,1,2,1000000,1,true,1000,10,512,100,2,0,nan
4,10,4,1000000,1,false,1,10,1024,100,5,0,nan
4,10,2,1000000,10,false,1,10,512,100,2,0,nan
2,1,4,10,1,true,1,1000,1024,10000,2,0,nan
2,10,4,10,10,true,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,true,1,10,1024,100,2,29,nan
2,10,4,10,1,false,1,1000,1024,10000,5,0,nan
2,10,4,10,10,false,1000,10,512,100,5,0,915.375
4,1,2,1000000,1,false,1000,10,1024,100,2,29,nan
2,1,2,1000000,10,false,1,10,512,100,5,0,nan
4,1,2,1000000,1,true,1,10,1024,100,2,0,nan
2,1,4,10,10,false,1,10,512,100,5,0,1.6000000000000001
2,1,4,10,1,false,1,10,512,100,5,29,nan
2,10,4,10,10,false,1000,1000,512,10000,5,29,nan
2,1,2,1000000,1,true,1,10,1024,100,2,0,nan
2,1,2,1000000,1,true,1,1000,512,10000,2,0,nan
4,1,2,1000000,1,false,1,10,512,100,2,29,nan
4,1,2,1000000,10,false,1000,10,1024,100,2,29,512.88333333333333
2,10,2,10,1,false,1,1000,512,10000,5,0,nan
4,1,2,1000000,1,true,1,1000,512,10000,2,29,nan
4,1,2,10,10,false,1000,1000,1024,10000,5,29,1626.7
2,10,2,10,10,false,1000,1000,512,10000,2,0,nan
2,10,2,10,10,false,1000,10,512,100,2,0,nan
2,1,4,1000000,1,true,1,10,512,100,2,29,nan
4,10,4,10,10,false,1000,10,512,100,2,29,1756.3
2,1,2,10,10,true,1000,10,512,100,2,0,nan
4,10,4,10,1,false,1,1000,1024,10000,5,29,nan
4,10,2,10,10,false,1,1000,1024,10000,5,0,2.9333333333333336
4,1,2,1000000,10,false,1,10,1024,100,5,29,1.125
2,10,2,1000000,1,true,1,10,512,100,2,0,nan
2,1,4,1000000,1,true,1000,1000,512,10000,5,29,nan
4,10,2,1000000,1,false,1000,10,1024,100,2,0,nan
4,1,4,1000000,1,true,1,1000,1024,10000,5,29,nan
2,1,4,10,10,true,1000,10,1024,100,2,0,591.87142857142851
2,10,2,10,1,false,1,10,1024,100,2,0,nan
4,10,4,10,10,false,1000,10,1024,100,5,29,1971.7285714285715
2,1,4,10,1,false,1000,10,1024,100,2,0,nan
4,10,4,10,10,true,1,10,1024,100,2,0,1.9333333333333333
4,10,4,1000000,1,false,1,1000,1024,10000,2,29,nan
2,1,2,1000000,10,false,1000,10,512,100,5,0,nan
4,10,2,10,10,true,1000,1000,512,10000,5,29,1904.3
2,1,4,1000000,1,true,1000,1000,1024,10000,2,0,nan
4,1,2,10,10,true,1000,10,512,100,2,29,1850.416666666667
4,1,4,1000000,1,true,1,10,1024,100,2,29,nan
2,1,4,10,10,true,1,10,512,100,2,0,nan
4,10,2,1000000,10,false,1,1000,1024,10000,2,0,nan
4,1,4,1000000,10,false,1000,10,1024,100,2,0,1421.5500000000002
4,10,2,10,10,true,1,1000,512,10000,5,0,1.5999999999999999
4,1,2,10,10,true,1000,10,512,100,2,0,2239.1750000000002
4,1,2,1000000,1,false,1,1000,512,10000,2,29,nan
2,1,4,10,10,true,1,1000,512,10000,2,29,nan
4,10,4,10,1,true,1,1000,1024,10000,2,0,nan
4,1,4,1000000,10,true,1,1000,512,10000,5,29,nan
2,1,2,10,1,true,1000,1000,512,10000,2,0,nan
2,1,4,1000000,10,true,1000,1000,512,10000,5,0,nan
4,10,4,10,10,false,1,10,1024,100,2,29,2.54
4,1,4,1000000,10,true,1000,10,512,100,2,29,600.29999999999995
4,1,4,10,10,true,1,10,1024,100,5,0,nan
4,10,2,10,1,false,1000,1000,512,10000,5,0,62.200000000000003
2,1,2,10,1,false,1,10,1024,100,5,0,nan
4,10,4,10,10,false,1,1000,1024,10000,2,0,nan
4,10,4,1000000,10,true,1000,10,1024,100,5,0,nan
4,1,4,1000000,10,true,1,10,512,100,5,29,nan
4,10,4,1000000,1,true,1000,1000,512,10000,2,0,nan
4,1,2,1000000,1,true,1000,10,512,100,5,0,nan
2,1,4,1000000,10,false,1,10,512,100,5,29,nan
4,1,4,1000000,10,false,1000,1000,1024,10000,5,0,1407.8
4,1,4,10,10,false,1000,1000,1024,10000,5,0,1424.0272727272729
2,1,4,1000000,10,false,1,1000,512,10000,2,29,nan
2,1,2,10,10,true,1000,1000,512,10000,5,0,nan
2,1,4,10,10,true,1,1000,1024,10000,2,0,nan
4,10,2,10,1,true,1,1000,1024,10000,5,0,nan
2,1,4,1000000,1,false,1000,10,1024,100,2,29,nan
2,1,2,1000000,1,true,1,1000,512,10000,5,0,nan
2,10,2,10,10,false,1000,10,1024,100,5,29,nan
2,1,4,10,10,true,1,10,1024,100,5,0,nan
4,10,2,1000000,10,false,1,10,512,100,2,0,nan
4,1,4,10,10,true,1000,1000,1024,10000,2,0,1535.4777777777776
