topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,10,2,1000000,10,0,1,1000,1024,10000,2,29,0.0519160685864
4,1,2,1000000,10,0,1000,10,1024,100,2,0,0.1022662877
2,1,2,10,10,1,1000,10,1024,100,2,29,0.56190151454
4,10,2,10,10,1,1000,10,1024,100,2,29,0.30339291674
4,1,2,1000000,10,0,1000,1000,512,10000,5,29,0.101197985004
2,1,4,10,10,0,1000,10,512,100,2,29,0.583958350653
4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,0.0760888554743
4,10,2,10,1,0,1000,1000,1024,10000,2,0,0.227466544254
4,10,4,1000000,1,0,1000,1000,1024,10000,2,29,0.268094176104
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,0.117981582622
4,10,4,1000000,1,0,1000,1000,512,10000,5,0,0.291203250211
4,10,2,10,10,0,1000,10,1024,100,5,0,0.428141449167
4,1,4,1000000,1,0,1000,1000,512,10000,5,29,0.269732775728
2,1,4,10,10,0,1,1000,1024,10000,2,29,0.183790635162
4,10,2,10,10,1,1000,1000,1024,10000,2,29,0.424042272657
2,10,4,10,10,1,1,10,1024,100,2,0,0.178429040805
4,10,2,1000000,10,0,1000,10,512,100,5,29,0.0749643263207
4,10,2,10,10,1,1000,10,1024,100,5,0,0.343142038876
4,10,4,10,10,0,1,10,512,100,5,0,0.242406717295
4,1,2,10,10,0,1000,10,512,100,5,29,0.271548087076
4,10,4,10,10,1,1,1000,512,10000,5,0,0.205673169256
4,1,2,1000000,1,1,1000,1000,512,10000,5,0,0.327878965321
4,10,4,10,1,1,1000,1000,512,10000,2,29,0.332794764192
2,10,2,10,10,1,1000,10,1024,100,2,0,0.236928653846
4,1,2,10,10,1,1,1000,512,10000,5,29,0.20610450651
4,10,4,10,1,0,1000,1000,1024,10000,2,29,0.338819027515
4,1,4,10,1,0,1000,10,512,100,5,29,0.516406277925
4,1,4,10,10,1,1,1000,512,10000,2,29,0.215398739965
4,10,2,10,10,1,1,10,1024,100,2,0,0.226685799727
4,1,4,1000000,10,0,1000,1000,1024,10000,2,29,0.00413505434488
4,10,2,1000000,10,0,1000,1000,512,10000,5,0,0.100354588139
4,1,2,10,10,1,1,1000,512,10000,2,29,0.223370045194
2,1,2,10,10,0,1,1000,512,10000,2,29,6.42588087782e-06
2,10,2,10,10,1,1000,10,512,100,2,0,0.323324622249
4,10,2,1000000,10,0,1,1000,512,10000,5,0,0.0448397967655
2,10,4,10,10,0,1000,10,512,100,5,0,0.421074318927
2,1,4,10,10,0,1,10,512,100,5,0,0.00977376481517
4,1,2,1000000,10,0,1000,10,1024,100,2,29,0.112885055851
4,1,2,10,10,0,1000,1000,1024,10000,5,29,0.359470202186
4,10,4,10,10,0,1000,10,512,100,2,29,0.398151996983
4,10,2,10,10,0,1,1000,1024,10000,5,0,0.100234102873
4,1,2,1000000,10,0,1,10,1024,100,5,29,0.0519797536558
2,1,4,10,10,1,1000,10,1024,100,2,0,0.881439915977
4,10,4,10,10,0,1000,10,1024,100,5,29,0.403918938201
4,10,4,10,10,1,1,10,1024,100,2,0,0.24376418463
4,10,2,10,10,1,1000,1000,512,10000,5,29,0.38856016492
4,1,2,10,10,1,1000,10,512,100,2,29,0.350674777735
4,1,4,1000000,10,0,1000,10,1024,100,2,0,0.00509893647655
4,10,2,10,10,1,1,1000,512,10000,5,0,0.249408632494
4,1,2,10,10,1,1000,10,512,100,2,0,0.323059554662
4,10,4,10,10,0,1,10,1024,100,2,29,0.21214081836
4,1,4,1000000,10,1,1000,10,512,100,2,29,0.000327719924769
4,10,2,10,1,0,1000,1000,512,10000,5,0,0.363590798299
4,1,4,1000000,10,0,1000,1000,1024,10000,5,0,0.00384588970538
4,1,4,10,10,0,1000,1000,1024,10000,5,0,0.458474040956
4,1,4,10,10,1,1000,1000,1024,10000,2,0,0.457850438426
4,10,2,10,10,0,1,10,512,100,2,0,0.150394529005
4,10,2,1000000,10,1,1,1000,512,10000,5,0,0.0370837585459
4,1,2,10,1,1,1000,10,512,100,2,0,0.11705384607
4,1,4,10,10,0,1000,10,1024,100,5,0,0.424929847454
4,10,4,10,10,0,1,1000,512,10000,2,0,0.192445493469
4,1,4,10,10,1,1,10,512,100,2,29,0.230534902373
4,10,4,10,10,1,1000,1000,1024,10000,5,29,0.396495324569
4,1,2,1000000,10,1,1,1000,1024,10000,5,0,0.0530681372295
4,1,2,1000000,10,0,1000,10,512,100,2,0,0.090016952277
4,1,2,1000000,10,1,1000,10,1024,100,2,0,0.0769370717502
4,1,4,1000000,10,1,1000,1000,512,10000,2,0,0.00165305785582
2,10,4,10,10,1,1,1000,1024,10000,2,0,0.125632397042
4,10,4,1000000,10,1,1000,1000,1024,10000,5,29,0.0020145136552
4,10,4,10,10,0,1,10,1024,100,5,0,0.197128354159
4,10,4,10,10,0,1,1000,1024,10000,2,29,0.196369296981
4,1,2,10,10,0,1,10,512,100,2,0,0.119993686572
4,10,2,1000000,10,1,1,10,512,100,5,0,0.0398565261447
4,10,4,10,10,0,1,1000,512,10000,2,29,0.193672836717
4,10,2,1000000,10,1,1,10,1024,100,2,29,0.0459193447529
4,10,4,1000000,1,0,1000,10,1024,100,2,0,0.253081711903
4,1,2,10,10,0,1000,10,1024,100,2,0,0.36037625139
4,10,2,10,10,1,1000,10,1024,100,5,0,0.32326954327
4,10,4,10,1,0,1000,1000,512,10000,5,29,0.541435083944
4,1,2,10,10,1,1000,1000,512,10000,5,0,0.373028810839
4,1,4,1000000,10,1,1,10,1024,100,5,29,2.40970532918e-06
4,10,4,10,10,1,1,1000,512,10000,2,0,0.194606926128
4,1,4,10,10,0,1000,10,512,100,2,29,0.307565149396
4,10,4,10,10,0,1,1000,1024,10000,5,0,0.186975462372
4,10,2,10,1,1,1000,1000,512,10000,2,0,0.312095395415
4,10,4,10,10,0,1000,1000,512,10000,5,29,0.352909779428
4,10,4,10,10,1,1000,10,1024,100,2,29,0.347560233597
4,1,2,1000000,10,0,1000,1000,1024,10000,2,0,0.0823733669728
4,10,2,1000000,10,0,1,10,1024,100,2,0,0.0250512966022
4,10,2,1000000,10,1,1,1000,512,10000,2,0,0.0514134729035
4,10,4,10,10,0,1000,1000,1024,10000,5,0,0.558765976757
4,1,2,10,10,1,1,10,1024,100,2,0,0.220738646975
4,10,2,1000000,1,0,1000,10,1024,100,5,0,0.281130681935
4,1,4,1000000,1,0,1000,10,1024,100,5,29,0.268238758423
2,1,4,10,1,0,1000,1000,1024,10000,2,29,0.0117738202384
4,1,2,1000000,10,1,1,10,512,100,2,29,0.0415336810538
4,10,4,10,1,0,1000,10,512,100,5,29,0.159577112779
4,1,4,10,10,1,1,10,1024,100,2,0,0.211073663143
2,10,4,10,10,1,1,1000,512,10000,5,0,0.182850850084
4,1,4,10,1,1,1000,10,1024,100,2,29,0.156315978234
4,1,2,1000000,10,1,1,1000,512,10000,2,29,0.0167458455676
4,1,4,10,10,0,1000,1000,512,10000,2,0,0.160693609582
4,1,4,10,10,0,1000,1000,512,10000,2,29,0.47406890277
4,10,2,10,10,1,1,1000,1024,10000,2,0,0.218078332291
4,10,4,1000000,10,1,1000,1000,1024,10000,2,29,0.00218319302824
4,10,2,1000000,10,1,1000,1000,1024,10000,5,29,0.100005180866
4,10,4,1000000,10,1,1,1000,1024,10000,5,29,2.40970532918e-06
4,10,4,10,10,0,1,1000,512,10000,5,0,0.190848662071
4,10,2,10,10,1,1000,10,1024,100,5,0,0.386531193033
4,1,2,10,1,1,1000,1000,512,10000,2,0,0.450846228269
4,1,4,10,10,1,1000,10,1024,100,2,0,0.344963776105
4,1,2,1000000,10,0,1,10,512,100,5,0,0.0450614896557
4,1,2,1000000,1,1,1000,1000,1024,10000,5,0,0.22956298789
4,10,2,10,1,1,1000,10,512,100,2,0,0.191706517169
4,1,2,10,10,0,1,1000,512,10000,5,29,0.172255375751
4,1,4,10,10,1,1000,1000,1024,10000,2,0,0.394663948519
4,10,4,10,1,0,1000,1000,512,10000,5,29,0.366530638801
4,1,4,1000000,10,0,1000,10,512,100,2,0,0.000681143373049
4,10,2,10,10,1,1000,1000,512,10000,2,29,0.246303555055
2,10,2,10,10,0,1,1000,512,10000,5,0,0.0188824509595
4,1,2,1000000,10,1,1,10,512,100,5,0,0.0373086643766
4,1,2,1000000,1,0,1000,10,512,100,5,0,0.336818972092
