Source,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
../Data/sqlite_14.csv,1.0,3.0,4.75,6.75,7.0,6.75,8.0,7.25,7.75,13.75,15.25,14.75,16.0,14.75,21.0,16.0,14.25,17.0,23.0,11.5
../Data/sqlite_16.csv,1.0,2.0,3.5,4.75,5.0,8.0,7.5,8.25,9.75,7.0,7.75,8.75,10.5,10.75,13.0,17.0,18.0,15.75,19.0,19.75
../Data/sqlite_17.csv,1.0,3.0,4.5,7.0,6.5,7.5,8.25,15.0,12.5,11.5,10.25,11.75,15.0,14.5,12.75,21.25,20.25,19.75,17.5,17.25
../Data/sqlite_19.csv,1.0,2.0,3.5,5.0,5.75,8.25,10.0,7.5,8.5,11.5,11.25,9.25,10.5,13.0,14.75,19.5,13.5,18.5,14.5,12.0
../Data/sqlite_2.csv,0.75,2.0,3.75,3.0,6.5,6.75,10.0,8.75,11.5,8.0,8.0,12.75,13.5,11.25,15.25,15.75,14.75,12.75,13.0,10.5
../Data/sqlite_3.csv,1.0,2.75,4.25,5.0,4.5,8.25,10.0,7.5,9.75,11.0,9.5,12.75,13.0,8.5,11.25,13.75,24.5,20.75,14.25,15.75
../Data/sqlite_33.csv,1.0,2.0,2.25,4.75,3.5,5.75,5.0,7.75,11.25,10.0,10.0,14.5,14.5,12.0,15.0,20.0,19.5,18.5,19.75,16.0
../Data/sqlite_46.csv,2.0,3.0,5.0,10.0,12.0,14.5,23.0,25.0,20.0,27.5,29.25,29.75,67.0,61.75,72.75,45.25,48.75,100.5,98.5,69.5
../Data/sqlite_49.csv,1.0,2.75,3.5,5.25,7.0,8.75,7.5,9.0,10.5,7.75,11.0,10.0,14.25,15.25,21.25,20.75,22.5,16.75,22.25,19.75
../Data/sqlite_50.csv,3.25,7.5,13.75,13.5,13.25,18.5,25.0,23.75,32.75,49.75,37.25,30.5,43.0,56.25,64.0,79.75,43.0,89.75,76.25,58.25
../Data/sqlite_59.csv,2.0,2.75,3.75,6.75,8.5,11.5,11.25,10.25,13.5,14.0,16.75,16.0,14.75,20.25,15.0,22.25,16.5,22.75,19.5,18.0
../Data/sqlite_7.csv,1.0,2.75,3.75,8.0,7.75,6.5,8.25,10.75,11.75,13.0,12.75,16.0,17.5,15.75,16.5,21.5,20.5,22.0,20.0,18.0
../Data/sqlite_70.csv,1.0,1.75,2.75,5.0,5.25,6.5,9.75,7.5,7.75,11.25,7.75,15.25,12.5,11.5,17.0,14.0,14.25,15.5,21.0,21.0
