SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.740102639296
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0612170087977
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.173936950147
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.759164222874
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0810117302053
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.092008797654
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.796370967742
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0855938416422
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.66642228739
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.690065982405
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.677236070381
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.66275659824
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0120967741935
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0483870967742
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0844941348974
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0755131964809
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.638379765396
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.729105571848
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.693548387097
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.661107038123
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.0949413489736
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0599340175953
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.108870967742
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.109970674487
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.183101173021
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.657991202346
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.620784457478
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.689149560117
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.158357771261
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0445381231672
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.672287390029
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.641312316716
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.175586510264
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.634897360704
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0557184750733
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.676686217009
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.120051319648
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.672837243402
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0639662756598
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.634714076246
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.029142228739
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.150476539589
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.741752199413
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0542521994135
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.100806451613
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0923753665689
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.616752199413
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0353739002933
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0822947214076
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0425219941349
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.615102639296
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.625366568915
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.075146627566
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0474706744868
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0729472140762
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.681268328446
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.111620234604
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.116202346041
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.109420821114
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.678702346041
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0918255131965
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.678702346041
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0976906158358
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.7107771261
