SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.0384182381086
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0509428651844
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0578384463833
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.044610188573
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0396847734309
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0562200956938
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.0420067548551
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0168871376302
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.0513650436251
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.0966788629327
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.0435547424712
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.0868280326485
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.00105544610189
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0330706445258
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0413734871939
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0228679988742
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.0398958626513
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.0698705319448
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.0608640585421
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.0551646495919
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.0401069518717
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0208978328173
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0497466929355
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0299746692936
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.0389107796229
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.0854207711793
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.0420771179285
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.0697298057979
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0181536729524
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0364480720518
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.0554461018857
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.0655783844638
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.11757669575
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.0665634674923
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0173796791444
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.0865465803546
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.0249085280045
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.061778778497
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0258936110329
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0625527723051
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.00935828877005
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.0940050661413
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.027441598649
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0204756543766
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0582606248241
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.142907402195
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0150576977202
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0432029271039
