Target ,sqlite_32,sqlite_57,sqlite_60,sqlite_71,sqlite_74,sqlite_81,sqlite_85,sqlite_87,sqlite_88,sqlite_90,sqlite_91,sqlite_94,sqlite_95,sqlite_96,sqlite_97
sqlite_32,X,692.0,720.0,379.0,507.0,316.0,834.0,294.0,840.0,362.0,656.0,348.0,889.0,284.0,231.0
sqlite_57,883.0,X,0.0,827.0,774.0,870.0,128.0,868.0,261.0,934.0,404.0,878.0,184.0,874.0,900.0
sqlite_60,883.0,0.0,X,827.0,774.0,870.0,128.0,868.0,261.0,934.0,404.0,878.0,184.0,874.0,900.0
sqlite_71,778.0,608.0,473.0,X,9.0,741.0,682.0,163.0,62.0,499.0,293.0,292.0,724.0,235.0,207.0
sqlite_74,686.0,470.0,580.0,11.0,X,796.0,94.0,934.0,258.0,851.0,568.0,947.0,42.0,888.0,920.0
sqlite_81,971.0,576.0,678.0,848.0,821.0,X,3.0,1.0,7.0,4.0,10.0,382.0,8.0,30.0,344.0
sqlite_85,894.0,247.0,292.0,685.0,428.0,655.0,X,117.0,0.0,12.0,8.0,360.0,10.0,54.0,454.0
sqlite_87,611.0,953.0,805.0,375.0,246.0,9.0,825.0,X,933.0,263.0,995.0,251.0,976.0,5.0,15.0
sqlite_88,894.0,247.0,292.0,685.0,428.0,655.0,0.0,117.0,X,12.0,8.0,360.0,10.0,54.0,454.0
sqlite_90,55.0,925.0,814.0,853.0,900.0,19.0,22.0,8.0,8.0,X,17.0,194.0,11.0,497.0,427.0
sqlite_91,362.0,697.0,701.0,374.0,457.0,67.0,427.0,457.0,46.0,16.0,X,882.0,20.0,930.0,910.0
sqlite_94,664.0,592.0,535.0,421.0,571.0,614.0,707.0,415.0,399.0,286.0,593.0,X,322.0,429.0,229.0
sqlite_95,63.0,960.0,809.0,893.0,890.0,453.0,12.0,4.0,15.0,9.0,18.0,42.0,X,140.0,424.0
sqlite_96,39.0,818.0,864.0,678.0,735.0,38.0,773.0,187.0,799.0,350.0,611.0,349.0,635.0,X,2.0
sqlite_97,125.0,802.0,780.0,426.0,503.0,8.0,811.0,336.0,956.0,26.0,155.0,81.0,658.0,3.0,X
