Target ,spear_0,spear_1,spear_2,spear_3,spear_4,spear_5,spear_6,spear_7,spear_8,spear_9
spear_0,X,59.41,59.36,73.14,59.22,47.97,42.93,78.08,47.63,404.32
spear_1,29.59,X,30.72,58.28,59.92,38.53,47.94,14.12,50.15,360.45
spear_2,57.62,78.65,X,43.01,66.69,40.89,43.8,87.98,46.9,394.91
spear_3,380.86,719.06,700.65,X,280.36,307.41,77.81,770.81,61.66,800.05
spear_4,179.55,388.18,285.37,144.64,X,102.14,42.28,476.8,46.38,514.86
spear_5,145.61,261.18,183.52,61.54,76.61,X,38.86,322.44,44.36,473.37
spear_6,241.15,524.47,456.19,283.39,174.39,221.44,X,619.31,26.9,815.37
spear_7,32.81,10.18,31.68,59.05,60.66,39.39,48.49,X,50.59,358.49
spear_8,545.98,1113.21,979.63,601.99,374.82,489.01,55.47,1306.72,X,1398.92
spear_9,93.63,141.37,93.54,73.13,83.01,63.64,46.43,160.11,51.32,X
