Target ,x264_0,x264_1,x264_10,x264_11,x264_12,x264_13,x264_14,x264_15,x264_16,x264_17,x264_18,x264_19,x264_2,x264_20,x264_3,x264_4,x264_5,x264_6,x264_7,x264_8,x264_9
x264_0,X,305.35,816.88,865.45,731.78,478.52,344.28,684.66,361.1,359.76,151.73,476.27,576.55,326.76,110.11,286.52,288.24,658.43,808.94,836.03,675.59
x264_1,305.45,X,810.34,858.93,751.77,483.81,319.51,738.92,374.04,405.97,412.14,488.29,583.81,333.78,349.05,67.83,119.7,692.64,802.36,830.6,708.97
x264_10,816.88,810.34,X,49.33,776.09,784.29,792.53,804.01,793.21,783.09,819.52,797.11,780.6,788.08,812.56,807.37,809.18,178.03,25.23,65.37,150.52
x264_11,865.45,858.93,49.33,X,824.41,832.71,840.98,843.85,841.48,831.64,868.06,843.53,829.13,836.59,861.11,855.95,857.59,219.14,56.73,39.35,194.04
x264_12,731.78,751.77,776.09,824.41,X,279.24,445.8,402.9,554.18,490.81,693.05,897.94,186.25,622.81,686.03,690.31,758.11,608.6,768.05,794.78,632.6
x264_13,478.49,483.8,784.29,832.71,279.27,X,186.13,446.62,352.05,265.04,472.49,713.7,105.9,380.99,438.67,426.62,499.23,617.93,776.27,803.11,641.65
x264_14,344.31,319.46,792.53,840.98,445.81,186.11,X,515.49,251.6,207.84,386.06,583.69,285.87,266.78,327.99,262.5,317.93,625.64,784.46,811.35,649.55
x264_15,681.12,736.14,802.6,842.73,394.78,438.62,509.06,X,536.42,494.54,670.03,716.1,414.46,595.75,639.26,681.94,736.0,652.2,797.93,816.93,670.84
x264_16,360.99,373.8,793.21,841.48,553.87,350.82,250.94,539.66,X,205.67,432.16,506.93,423.26,257.4,355.02,328.3,361.86,626.56,785.21,811.92,650.43
x264_17,359.52,405.54,783.1,831.64,490.81,263.91,207.17,499.79,206.81,X,409.99,539.73,337.1,259.51,337.71,354.03,382.78,615.79,775.07,802.04,639.73
x264_18,151.76,412.13,819.52,868.06,693.05,472.51,386.1,675.19,432.53,410.51,X,517.0,543.4,385.1,106.79,395.43,364.05,658.38,811.5,838.65,678.91
x264_19,472.05,485.5,796.88,843.35,895.55,708.95,578.89,715.19,503.22,534.96,512.79,X,784.74,458.55,470.4,479.65,467.84,673.29,789.63,814.83,689.09
x264_2,576.16,583.3,780.44,829.02,186.27,105.83,285.51,423.59,424.05,336.94,543.27,787.91,X,466.83,530.85,526.53,599.43,614.42,772.45,799.54,638.31
x264_20,326.08,333.28,788.08,836.59,622.63,380.36,264.86,599.1,255.9,257.95,384.67,462.61,467.21,X,314.6,300.7,292.94,622.89,780.02,807.0,646.15
x264_3,109.89,349.05,812.56,861.11,686.03,438.68,327.94,643.27,355.35,338.66,106.53,474.68,531.15,315.46,X,320.94,314.21,646.85,804.58,831.65,669.65
x264_4,286.57,67.82,807.37,855.95,690.32,426.63,262.55,685.34,328.66,354.4,395.44,482.78,527.13,301.35,321.01,X,125.12,670.07,799.4,826.45,688.62
x264_5,288.36,119.75,809.18,857.59,758.12,499.23,317.98,738.99,362.52,382.93,364.05,470.95,599.95,293.29,314.24,125.13,X,683.95,801.17,828.06,701.35
x264_6,658.43,692.65,178.02,219.13,608.61,617.94,625.64,653.94,626.56,615.79,658.38,674.49,615.1,623.05,646.85,670.07,683.95,X,169.54,189.88,42.73
x264_7,808.94,802.36,25.22,56.73,768.05,776.27,784.46,799.44,785.21,775.07,811.5,789.88,772.64,780.02,804.58,799.4,801.17,169.56,X,47.11,143.82
x264_8,836.03,830.62,65.37,39.35,794.78,803.11,811.35,818.12,811.92,802.04,838.65,815.02,799.78,807.0,831.65,826.45,828.06,189.89,47.11,X,166.05
x264_9,675.6,708.97,150.49,194.04,632.59,641.65,649.55,672.53,650.43,639.73,678.91,690.21,638.97,646.29,669.65,688.62,701.35,42.77,143.78,166.04,X
