Target ,x264_0,x264_1,x264_10,x264_11,x264_12,x264_13,x264_14,x264_15,x264_16,x264_17,x264_18,x264_19,x264_2,x264_20,x264_3,x264_4,x264_5,x264_6,x264_7,x264_8,x264_9
x264_0,X,84.95,73.43,64.52,48.95,80.83,94.08,63.83,99.04,99.7,45.76,95.9,95.23,99.4,122.03,67.0,89.5,500.84,76.29,63.47,503.74
x264_1,569.38,X,612.52,164.63,898.12,27.39,60.67,466.89,93.61,98.03,877.72,79.28,68.3,96.04,1388.3,119.3,30.19,3908.1,644.74,168.02,3921.81
x264_10,123.38,73.37,X,67.48,184.27,66.11,89.54,128.24,98.29,99.48,179.67,92.8,91.57,98.95,297.61,41.8,81.43,523.17,5.28,66.18,513.76
x264_11,458.98,59.26,208.01,X,733.77,74.77,67.33,381.83,94.67,98.37,715.83,87.27,73.66,96.71,1142.57,127.86,42.1,1822.27,223.95,4.28,1793.26
x264_12,32.6,89.8,50.04,75.96,X,87.02,96.0,48.45,99.35,99.8,4.06,97.23,96.77,99.6,50.01,77.63,92.89,306.28,51.52,75.27,308.81
x264_13,425.89,21.44,459.74,128.73,683.34,X,69.13,364.04,94.98,98.45,667.32,78.71,75.11,96.89,1068.61,72.35,45.18,3042.38,484.85,131.33,3055.28
x264_14,1604.53,154.84,1715.53,497.96,2436.97,224.19,X,1227.15,83.73,94.99,2385.04,86.66,19.36,89.93,3686.18,458.91,77.64,10075.99,1796.6,515.56,10121.65
x264_15,598.81,96.78,652.13,213.5,897.23,120.55,61.29,X,93.54,98.02,875.6,85.51,68.39,96.01,1388.58,200.9,71.88,3872.85,683.22,219.25,3893.7
x264_16,10556.25,1492.31,11276.74,3649.5,15769.7,1926.6,525.5,8208.03,X,68.69,15448.72,334.69,404.22,37.06,23582.45,3392.33,1010.64,63765.54,11787.76,3761.01,64015.89
x264_17,34166.34,5023.48,36399.16,11920.82,50906.03,6417.76,1910.62,26478.0,227.09,X,49857.08,1289.96,1521.2,102.36,76018.67,11137.18,3471.29,204476.23,38030.08,12274.87,205404.56
x264_18,31.23,89.63,50.36,75.55,4.16,86.81,95.93,46.72,99.34,99.8,X,97.18,96.72,99.59,52.47,77.26,92.77,312.52,52.09,74.85,315.13
x264_19,4571.44,602.85,4869.47,1543.17,6855.21,788.51,190.93,3147.63,55.36,86.28,6715.46,X,139.35,72.4,10283.8,1430.74,397.6,27846.46,5092.62,1592.24,27925.36
x264_2,2013.51,215.96,2151.0,641.6,3046.98,302.07,24.06,1545.56,79.82,93.79,2982.58,89.72,X,87.51,4595.74,592.96,120.31,12526.78,2251.82,663.56,12580.48
x264_20,16909.96,2443.31,18011.99,5865.16,25213.55,3135.5,898.07,13131.69,62.39,50.04,24697.95,590.99,704.78,X,37683.33,5478.04,1672.83,101399.61,18821.2,6040.69,101879.5
x264_3,54.89,93.2,51.38,83.97,32.98,91.35,97.33,64.94,99.57,99.87,34.35,98.15,97.85,99.73,X,85.1,95.26,171.08,49.23,83.51,173.01
x264_4,205.17,54.4,225.15,74.12,355.06,41.91,82.06,205.96,97.08,99.1,345.75,87.6,85.54,98.19,578.48,X,68.16,1727.59,239.65,75.67,1733.96
x264_5,859.4,43.4,921.64,236.77,1328.85,82.51,43.68,673.88,90.84,97.18,1299.62,81.32,54.6,94.33,2031.78,214.5,X,5633.14,967.46,246.69,5656.87
x264_6,73.49,96.02,83.4,94.6,60.58,94.94,98.44,79.66,99.75,99.92,61.42,98.92,98.74,99.84,41.54,91.27,97.23,X,82.58,94.4,4.82
x264_7,115.93,74.83,4.95,69.08,172.51,67.99,90.12,122.97,98.39,99.51,168.42,93.19,92.03,99.01,275.62,44.8,82.45,491.37,X,67.86,482.87
x264_8,433.34,56.13,196.71,4.04,694.58,70.73,68.85,363.24,94.91,98.44,677.47,87.2,74.87,96.87,1084.66,121.0,44.69,1745.01,211.81,X,1718.79
x264_9,72.79,95.91,83.31,94.57,59.52,94.8,98.4,79.11,99.74,99.92,60.37,98.89,98.71,99.84,40.33,91.04,97.15,4.87,82.47,94.36,X
