Target ,sqlite_11,sqlite_14,sqlite_16,sqlite_17,sqlite_19,sqlite_2,sqlite_3,sqlite_33,sqlite_46,sqlite_49,sqlite_50,sqlite_59,sqlite_7,sqlite_70,sqlite_84
sqlite_11,X,3506.04,8855.83,2179.2,3023.13,8834.24,2178.46,3948.21,82.91,2103.07,6672.57,1212.31,2137.39,2159.91,2945.49
sqlite_14,97.18,X,150.19,36.48,59.63,149.58,30.1,14.5,50.67,38.09,108.62,63.39,85.61,36.89,19.47
sqlite_16,98.88,59.88,X,74.57,31.0,0.91,41.43,54.64,61.88,75.32,65.92,85.36,42.53,74.77,66.08
sqlite_17,95.58,57.7,293.57,X,47.38,292.62,31.98,78.66,52.09,6.47,93.97,42.39,72.33,2.63,44.57
sqlite_19,96.8,15.24,186.5,27.11,X,185.82,63.07,29.65,52.06,29.45,70.1,58.03,57.18,27.71,23.78
sqlite_2,98.88,59.78,0.92,74.51,31.69,X,44.65,54.53,54.03,75.26,75.25,85.32,55.91,74.7,65.99
sqlite_3,95.58,57.77,293.7,1.31,58.09,292.74,X,78.71,49.72,6.43,98.6,42.37,77.5,2.62,44.58
sqlite_33,97.53,11.68,121.2,43.71,103.12,120.67,180.38,X,41.78,45.56,58.66,67.59,113.26,44.21,25.91
sqlite_46,485.29,21000.73,52305.98,13236.99,373.39,52180.11,410.02,23588.97,X,12791.56,106.07,7579.05,276.36,13124.18,17723.11
sqlite_49,95.46,63.43,306.25,6.87,83.28,305.27,118.22,83.78,47.14,X,57.53,40.48,77.69,5.36,48.54
sqlite_50,98.52,46.7,32.33,66.32,190.71,32.01,273.13,40.21,44.36,67.46,X,80.61,140.61,66.61,54.97
sqlite_59,92.26,176.39,589.49,75.23,93.13,587.8,103.87,212.91,63.93,70.22,59.73,X,69.69,73.94,137.88
sqlite_7,95.53,60.94,300.04,6.81,77.4,299.08,83.08,80.96,63.72,1.79,47.42,41.39,X,5.25,46.92
sqlite_70,95.55,59.08,296.59,2.68,70.32,295.64,98.08,79.82,43.72,5.12,97.88,41.93,109.59,X,45.51
sqlite_84,95.86,51.43,268.41,42.79,45.82,267.52,42.69,68.7,99.29,43.52,180.89,59.35,43.33,42.89,X
