Target ,spear_0,spear_1,spear_2,spear_3,spear_4,spear_5,spear_6,spear_7,spear_8,spear_9
spear_0,X,1163.89,1607.64,3499.75,3028.97,2452.8,2752.46,1307.65,5822.54,5473.14
spear_1,1163.89,X,2401.83,4550.0,3960.04,3144.41,3831.62,186.91,6915.19,6022.19
spear_2,1607.64,2401.84,X,2199.69,2986.16,1198.1,2659.84,2531.85,4867.07,4765.22
spear_3,3499.77,4550.0,2199.69,X,3889.73,2423.53,2524.58,4685.87,3973.37,6582.43
spear_4,3028.96,3960.04,2986.16,3889.75,X,3248.72,3401.58,3999.2,5792.4,6859.27
spear_5,2452.8,3144.4,1198.09,2423.53,3248.73,X,2684.42,3187.58,4735.24,5504.39
spear_6,2752.46,3831.63,2659.84,2524.58,3401.58,2684.43,X,3984.55,3166.8,6617.71
spear_7,1307.65,186.91,2531.85,4685.85,3999.21,3187.58,3984.55,X,7069.89,6134.34
spear_8,5822.54,6915.2,4867.07,3973.39,5792.41,4735.24,3166.8,7069.89,X,9012.31
spear_9,5473.14,6022.2,4765.23,6582.42,6859.28,5504.39,6617.71,6134.34,9012.31,X
