Target ,spear_0,spear_1,spear_2,spear_3,spear_4,spear_5,spear_6,spear_7,spear_8,spear_9
spear_0,X,72.07,47.37,40.0,58.68,42.61,41.87,92.7,47.63,404.32
spear_1,32.07,X,27.23,45.29,59.88,36.86,47.83,13.97,50.15,360.45
spear_2,45.09,84.53,X,37.92,66.21,36.19,42.62,98.48,46.9,394.91
spear_3,372.97,874.63,584.36,X,313.77,259.21,74.98,956.49,61.66,800.05
spear_4,143.55,386.8,216.51,42.63,X,78.87,41.83,474.03,46.38,514.86
spear_5,116.28,270.75,141.21,30.11,78.06,X,38.28,333.91,44.36,473.37
spear_6,201.21,528.89,359.02,51.18,176.29,183.24,X,623.25,26.9,815.37
spear_7,34.82,10.08,30.77,46.18,60.55,37.98,48.48,X,50.59,358.49
spear_8,469.97,1138.1,792.72,129.96,384.65,415.35,56.6,1333.22,X,1398.92
spear_9,73.17,140.83,70.73,42.58,83.01,52.19,46.16,159.09,51.32,X
