SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,62.314
0,0,0,0,1,0,1,0,0,1,0,0,0,1,60.161
0,1,0,1,0,1,0,1,0,0,1,0,1,1,66.246
1,1,0,0,0,1,0,0,1,1,0,1,0,1,63.745
1,0,0,1,1,1,0,1,1,1,0,0,1,1,61.807
1,1,1,1,0,0,1,0,1,1,1,0,1,0,62.548
0,1,1,1,1,1,1,0,0,1,0,1,1,0,62.958
1,0,1,0,1,0,0,1,1,1,0,0,0,1,61.938
1,0,1,1,1,0,1,0,1,1,1,1,1,0,63.199
1,0,0,1,1,1,0,1,1,0,1,1,0,0,62.197
0,1,0,1,0,1,1,0,0,1,0,1,0,0,61.808
0,0,0,1,0,1,0,1,0,1,1,1,0,0,61.048
0,1,0,0,1,1,0,0,1,0,1,0,1,0,61.723
0,1,1,1,1,0,0,1,0,1,0,0,1,0,61.984
1,1,0,1,1,0,0,1,1,0,1,0,0,0,64.468
0,0,1,0,1,1,0,1,1,1,0,0,0,0,62.155
1,0,0,0,1,0,0,1,1,0,0,1,0,1,62.518
1,1,0,0,0,0,0,1,0,0,1,1,1,1,60.348
1,1,0,1,0,0,1,0,0,1,0,1,0,0,63.391
0,0,0,0,0,1,0,1,1,0,0,1,0,1,62.038
0,1,1,1,1,0,0,0,0,1,0,0,1,1,63.537
1,0,0,0,1,1,0,0,1,1,1,0,0,0,61.971
0,1,1,1,0,0,0,0,0,0,1,0,1,1,60.916
1,1,1,1,1,0,0,1,0,1,1,0,1,0,63.05
1,1,0,1,0,0,0,0,1,1,0,0,1,1,61.243
0,0,1,0,0,0,1,0,1,1,0,1,0,0,61.983
0,1,1,0,1,1,0,1,1,0,0,1,1,0,62.565
1,0,0,1,1,0,1,1,0,0,0,1,1,0,61.803
1,1,1,0,0,0,1,0,1,0,0,0,0,1,60.544
0,0,0,0,1,0,0,0,1,0,1,0,1,0,61.425
0,0,0,0,1,0,0,0,0,1,1,1,1,0,61.697
1,0,1,1,1,1,0,1,0,0,0,1,0,0,61.301
0,1,0,1,0,0,0,0,1,0,0,0,0,1,64.316
0,1,0,1,0,0,0,0,0,0,1,1,0,1,60.612
1,1,0,1,1,1,0,1,0,0,0,0,0,0,62.512
0,1,1,0,0,0,1,0,0,1,1,1,0,0,62.64
0,1,1,0,0,0,0,1,0,1,1,0,0,1,61.987
1,1,1,0,1,1,0,0,1,0,1,1,1,1,62.949
0,0,0,0,1,0,1,0,1,0,1,0,1,0,62.46
0,0,0,1,1,1,0,0,0,0,0,1,1,1,62.115
1,0,0,0,1,0,1,1,0,0,1,0,1,0,63.576
1,0,0,1,0,1,0,1,1,0,0,0,1,0,62.815
0,1,1,0,0,0,1,1,1,1,1,1,0,0,60.735
1,0,1,1,0,0,0,0,1,1,1,0,1,0,62.01
0,0,0,1,1,0,0,1,0,1,1,0,1,1,62.405
1,1,1,1,1,0,0,1,1,1,0,0,1,0,62.028
1,0,1,0,0,1,1,1,1,0,1,1,0,1,64.947
0,1,0,1,1,1,0,0,1,1,0,0,1,0,62.971
0,1,1,1,1,1,1,0,1,1,1,0,1,0,60.856
0,1,0,1,0,0,1,1,1,1,1,0,0,0,60.905
1,0,1,1,1,0,1,0,1,1,0,1,1,0,64.061
1,0,0,1,1,1,1,0,0,0,1,1,1,0,62.561
1,0,0,1,0,0,1,1,0,0,0,0,0,1,63.01
1,1,1,0,0,1,0,0,1,0,1,0,1,1,60.68
0,0,1,1,0,1,0,1,1,1,0,0,0,0,63.345
1,0,0,0,1,1,0,1,0,1,1,1,1,0,63.419
1,1,1,0,0,0,0,1,0,0,0,0,0,1,60.666
0,0,1,0,1,1,1,0,0,0,1,0,0,0,62.097
1,1,1,0,0,0,0,0,0,1,1,0,0,0,63.736
0,0,0,0,0,1,1,1,1,0,0,1,1,0,62.358
0,0,1,1,1,0,1,1,0,0,1,0,0,0,61.7
0,1,0,0,0,1,1,1,1,1,0,1,1,0,61.171
0,0,0,1,0,0,0,0,0,1,1,0,0,1,60.456
1,0,0,0,1,1,0,1,0,1,1,1,0,0,62.1
0,0,1,1,0,0,1,1,0,1,1,1,1,0,64.733
