SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,14.24
0,0,0,0,1,0,1,0,0,1,0,0,0,1,10.735
0,1,0,1,0,1,0,1,0,0,1,0,1,1,11.297
1,1,0,0,0,1,0,0,1,1,0,1,0,1,14.11
1,0,0,1,1,1,0,1,1,1,0,0,1,1,10.623
1,1,1,1,0,0,1,0,1,1,1,0,1,0,10.883
0,1,1,1,1,1,1,0,0,1,0,1,1,0,14.46
1,0,1,0,1,0,0,1,1,1,0,0,0,1,11.07
1,0,1,1,1,0,1,0,1,1,1,1,1,0,13.601
1,0,0,1,1,1,0,1,1,0,1,1,0,0,13.921
0,1,0,1,0,1,1,0,0,1,0,1,0,0,13.782
0,0,0,1,0,1,0,1,0,1,1,1,0,0,13.557
0,1,0,0,1,1,0,0,1,0,1,0,1,0,10.522
0,1,1,1,1,0,0,1,0,1,0,0,1,0,10.58
1,1,0,1,1,0,0,1,1,0,1,0,0,0,10.679
0,0,1,0,1,1,0,1,1,1,0,0,0,0,10.773
1,0,0,0,1,0,0,1,1,0,0,1,0,1,13.85
1,1,0,0,0,0,0,1,0,0,1,1,1,1,13.983
1,1,0,1,0,0,1,0,0,1,0,1,0,0,14.071
0,0,0,0,0,1,0,1,1,0,0,1,0,1,14.063
0,1,1,1,1,0,0,0,0,1,0,0,1,1,10.686
1,0,0,0,1,1,0,0,1,1,1,0,0,0,10.686
0,1,1,1,0,0,0,0,0,0,1,0,1,1,10.899
1,1,1,1,1,0,0,1,0,1,1,0,1,0,10.586
1,1,0,1,0,0,0,0,1,1,0,0,1,1,11.115
0,0,1,0,0,0,1,0,1,1,0,1,0,0,13.697
0,1,1,0,1,1,0,1,1,0,0,1,1,0,13.533
1,0,0,1,1,0,1,1,0,0,0,1,1,0,13.763
1,1,1,0,0,0,1,0,1,0,0,0,0,1,10.996
0,0,0,0,1,0,0,0,1,0,1,0,1,0,10.572
0,0,0,0,1,0,0,0,0,1,1,1,1,0,13.799
1,0,1,1,1,1,0,1,0,0,0,1,0,0,13.615
0,1,0,1,0,0,0,0,1,0,0,0,0,1,11.006
0,1,0,1,0,0,0,0,0,0,1,1,0,1,13.759
1,1,0,1,1,1,0,1,0,0,0,0,0,0,10.684
0,1,1,0,0,0,1,0,0,1,1,1,0,0,13.833
0,1,1,0,0,0,0,1,0,1,1,0,0,1,10.778
1,1,1,0,1,1,0,0,1,0,1,1,1,1,13.721
0,0,0,0,1,0,1,0,1,0,1,0,1,0,10.756
0,0,0,1,1,1,0,0,0,0,0,1,1,1,13.51
1,0,0,0,1,0,1,1,0,0,1,0,1,0,10.579
1,0,0,1,0,1,0,1,1,0,0,0,1,0,10.818
0,1,1,0,0,0,1,1,1,1,1,1,0,0,13.907
1,0,1,1,0,0,0,0,1,1,1,0,1,0,10.686
0,0,0,1,1,0,0,1,0,1,1,0,1,1,10.776
1,1,1,1,1,0,0,1,1,1,0,0,1,0,10.823
1,0,1,0,0,1,1,1,1,0,1,1,0,1,13.666
0,1,0,1,1,1,0,0,1,1,0,0,1,0,10.634
0,1,1,1,1,1,1,0,1,1,1,0,1,0,10.76
0,1,0,1,0,0,1,1,1,1,1,0,0,0,10.578
1,0,1,1,1,0,1,0,1,1,0,1,1,0,13.689
1,0,0,1,1,1,1,0,0,0,1,1,1,0,13.74
1,0,0,1,0,0,1,1,0,0,0,0,0,1,10.828
1,1,1,0,0,1,0,0,1,0,1,0,1,1,10.649
0,0,1,1,0,1,0,1,1,1,0,0,0,0,10.785
1,0,0,0,1,1,0,1,0,1,1,1,1,0,13.786
1,1,1,0,0,0,0,1,0,0,0,0,0,1,11.148
0,0,1,0,1,1,1,0,0,0,1,0,0,0,10.821
1,1,1,0,0,0,0,0,0,1,1,0,0,0,10.819
0,0,0,0,0,1,1,1,1,0,0,1,1,0,13.692
0,0,1,1,1,0,1,1,0,0,1,0,0,0,10.859
0,1,0,0,0,1,1,1,1,1,0,1,1,0,13.941
0,0,0,1,0,0,0,0,0,1,1,0,0,1,10.798
1,0,0,0,1,1,0,1,0,1,1,1,0,0,13.933
0,0,1,1,0,0,1,1,0,1,1,1,1,0,13.781
0,1,1,1,1,0,1,0,0,0,1,0,1,0,10.573
0,0,0,1,0,0,0,0,0,1,0,1,1,0,14.019
0,1,0,1,0,0,1,0,0,1,1,0,1,1,10.791
0,0,1,1,1,0,1,0,1,1,1,0,1,0,10.549
0,0,0,1,1,0,1,0,1,1,0,0,1,0,10.766
0,0,1,0,0,0,0,0,1,0,1,0,1,1,10.864
0,0,1,0,1,0,1,0,0,0,0,0,0,1,10.607
0,1,1,1,1,1,1,0,1,1,0,1,1,1,13.941
1,1,0,1,0,0,0,1,0,1,0,1,0,0,13.735
1,0,1,1,0,0,0,1,1,1,1,0,0,0,10.758
1,1,0,0,1,1,1,0,0,0,0,1,1,0,13.7
1,0,0,1,1,1,1,0,1,1,1,1,0,1,13.828
0,0,0,0,0,1,0,1,0,0,0,0,0,1,10.85
1,1,1,1,1,1,1,1,1,1,1,0,0,1,10.878
0,0,1,1,0,0,1,1,0,0,1,1,0,0,14.393
1,1,1,0,1,0,1,1,1,1,0,1,0,0,14.258
0,0,0,1,1,0,0,0,0,1,1,0,1,0,10.844
1,1,0,0,1,0,0,0,1,0,0,1,1,0,14.038
0,1,0,1,1,0,0,0,0,0,0,1,1,0,13.765
1,0,0,1,0,1,0,0,1,1,1,1,1,0,13.831
1,1,1,1,1,1,0,0,1,1,1,0,0,0,10.716
1,0,1,0,1,1,0,0,1,1,1,1,0,1,14.348
0,0,1,1,0,1,0,1,0,0,1,1,0,1,13.668
0,1,0,1,0,0,1,1,1,1,1,0,1,1,10.511
1,0,0,1,1,1,1,0,1,0,0,1,1,0,13.549
1,0,0,1,1,0,1,0,1,1,0,1,1,0,13.676
0,0,1,1,0,0,0,0,1,1,0,0,1,0,10.64
0,0,0,0,1,1,1,1,1,0,1,0,1,0,10.918
1,0,0,1,1,1,1,1,1,0,1,0,0,1,10.906
1,1,0,0,0,1,0,0,1,0,0,1,0,0,13.988
1,0,1,1,0,0,0,0,0,0,1,1,0,0,14.001
1,0,1,0,1,0,0,0,1,0,0,1,0,0,13.688
0,1,1,1,1,1,0,1,1,0,0,0,0,0,10.748
0,1,0,0,0,1,0,0,1,0,1,1,0,0,13.577
1,0,0,0,1,1,0,0,0,1,1,0,0,1,10.664
1,1,0,1,1,0,0,1,1,0,0,1,0,0,14.613
1,0,1,1,0,1,0,1,1,1,1,0,1,1,10.736
0,1,1,0,1,1,1,0,0,1,1,0,0,1,10.819
1,1,0,1,0,0,1,1,0,0,1,1,1,0,13.793
0,1,0,1,1,0,1,1,0,1,1,0,1,0,10.908
1,0,0,1,1,0,1,1,0,1,0,1,0,1,13.812
1,1,1,0,1,0,0,0,1,0,0,0,0,1,11.013
0,0,1,1,0,0,1,0,0,1,0,1,0,1,13.686
0,1,1,0,0,0,1,1,0,0,1,0,0,1,10.831
0,1,1,1,1,1,0,0,0,1,1,1,0,1,13.756
1,0,1,0,0,0,1,0,1,0,0,1,0,0,14.063
0,0,1,0,0,1,1,0,1,0,0,0,1,1,10.561
1,1,1,0,0,0,0,1,0,0,1,1,1,1,13.7
0,0,0,1,0,1,1,1,1,1,0,0,0,0,10.735
0,1,1,0,0,0,0,0,1,0,1,1,1,1,13.662
0,1,0,0,0,0,0,1,0,1,1,1,1,0,14.021
0,1,1,1,1,0,1,1,1,1,1,0,0,0,10.781
0,0,0,1,1,0,0,0,0,1,1,1,0,1,13.829
1,0,1,0,0,1,0,0,0,0,0,0,1,1,10.788
1,0,1,0,1,1,0,0,1,1,0,1,0,0,13.95
0,1,1,1,0,1,0,0,0,0,0,1,0,0,13.595
1,0,1,1,0,1,0,1,0,0,0,0,1,1,10.822
0,1,1,1,1,0,0,1,1,1,1,0,0,0,10.802
0,1,0,1,1,0,1,0,0,1,1,0,1,0,10.593
0,0,1,1,1,0,0,1,1,1,1,0,1,0,10.502
1,0,1,1,1,1,1,1,0,1,1,0,1,0,10.535
0,0,1,1,1,0,1,0,0,1,1,1,0,1,13.797
1,1,0,0,0,0,1,1,1,1,1,0,1,0,10.674
0,1,1,1,0,1,0,0,0,0,1,1,1,0,13.715
1,1,1,1,0,1,1,1,1,1,1,0,1,1,10.554
1,1,1,0,0,0,1,0,0,1,1,0,1,1,10.65
