SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,202.89
0,0,0,0,1,0,1,0,0,1,0,0,0,1,200.01
0,1,0,1,0,1,0,1,0,0,1,0,1,1,199.56
1,1,0,0,0,1,0,0,1,1,0,1,0,1,204.88
1,0,0,1,1,1,0,1,1,1,0,0,1,1,199.9
1,1,1,1,0,0,1,0,1,1,1,0,1,0,197.4
0,1,1,1,1,1,1,0,0,1,0,1,1,0,203.51
1,0,1,0,1,0,0,1,1,1,0,0,0,1,201.88
1,0,1,1,1,0,1,0,1,1,1,1,1,0,203.74
1,0,0,1,1,1,0,1,1,0,1,1,0,0,204.08
0,1,0,1,0,1,1,0,0,1,0,1,0,0,202.65
0,0,0,1,0,1,0,1,0,1,1,1,0,0,206.18
0,1,0,0,1,1,0,0,1,0,1,0,1,0,196.61
0,1,1,1,1,0,0,1,0,1,0,0,1,0,196.86
1,1,0,1,1,0,0,1,1,0,1,0,0,0,197.57
0,0,1,0,1,1,0,1,1,1,0,0,0,0,198.88
1,0,0,0,1,0,0,1,1,0,0,1,0,1,204.07
1,1,0,0,0,0,0,1,0,0,1,1,1,1,205.73
1,1,0,1,0,0,1,0,0,1,0,1,0,0,205.17
0,0,0,0,0,1,0,1,1,0,0,1,0,1,203.11
0,1,1,1,1,0,0,0,0,1,0,0,1,1,195.39
1,0,0,0,1,1,0,0,1,1,1,0,0,0,196.81
0,1,1,1,0,0,0,0,0,0,1,0,1,1,196.65
1,1,1,1,1,0,0,1,0,1,1,0,1,0,200.06
1,1,0,1,0,0,0,0,1,1,0,0,1,1,197.57
0,0,1,0,0,0,1,0,1,1,0,1,0,0,202.83
0,1,1,0,1,1,0,1,1,0,0,1,1,0,203.25
1,0,0,1,1,0,1,1,0,0,0,1,1,0,206.52
1,1,1,0,0,0,1,0,1,0,0,0,0,1,202.56
0,0,0,0,1,0,0,0,1,0,1,0,1,0,198.04
0,0,0,0,1,0,0,0,0,1,1,1,1,0,203.76
1,0,1,1,1,1,0,1,0,0,0,1,0,0,206.28
0,1,0,1,0,0,0,0,1,0,0,0,0,1,196.04
0,1,0,1,0,0,0,0,0,0,1,1,0,1,203.56
1,1,0,1,1,1,0,1,0,0,0,0,0,0,197.49
0,1,1,0,0,0,1,0,0,1,1,1,0,0,203.52
0,1,1,0,0,0,0,1,0,1,1,0,0,1,198.56
1,1,1,0,1,1,0,0,1,0,1,1,1,1,204.13
0,0,0,0,1,0,1,0,1,0,1,0,1,0,196.81
0,0,0,1,1,1,0,0,0,0,0,1,1,1,200.91
1,0,0,0,1,0,1,1,0,0,1,0,1,0,199.6
1,0,0,1,0,1,0,1,1,0,0,0,1,0,200.1
0,1,1,0,0,0,1,1,1,1,1,1,0,0,203.48
1,0,1,1,0,0,0,0,1,1,1,0,1,0,200.05
0,0,0,1,1,0,0,1,0,1,1,0,1,1,198.25
1,1,1,1,1,0,0,1,1,1,0,0,1,0,198.37
1,0,1,0,0,1,1,1,1,0,1,1,0,1,206.14
0,1,0,1,1,1,0,0,1,1,0,0,1,0,199.53
0,1,1,1,1,1,1,0,1,1,1,0,1,0,198.19
