SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,71.113
0,0,0,0,1,0,1,0,0,1,0,0,0,1,69.134
0,1,0,1,0,1,0,1,0,0,1,0,1,1,68.747
1,1,0,0,0,1,0,0,1,1,0,1,0,1,71.017
1,0,0,1,1,1,0,1,1,1,0,0,1,1,68.944
1,1,1,1,0,0,1,0,1,1,1,0,1,0,70.679
0,1,1,1,1,1,1,0,0,1,0,1,1,0,68.94
1,0,1,0,1,0,0,1,1,1,0,0,0,1,70.967
1,0,1,1,1,0,1,0,1,1,1,1,1,0,70.616
1,0,0,1,1,1,0,1,1,0,1,1,0,0,68.428
0,1,0,1,0,1,1,0,0,1,0,1,0,0,69.355
0,0,0,1,0,1,0,1,0,1,1,1,0,0,70.77
0,1,0,0,1,1,0,0,1,0,1,0,1,0,67.935
0,1,1,1,1,0,0,1,0,1,0,0,1,0,68.612
1,1,0,1,1,0,0,1,1,0,1,0,0,0,68.805
0,0,1,0,1,1,0,1,1,1,0,0,0,0,69.582
1,0,0,0,1,0,0,1,1,0,0,1,0,1,69.168
1,1,0,0,0,0,0,1,0,0,1,1,1,1,68.804
1,1,0,1,0,0,1,0,0,1,0,1,0,0,71.05
0,0,0,0,0,1,0,1,1,0,0,1,0,1,69.375
0,1,1,1,1,0,0,0,0,1,0,0,1,1,70.678
1,0,0,0,1,1,0,0,1,1,1,0,0,0,69.394
0,1,1,1,0,0,0,0,0,0,1,0,1,1,70.812
