SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq
0,0,0,1,0,1,1,0,0,1,1,1,1,0,13.521
0,0,0,0,1,0,1,0,0,1,0,0,0,1,10.686
0,1,0,1,0,1,0,1,0,0,1,0,1,1,10.753
1,1,0,0,0,1,0,0,1,1,0,1,0,1,13.944
1,0,0,1,1,1,0,1,1,1,0,0,1,1,11.008
1,1,1,1,0,0,1,0,1,1,1,0,1,0,10.734
0,1,1,1,1,1,1,0,0,1,0,1,1,0,13.825
1,0,1,0,1,0,0,1,1,1,0,0,0,1,10.643
1,0,1,1,1,0,1,0,1,1,1,1,1,0,13.652
1,0,0,1,1,1,0,1,1,0,1,1,0,0,13.931
0,1,0,1,0,1,1,0,0,1,0,1,0,0,13.937
0,0,0,1,0,1,0,1,0,1,1,1,0,0,13.966
0,1,0,0,1,1,0,0,1,0,1,0,1,0,10.476
0,1,1,1,1,0,0,1,0,1,0,0,1,0,10.791
1,1,0,1,1,0,0,1,1,0,1,0,0,0,10.729
0,0,1,0,1,1,0,1,1,1,0,0,0,0,10.81
1,0,0,0,1,0,0,1,1,0,0,1,0,1,13.731
1,1,0,0,0,0,0,1,0,0,1,1,1,1,14.319
1,1,0,1,0,0,1,0,0,1,0,1,0,0,14.013
0,0,0,0,0,1,0,1,1,0,0,1,0,1,13.58
0,1,1,1,1,0,0,0,0,1,0,0,1,1,10.659
1,0,0,0,1,1,0,0,1,1,1,0,0,0,10.711
0,1,1,1,0,0,0,0,0,0,1,0,1,1,10.506
1,1,1,1,1,0,0,1,0,1,1,0,1,0,10.559
1,1,0,1,0,0,0,0,1,1,0,0,1,1,10.821
0,0,1,0,0,0,1,0,1,1,0,1,0,0,13.695
0,1,1,0,1,1,0,1,1,0,0,1,1,0,13.676
1,0,0,1,1,0,1,1,0,0,0,1,1,0,13.848
1,1,1,0,0,0,1,0,1,0,0,0,0,1,10.792
0,0,0,0,1,0,0,0,1,0,1,0,1,0,10.614
0,0,0,0,1,0,0,0,0,1,1,1,1,0,13.622
1,0,1,1,1,1,0,1,0,0,0,1,0,0,13.767
0,1,0,1,0,0,0,0,1,0,0,0,0,1,10.961
0,1,0,1,0,0,0,0,0,0,1,1,0,1,13.873
1,1,0,1,1,1,0,1,0,0,0,0,0,0,10.66
0,1,1,0,0,0,1,0,0,1,1,1,0,0,14.007
0,1,1,0,0,0,0,1,0,1,1,0,0,1,10.903
1,1,1,0,1,1,0,0,1,0,1,1,1,1,14.029
0,0,0,0,1,0,1,0,1,0,1,0,1,0,10.457
0,0,0,1,1,1,0,0,0,0,0,1,1,1,13.396
1,0,0,0,1,0,1,1,0,0,1,0,1,0,10.556
1,0,0,1,0,1,0,1,1,0,0,0,1,0,10.635
0,1,1,0,0,0,1,1,1,1,1,1,0,0,13.905
1,0,1,1,0,0,0,0,1,1,1,0,1,0,10.644
0,0,0,1,1,0,0,1,0,1,1,0,1,1,10.927
1,1,1,1,1,0,0,1,1,1,0,0,1,0,10.622
1,0,1,0,0,1,1,1,1,0,1,1,0,1,14.106
0,1,0,1,1,1,0,0,1,1,0,0,1,0,10.565
0,1,1,1,1,1,1,0,1,1,1,0,1,0,10.577
0,1,0,1,0,0,1,1,1,1,1,0,0,0,10.625
1,0,1,1,1,0,1,0,1,1,0,1,1,0,13.701
