SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,24.842
0,0,0,0,1,0,1,0,0,1,0,0,0,1,21.495
0,1,0,1,0,1,0,1,0,0,1,0,1,1,22.059
1,1,0,0,0,1,0,0,1,1,0,1,0,1,25.235
1,0,0,1,1,1,0,1,1,1,0,0,1,1,22.02
1,1,1,1,0,0,1,0,1,1,1,0,1,0,21.57
0,1,1,1,1,1,1,0,0,1,0,1,1,0,24.981
1,0,1,0,1,0,0,1,1,1,0,0,0,1,21.719
1,0,1,1,1,0,1,0,1,1,1,1,1,0,24.776
1,0,0,1,1,1,0,1,1,0,1,1,0,0,25.92
0,1,0,1,0,1,1,0,0,1,0,1,0,0,24.792
0,0,0,1,0,1,0,1,0,1,1,1,0,0,24.64
0,1,0,0,1,1,0,0,1,0,1,0,1,0,22.164
0,1,1,1,1,0,0,1,0,1,0,0,1,0,21.51
1,1,0,1,1,0,0,1,1,0,1,0,0,0,21.264
0,0,1,0,1,1,0,1,1,1,0,0,0,0,21.801
1,0,0,0,1,0,0,1,1,0,0,1,0,1,24.818
1,1,0,0,0,0,0,1,0,0,1,1,1,1,24.61
1,1,0,1,0,0,1,0,0,1,0,1,0,0,25.258
0,0,0,0,0,1,0,1,1,0,0,1,0,1,25.764
0,1,1,1,1,0,0,0,0,1,0,0,1,1,21.544
1,0,0,0,1,1,0,0,1,1,1,0,0,0,21.693
0,1,1,1,0,0,0,0,0,0,1,0,1,1,21.38
1,1,1,1,1,0,0,1,0,1,1,0,1,0,21.372
1,1,0,1,0,0,0,0,1,1,0,0,1,1,21.754
0,0,1,0,0,0,1,0,1,1,0,1,0,0,24.564
0,1,1,0,1,1,0,1,1,0,0,1,1,0,24.522
1,0,0,1,1,0,1,1,0,0,0,1,1,0,25.094
1,1,1,0,0,0,1,0,1,0,0,0,0,1,21.899
0,0,0,0,1,0,0,0,1,0,1,0,1,0,21.285
0,0,0,0,1,0,0,0,0,1,1,1,1,0,25.215
1,0,1,1,1,1,0,1,0,0,0,1,0,0,25.014
0,1,0,1,0,0,0,0,1,0,0,0,0,1,22.362
0,1,0,1,0,0,0,0,0,0,1,1,0,1,24.892
1,1,0,1,1,1,0,1,0,0,0,0,0,0,21.557
0,1,1,0,0,0,1,0,0,1,1,1,0,0,25.47
0,1,1,0,0,0,0,1,0,1,1,0,0,1,21.371
