SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom
0,0,0,1,0,1,1,0,0,1,1,1,1,0,6.358
0,0,0,0,1,0,1,0,0,1,0,0,0,1,6.491
0,1,0,1,0,1,0,1,0,0,1,0,1,1,6.422
1,1,0,0,0,1,0,0,1,1,0,1,0,1,6.353
1,0,0,1,1,1,0,1,1,1,0,0,1,1,6.177
1,1,1,1,0,0,1,0,1,1,1,0,1,0,6.457
0,1,1,1,1,1,1,0,0,1,0,1,1,0,6.206
1,0,1,0,1,0,0,1,1,1,0,0,0,1,6.341
1,0,1,1,1,0,1,0,1,1,1,1,1,0,6.199
1,0,0,1,1,1,0,1,1,0,1,1,0,0,6.294
0,1,0,1,0,1,1,0,0,1,0,1,0,0,6.543
0,0,0,1,0,1,0,1,0,1,1,1,0,0,6.278
0,1,0,0,1,1,0,0,1,0,1,0,1,0,6.127
0,1,1,1,1,0,0,1,0,1,0,0,1,0,6.444
1,1,0,1,1,0,0,1,1,0,1,0,0,0,6.562
0,0,1,0,1,1,0,1,1,1,0,0,0,0,6.386
1,0,0,0,1,0,0,1,1,0,0,1,0,1,6.2
1,1,0,0,0,0,0,1,0,0,1,1,1,1,6.115
1,1,0,1,0,0,1,0,0,1,0,1,0,0,6.294
0,0,0,0,0,1,0,1,1,0,0,1,0,1,6.279
0,1,1,1,1,0,0,0,0,1,0,0,1,1,6.259
1,0,0,0,1,1,0,0,1,1,1,0,0,0,6.296
0,1,1,1,0,0,0,0,0,0,1,0,1,1,6.16
1,1,1,1,1,0,0,1,0,1,1,0,1,0,6.365
1,1,0,1,0,0,0,0,1,1,0,0,1,1,6.31
0,0,1,0,0,0,1,0,1,1,0,1,0,0,6.394
0,1,1,0,1,1,0,1,1,0,0,1,1,0,6.214
1,0,0,1,1,0,1,1,0,0,0,1,1,0,6.154
1,1,1,0,0,0,1,0,1,0,0,0,0,1,6.254
0,0,0,0,1,0,0,0,1,0,1,0,1,0,6.187
0,0,0,0,1,0,0,0,0,1,1,1,1,0,6.408
1,0,1,1,1,1,0,1,0,0,0,1,0,0,6.224
0,1,0,1,0,0,0,0,1,0,0,0,0,1,6.466
0,1,0,1,0,0,0,0,0,0,1,1,0,1,7.055
1,1,0,1,1,1,0,1,0,0,0,0,0,0,6.251
0,1,1,0,0,0,1,0,0,1,1,1,0,0,6.584
0,1,1,0,0,0,0,1,0,1,1,0,0,1,6.451
1,1,1,0,1,1,0,0,1,0,1,1,1,1,6.23
0,0,0,0,1,0,1,0,1,0,1,0,1,0,6.321
0,0,0,1,1,1,0,0,0,0,0,1,1,1,6.156
1,0,0,0,1,0,1,1,0,0,1,0,1,0,6.259
1,0,0,1,0,1,0,1,1,0,0,0,1,0,6.159
0,1,1,0,0,0,1,1,1,1,1,1,0,0,6.325
1,0,1,1,0,0,0,0,1,1,1,0,1,0,6.3
0,0,0,1,1,0,0,1,0,1,1,0,1,1,6.247
1,1,1,1,1,0,0,1,1,1,0,0,1,0,6.422
1,0,1,0,0,1,1,1,1,0,1,1,0,1,6.456
0,1,0,1,1,1,0,0,1,1,0,0,1,0,6.44
0,1,1,1,1,1,1,0,1,1,1,0,1,0,6.323
0,1,0,1,0,0,1,1,1,1,1,0,0,0,6.323
1,0,1,1,1,0,1,0,1,1,0,1,1,0,6.381
