SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,20.876
0,0,0,0,1,0,1,0,0,1,0,0,0,1,18.395
0,1,0,1,0,1,0,1,0,0,1,0,1,1,17.447
1,1,0,0,0,1,0,0,1,1,0,1,0,1,21.219
1,0,0,1,1,1,0,1,1,1,0,0,1,1,18.323
1,1,1,1,0,0,1,0,1,1,1,0,1,0,18.59
0,1,1,1,1,1,1,0,0,1,0,1,1,0,21.051
1,0,1,0,1,0,0,1,1,1,0,0,0,1,18.34
1,0,1,1,1,0,1,0,1,1,1,1,1,0,21.144
1,0,0,1,1,1,0,1,1,0,1,1,0,0,20.194
0,1,0,1,0,1,1,0,0,1,0,1,0,0,21.377
0,0,0,1,0,1,0,1,0,1,1,1,0,0,21.205
0,1,0,0,1,1,0,0,1,0,1,0,1,0,17.164
0,1,1,1,1,0,0,1,0,1,0,0,1,0,18.358
1,1,0,1,1,0,0,1,1,0,1,0,0,0,17.611
0,0,1,0,1,1,0,1,1,1,0,0,0,0,18.288
1,0,0,0,1,0,0,1,1,0,0,1,0,1,20.249
1,1,0,0,0,0,0,1,0,0,1,1,1,1,19.884
1,1,0,1,0,0,1,0,0,1,0,1,0,0,21.468
0,0,0,0,0,1,0,1,1,0,0,1,0,1,20.33
0,1,1,1,1,0,0,0,0,1,0,0,1,1,18.383
1,0,0,0,1,1,0,0,1,1,1,0,0,0,18.559
0,1,1,1,0,0,0,0,0,0,1,0,1,1,17.453
1,1,1,1,1,0,0,1,0,1,1,0,1,0,18.32
1,1,0,1,0,0,0,0,1,1,0,0,1,1,18.545
0,0,1,0,0,0,1,0,1,1,0,1,0,0,21.047
0,1,1,0,1,1,0,1,1,0,0,1,1,0,19.918
1,0,0,1,1,0,1,1,0,0,0,1,1,0,20.118
1,1,1,0,0,0,1,0,1,0,0,0,0,1,17.575
0,0,0,0,1,0,0,0,1,0,1,0,1,0,17.304
0,0,0,0,1,0,0,0,0,1,1,1,1,0,21.095
1,0,1,1,1,1,0,1,0,0,0,1,0,0,20.207
0,1,0,1,0,0,0,0,1,0,0,0,0,1,17.339
0,1,0,1,0,0,0,0,0,0,1,1,0,1,20.348
1,1,0,1,1,1,0,1,0,0,0,0,0,0,17.523
0,1,1,0,0,0,1,0,0,1,1,1,0,0,21.265
0,1,1,0,0,0,0,1,0,1,1,0,0,1,18.584
1,1,1,0,1,1,0,0,1,0,1,1,1,1,20.043
0,0,0,0,1,0,1,0,1,0,1,0,1,0,17.276
0,0,0,1,1,1,0,0,0,0,0,1,1,1,19.874
1,0,0,0,1,0,1,1,0,0,1,0,1,0,17.154
1,0,0,1,0,1,0,1,1,0,0,0,1,0,17.265
0,1,1,0,0,0,1,1,1,1,1,1,0,0,21.323
1,0,1,1,0,0,0,0,1,1,1,0,1,0,18.175
0,0,0,1,1,0,0,1,0,1,1,0,1,1,18.385
1,1,1,1,1,0,0,1,1,1,0,0,1,0,18.152
1,0,1,0,0,1,1,1,1,0,1,1,0,1,20.279
0,1,0,1,1,1,0,0,1,1,0,0,1,0,18.342
0,1,1,1,1,1,1,0,1,1,1,0,1,0,18.323
0,1,0,1,0,0,1,1,1,1,1,0,0,0,18.695
1,0,1,1,1,0,1,0,1,1,0,1,1,0,21.372
1,0,0,1,1,1,1,0,0,0,1,1,1,0,19.88
1,0,0,1,0,0,1,1,0,0,0,0,0,1,17.687
1,1,1,0,0,1,0,0,1,0,1,0,1,1,17.378
0,0,1,1,0,1,0,1,1,1,0,0,0,0,18.36
1,0,0,0,1,1,0,1,0,1,1,1,1,0,20.839
1,1,1,0,0,0,0,1,0,0,0,0,0,1,17.527
