SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,10.632
0,0,0,0,1,0,1,0,0,1,0,0,0,1,11.072
0,1,0,1,0,1,0,1,0,0,1,0,1,1,12.362
1,1,0,0,0,1,0,0,1,1,0,1,0,1,11.835
1,0,0,1,1,1,0,1,1,1,0,0,1,1,11.565
1,1,1,1,0,0,1,0,1,1,1,0,1,0,12.585
0,1,1,1,1,1,1,0,0,1,0,1,1,0,18.441
1,0,1,0,1,0,0,1,1,1,0,0,0,1,11.905
1,0,1,1,1,0,1,0,1,1,1,1,1,0,12.247
1,0,0,1,1,1,0,1,1,0,1,1,0,0,9.847
0,1,0,1,0,1,1,0,0,1,0,1,0,0,12.54
0,0,0,1,0,1,0,1,0,1,1,1,0,0,10.361
0,1,0,0,1,1,0,0,1,0,1,0,1,0,10.971
0,1,1,1,1,0,0,1,0,1,0,0,1,0,11.244
1,1,0,1,1,0,0,1,1,0,1,0,0,0,12.902
0,0,1,0,1,1,0,1,1,1,0,0,0,0,11.411
1,0,0,0,1,0,0,1,1,0,0,1,0,1,13.454
1,1,0,0,0,0,0,1,0,0,1,1,1,1,9.506
1,1,0,1,0,0,1,0,0,1,0,1,0,0,11.283
0,0,0,0,0,1,0,1,1,0,0,1,0,1,11.435
0,1,1,1,1,0,0,0,0,1,0,0,1,1,11.415
1,0,0,0,1,1,0,0,1,1,1,0,0,0,14.334
0,1,1,1,0,0,0,0,0,0,1,0,1,1,11.633
1,1,1,1,1,0,0,1,0,1,1,0,1,0,11.194
1,1,0,1,0,0,0,0,1,1,0,0,1,1,12.028
0,0,1,0,0,0,1,0,1,1,0,1,0,0,13.098
0,1,1,0,1,1,0,1,1,0,0,1,1,0,15.5
1,0,0,1,1,0,1,1,0,0,0,1,1,0,14.801
1,1,1,0,0,0,1,0,1,0,0,0,0,1,13.747
0,0,0,0,1,0,0,0,1,0,1,0,1,0,12.048
0,0,0,0,1,0,0,0,0,1,1,1,1,0,11.215
1,0,1,1,1,1,0,1,0,0,0,1,0,0,13.816
0,1,0,1,0,0,0,0,1,0,0,0,0,1,14.285
0,1,0,1,0,0,0,0,0,0,1,1,0,1,17.071
1,1,0,1,1,1,0,1,0,0,0,0,0,0,11.132
0,1,1,0,0,0,1,0,0,1,1,1,0,0,14.976
0,1,1,0,0,0,0,1,0,1,1,0,0,1,10.594
1,1,1,0,1,1,0,0,1,0,1,1,1,1,16.617
0,0,0,0,1,0,1,0,1,0,1,0,1,0,11.298
0,0,0,1,1,1,0,0,0,0,0,1,1,1,12.878
1,0,0,0,1,0,1,1,0,0,1,0,1,0,15.308
1,0,0,1,0,1,0,1,1,0,0,0,1,0,9.478
0,1,1,0,0,0,1,1,1,1,1,1,0,0,17.26
1,0,1,1,0,0,0,0,1,1,1,0,1,0,10.366
0,0,0,1,1,0,0,1,0,1,1,0,1,1,13.756
1,1,1,1,1,0,0,1,1,1,0,0,1,0,11.479
1,0,1,0,0,1,1,1,1,0,1,1,0,1,14.694
0,1,0,1,1,1,0,0,1,1,0,0,1,0,16.055
0,1,1,1,1,1,1,0,1,1,1,0,1,0,14.537
0,1,0,1,0,0,1,1,1,1,1,0,0,0,13.188
1,0,1,1,1,0,1,0,1,1,0,1,1,0,10.906
1,0,0,1,1,1,1,0,0,0,1,1,1,0,18.243
1,0,0,1,0,0,1,1,0,0,0,0,0,1,9.537
1,1,1,0,0,1,0,0,1,0,1,0,1,1,11.491
0,0,1,1,0,1,0,1,1,1,0,0,0,0,11.242
1,0,0,0,1,1,0,1,0,1,1,1,1,0,12.906
1,1,1,0,0,0,0,1,0,0,0,0,0,1,9.979
0,0,1,0,1,1,1,0,0,0,1,0,0,0,12.614
1,1,1,0,0,0,0,0,0,1,1,0,0,0,11.61
0,0,0,0,0,1,1,1,1,0,0,1,1,0,9.264
0,0,1,1,1,0,1,1,0,0,1,0,0,0,10.785
0,1,0,0,0,1,1,1,1,1,0,1,1,0,13.206
0,0,0,1,0,0,0,0,0,1,1,0,0,1,12.704
1,0,0,0,1,1,0,1,0,1,1,1,0,0,13.464
0,0,1,1,0,0,1,1,0,1,1,1,1,0,16.038
0,1,1,1,1,0,1,0,0,0,1,0,1,0,11.027
0,0,0,1,0,0,0,0,0,1,0,1,1,0,14.416
0,1,0,1,0,0,1,0,0,1,1,0,1,1,11.223
0,0,1,1,1,0,1,0,1,1,1,0,1,0,12.613
0,0,0,1,1,0,1,0,1,1,0,0,1,0,11.713
0,0,1,0,0,0,0,0,1,0,1,0,1,1,11.407
0,0,1,0,1,0,1,0,0,0,0,0,0,1,9.575
0,1,1,1,1,1,1,0,1,1,0,1,1,1,10.531
1,1,0,1,0,0,0,1,0,1,0,1,0,0,16.129
1,0,1,1,0,0,0,1,1,1,1,0,0,0,13.213
1,1,0,0,1,1,1,0,0,0,0,1,1,0,10.648
1,0,0,1,1,1,1,0,1,1,1,1,0,1,13.601
0,0,0,0,0,1,0,1,0,0,0,0,0,1,9.516
1,1,1,1,1,1,1,1,1,1,1,0,0,1,12.844
0,0,1,1,0,0,1,1,0,0,1,1,0,0,13.174
1,1,1,0,1,0,1,1,1,1,0,1,0,0,15.796
0,0,0,1,1,0,0,0,0,1,1,0,1,0,12.183
1,1,0,0,1,0,0,0,1,0,0,1,1,0,12.447
0,1,0,1,1,0,0,0,0,0,0,1,1,0,10.363
1,0,0,1,0,1,0,0,1,1,1,1,1,0,13.809
1,1,1,1,1,1,0,0,1,1,1,0,0,0,11.09
1,0,1,0,1,1,0,0,1,1,1,1,0,1,14.738
0,0,1,1,0,1,0,1,0,0,1,1,0,1,12.529
0,1,0,1,0,0,1,1,1,1,1,0,1,1,17.58
1,0,0,1,1,1,1,0,1,0,0,1,1,0,12.94
1,0,0,1,1,0,1,0,1,1,0,1,1,0,11.049
0,0,1,1,0,0,0,0,1,1,0,0,1,0,12.656
0,0,0,0,1,1,1,1,1,0,1,0,1,0,11.209
1,0,0,1,1,1,1,1,1,0,1,0,0,1,15.624
1,1,0,0,0,1,0,0,1,0,0,1,0,0,17.829
1,0,1,1,0,0,0,0,0,0,1,1,0,0,12.7
1,0,1,0,1,0,0,0,1,0,0,1,0,0,13.434
0,1,1,1,1,1,0,1,1,0,0,0,0,0,11.742
0,1,0,0,0,1,0,0,1,0,1,1,0,0,20.152
1,0,0,0,1,1,0,0,0,1,1,0,0,1,12.485
