SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,44.261
0,0,0,0,1,0,1,0,0,1,0,0,0,1,45.486
0,1,0,1,0,1,0,1,0,0,1,0,1,1,45.644
1,1,0,0,0,1,0,0,1,1,0,1,0,1,45.687
1,0,0,1,1,1,0,1,1,1,0,0,1,1,49.132
1,1,1,1,0,0,1,0,1,1,1,0,1,0,40.823
0,1,1,1,1,1,1,0,0,1,0,1,1,0,41.515
1,0,1,0,1,0,0,1,1,1,0,0,0,1,52.869
1,0,1,1,1,0,1,0,1,1,1,1,1,0,33.091
1,0,0,1,1,1,0,1,1,0,1,1,0,0,49.689
0,1,0,1,0,1,1,0,0,1,0,1,0,0,48.881
0,0,0,1,0,1,0,1,0,1,1,1,0,0,43.927
0,1,0,0,1,1,0,0,1,0,1,0,1,0,40.357
0,1,1,1,1,0,0,1,0,1,0,0,1,0,43.886
1,1,0,1,1,0,0,1,1,0,1,0,0,0,41.025
0,0,1,0,1,1,0,1,1,1,0,0,0,0,43.441
1,0,0,0,1,0,0,1,1,0,0,1,0,1,59.582
1,1,0,0,0,0,0,1,0,0,1,1,1,1,47.556
1,1,0,1,0,0,1,0,0,1,0,1,0,0,45.292
0,0,0,0,0,1,0,1,1,0,0,1,0,1,47.487
0,1,1,1,1,0,0,0,0,1,0,0,1,1,69.799
1,0,0,0,1,1,0,0,1,1,1,0,0,0,84.04
0,1,1,1,0,0,0,0,0,0,1,0,1,1,54.953
1,1,1,1,1,0,0,1,0,1,1,0,1,0,63.259
1,1,0,1,0,0,0,0,1,1,0,0,1,1,68.988
0,0,1,0,0,0,1,0,1,1,0,1,0,0,59.157
0,1,1,0,1,1,0,1,1,0,0,1,1,0,64.999
1,0,0,1,1,0,1,1,0,0,0,1,1,0,45.259
1,1,1,0,0,0,1,0,1,0,0,0,0,1,54.476
0,0,0,0,1,0,0,0,1,0,1,0,1,0,59.44
0,0,0,0,1,0,0,0,0,1,1,1,1,0,72.902
1,0,1,1,1,1,0,1,0,0,0,1,0,0,49.718
0,1,0,1,0,0,0,0,1,0,0,0,0,1,58.422
0,1,0,1,0,0,0,0,0,0,1,1,0,1,56.329
1,1,0,1,1,1,0,1,0,0,0,0,0,0,50.556
0,1,1,0,0,0,1,0,0,1,1,1,0,0,69.555
0,1,1,0,0,0,0,1,0,1,1,0,0,1,47.342
1,1,1,0,1,1,0,0,1,0,1,1,1,1,73.838
0,0,0,0,1,0,1,0,1,0,1,0,1,0,63.809
0,0,0,1,1,1,0,0,0,0,0,1,1,1,57.039
1,0,0,0,1,0,1,1,0,0,1,0,1,0,53.529
1,0,0,1,0,1,0,1,1,0,0,0,1,0,57.523
0,1,1,0,0,0,1,1,1,1,1,1,0,0,68.438
1,0,1,1,0,0,0,0,1,1,1,0,1,0,71.079
0,0,0,1,1,0,0,1,0,1,1,0,1,1,60.501
1,1,1,1,1,0,0,1,1,1,0,0,1,0,62.691
1,0,1,0,0,1,1,1,1,0,1,1,0,1,62.332
0,1,0,1,1,1,0,0,1,1,0,0,1,0,52.669
0,1,1,1,1,1,1,0,1,1,1,0,1,0,59.85
0,1,0,1,0,0,1,1,1,1,1,0,0,0,60.891
1,0,1,1,1,0,1,0,1,1,0,1,1,0,54.802
1,0,0,1,1,1,1,0,0,0,1,1,1,0,63.376
1,0,0,1,0,0,1,1,0,0,0,0,0,1,68.812
1,1,1,0,0,1,0,0,1,0,1,0,1,1,51.544
0,0,1,1,0,1,0,1,1,1,0,0,0,0,36.148
1,0,0,0,1,1,0,1,0,1,1,1,1,0,50.809
1,1,1,0,0,0,0,1,0,0,0,0,0,1,46.51
0,0,1,0,1,1,1,0,0,0,1,0,0,0,39.289
1,1,1,0,0,0,0,0,0,1,1,0,0,0,47.075
0,0,0,0,0,1,1,1,1,0,0,1,1,0,34.16
0,0,1,1,1,0,1,1,0,0,1,0,0,0,55.172
0,1,0,0,0,1,1,1,1,1,0,1,1,0,42.271
0,0,0,1,0,0,0,0,0,1,1,0,0,1,47.08
1,0,0,0,1,1,0,1,0,1,1,1,0,0,44.484
0,0,1,1,0,0,1,1,0,1,1,1,1,0,45.754
0,1,1,1,1,0,1,0,0,0,1,0,1,0,43.688
0,0,0,1,0,0,0,0,0,1,0,1,1,0,43.265
0,1,0,1,0,0,1,0,0,1,1,0,1,1,50.661
0,0,1,1,1,0,1,0,1,1,1,0,1,0,40.427
0,0,0,1,1,0,1,0,1,1,0,0,1,0,43.774
0,0,1,0,0,0,0,0,1,0,1,0,1,1,52.725
0,0,1,0,1,0,1,0,0,0,0,0,0,1,41.712
0,1,1,1,1,1,1,0,1,1,0,1,1,1,40.469
1,1,0,1,0,0,0,1,0,1,0,1,0,0,55.766
1,0,1,1,0,0,0,1,1,1,1,0,0,0,37.078
1,1,0,0,1,1,1,0,0,0,0,1,1,0,36.204
