Source,20,40,61,81,102,122
../Data/x264_0.csv,3.25,2.5,3.5,2.25,1.5,2.0
../Data/x264_1.csv,1.5,3.25,2.0,4.25,5.25,6.25
../Data/x264_10.csv,2.75,2.25,2.0,2.25,3.5,4.0
../Data/x264_11.csv,3.75,3.0,2.0,2.0,3.25,2.5
../Data/x264_12.csv,3.25,4.0,5.0,8.75,8.0,6.25
../Data/x264_13.csv,1.5,1.75,1.75,1.75,3.0,3.25
../Data/x264_14.csv,1.25,1.5,2.0,3.5,2.25,3.25
../Data/x264_15.csv,5.25,8.75,11.25,18.25,17.5,17.75
../Data/x264_16.csv,4.0,7.25,10.25,10.0,15.5,10.0
../Data/x264_17.csv,3.5,5.5,10.25,8.0,11.0,19.25
../Data/x264_18.csv,3.0,2.0,3.25,1.75,4.0,4.0
../Data/x264_19.csv,4.25,9.25,12.5,17.5,24.75,28.75
../Data/x264_2.csv,2.0,2.5,1.5,1.75,2.75,4.0
../Data/x264_20.csv,3.75,6.25,6.75,10.75,13.0,18.75
../Data/x264_3.csv,3.5,3.25,3.0,5.0,2.5,6.25
../Data/x264_4.csv,1.0,1.0,3.0,2.25,2.0,2.5
../Data/x264_5.csv,1.0,1.75,2.0,3.0,2.25,4.5
../Data/x264_6.csv,3.25,4.75,5.75,6.0,7.25,5.0
../Data/x264_7.csv,2.0,2.5,2.5,3.25,4.0,5.0
../Data/x264_8.csv,2.5,3.25,2.5,4.0,3.25,2.75
../Data/x264_9.csv,4.0,5.0,5.25,5.0,6.5,6.25
