Source,../Data/sac_4.csv,../Data/sac_5.csv,../Data/sac_6.csv,../Data/sac_7.csv,../Data/sac_8.csv,../Data/sac_9.csv
../Data/sac_4.csv,X,11.5,8.0,12.0,6.0,2.0
../Data/sac_5.csv,54.0,X,41.5,42.0,50.5,48.0
../Data/sac_6.csv,8.5,7.0,X,10.0,11.5,12.5
../Data/sac_7.csv,8.0,13.0,2.5,X,11.5,16.0
../Data/sac_8.csv,15.5,18.0,5.0,6.0,X,13.0
../Data/sac_9.csv,5.5,20.0,8.5,21.5,19.0,X
Source,../Data/sac_4.csv,../Data/sac_5.csv,../Data/sac_6.csv,../Data/sac_7.csv,../Data/sac_8.csv,../Data/sac_9.csv
../Data/sac_4.csv,X,13.0,3.0,14.5,9.5,5.5
../Data/sac_5.csv,108.0,X,84.0,83.5,99.0,91.0
../Data/sac_6.csv,42.5,21.5,X,9.0,33.0,18.0
../Data/sac_7.csv,24.0,34.5,28.5,X,36.0,54.0
../Data/sac_8.csv,19.5,12.5,17.0,29.5,X,23.5
../Data/sac_9.csv,15.5,36.0,28.0,56.5,46.5,X
Source,../Data/sac_4.csv,../Data/sac_5.csv,../Data/sac_6.csv,../Data/sac_7.csv,../Data/sac_8.csv,../Data/sac_9.csv
../Data/sac_4.csv,X,13.5,5.5,18.5,10.0,7.0
../Data/sac_5.csv,163.5,X,123.0,125.5,150.0,140.5
../Data/sac_6.csv,24.0,51.5,X,47.0,38.0,16.5
../Data/sac_7.csv,41.0,30.0,33.0,X,46.5,64.5
../Data/sac_8.csv,36.0,27.5,18.5,37.5,X,34.5
../Data/sac_9.csv,21.0,57.0,57.5,93.0,59.0,X
Source,../Data/sac_4.csv,../Data/sac_5.csv,../Data/sac_6.csv,../Data/sac_7.csv,../Data/sac_8.csv,../Data/sac_9.csv
../Data/sac_4.csv,X,14.0,4.0,7.0,9.5,9.0
../Data/sac_5.csv,219.0,X,165.5,165.0,199.0,185.5
../Data/sac_6.csv,84.5,60.5,X,29.0,35.5,22.0
../Data/sac_7.csv,48.5,33.5,38.0,X,39.5,71.0
../Data/sac_8.csv,37.0,45.5,71.5,53.0,X,60.5
../Data/sac_9.csv,41.5,78.0,85.0,122.0,76.0,X
Source,../Data/sac_4.csv,../Data/sac_5.csv,../Data/sac_6.csv,../Data/sac_7.csv,../Data/sac_8.csv,../Data/sac_9.csv
../Data/sac_4.csv,X,32.5,10.0,53.5,27.0,6.5
../Data/sac_5.csv,275.0,X,199.0,206.0,249.0,231.0
../Data/sac_6.csv,71.0,71.5,X,73.5,86.5,22.5
../Data/sac_7.csv,203.5,82.5,46.5,X,87.0,126.5
../Data/sac_8.csv,32.5,58.5,45.5,65.0,X,71.0
../Data/sac_9.csv,21.5,104.0,114.5,124.0,115.5,X
==============================
