Source,../Data/x264_0.csv,../Data/x264_1.csv,../Data/x264_10.csv,../Data/x264_11.csv,../Data/x264_12.csv,../Data/x264_13.csv,../Data/x264_14.csv,../Data/x264_15.csv,../Data/x264_16.csv,../Data/x264_17.csv,../Data/x264_18.csv,../Data/x264_19.csv,../Data/x264_2.csv,../Data/x264_20.csv,../Data/x264_3.csv,../Data/x264_4.csv,../Data/x264_5.csv,../Data/x264_6.csv,../Data/x264_7.csv,../Data/x264_8.csv,../Data/x264_9.csv
../Data/x264_0.csv,X,2.0,5.5,4.0,1.0,1.5,5.0,3.0,3.0,2.5,2.0,3.5,2.5,2.0,0.0,2.0,2.5,4.0,2.0,3.5,2.0
../Data/x264_1.csv,1.0,X,1.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,4.5,3.0,0.0,2.0,1.0,0.0,0.0,2.5,3.5,1.0,3.5
../Data/x264_10.csv,1.0,2.0,X,0.0,4.5,2.5,5.0,2.0,3.5,6.0,4.0,2.5,2.0,3.0,4.0,1.5,3.5,0.5,1.0,0.0,0.0
../Data/x264_11.csv,2.0,2.0,1.0,X,3.0,1.5,2.0,2.5,2.0,3.5,1.0,4.5,2.5,4.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0
../Data/x264_12.csv,0.5,6.5,4.0,4.0,X,3.0,4.5,2.5,3.5,3.5,1.0,5.0,2.0,6.0,1.0,4.0,3.5,2.0,4.5,3.0,2.5
../Data/x264_13.csv,2.0,1.5,1.0,2.5,1.0,X,0.5,4.0,2.0,3.0,3.0,3.5,0.0,3.0,1.5,0.0,0.0,3.0,1.0,1.0,6.0
../Data/x264_14.csv,0.5,0.5,5.0,1.0,3.5,1.0,X,3.0,4.0,3.5,1.5,2.5,1.0,2.0,1.0,0.0,1.0,4.0,4.0,2.0,4.0
../Data/x264_15.csv,1.0,5.0,6.0,5.5,3.0,6.5,3.5,X,4.0,4.5,2.0,4.0,3.5,3.0,2.0,5.5,5.5,4.5,6.0,3.5,7.5
../Data/x264_16.csv,4.0,2.5,2.0,5.0,4.5,2.5,3.5,3.5,X,2.0,2.0,5.5,3.0,2.0,3.0,3.0,1.5,5.0,2.0,4.0,2.0
../Data/x264_17.csv,3.0,4.0,4.0,3.5,5.0,3.0,1.0,5.5,3.5,X,2.5,2.0,3.0,4.0,3.5,5.0,1.0,5.0,2.0,5.5,5.5
../Data/x264_18.csv,1.5,4.0,2.0,3.0,0.0,1.5,3.0,2.0,3.5,5.5,X,4.5,3.0,2.0,1.0,3.5,4.5,2.5,4.0,3.5,3.0
../Data/x264_19.csv,1.0,5.0,3.5,4.5,3.0,2.5,2.0,3.0,4.0,3.5,4.0,X,3.0,3.5,4.5,1.5,1.0,3.0,3.5,4.0,7.0
../Data/x264_2.csv,1.0,1.0,0.5,2.5,2.0,0.5,0.0,3.0,3.0,3.0,4.0,2.5,X,1.0,1.0,1.5,1.0,3.0,1.5,2.0,5.0
../Data/x264_20.csv,3.5,2.0,2.0,2.5,3.0,2.0,1.5,4.0,2.0,2.0,2.5,3.0,2.0,X,4.5,1.5,2.5,0.5,4.5,2.0,4.0
