topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,10,2,10,1,true,1000,1000,512,10000,5,0,nan
4,1,2,1000000,1,false,1000,1000,1024,10000,5,0,nan
4,1,4,10,1,false,1,1000,1024,10000,2,29,nan
2,1,4,10,1,true,1000,1000,1024,10000,5,0,nan
4,10,2,1000000,10,false,1,1000,1024,10000,2,29,1077.4285714285713
4,10,2,10,1,true,1,1000,512,10000,5,0,nan
4,1,2,1000000,10,false,1000,10,1024,100,2,0,2122.1666666666665
2,1,2,10,1,true,1000,1000,1024,10000,2,0,nan
2,10,4,1000000,1,false,1000,1000,512,10000,2,0,nan
2,1,2,1000000,1,true,1,1000,1024,10000,5,0,nan
2,1,2,10,10,true,1000,10,1024,100,2,29,11659.333333333334
4,10,2,10,10,true,1000,10,1024,100,2,29,6295.4285714285716
4,1,4,10,1,true,1,10,1024,100,2,29,nan
4,1,2,1000000,10,false,1000,1000,512,10000,5,29,2100.0
4,1,2,1000000,10,false,1,1000,512,10000,2,29,nan
4,10,2,10,1,true,1,10,1024,100,2,0,nan
4,10,4,10,1,false,1,1000,1024,10000,5,29,nan
2,1,2,10,10,false,1,10,512,100,2,0,nan
4,1,2,10,1,false,1000,1000,512,10000,2,29,nan
2,1,2,1000000,10,true,1000,10,1024,100,2,0,nan
2,1,2,1000000,10,false,1000,10,1024,100,5,29,nan
2,1,2,1000000,1,false,1000,10,1024,100,2,0,nan
4,1,4,10,10,false,1,1000,512,10000,2,0,nan
4,1,4,1000000,10,true,1000,1000,512,10000,2,0,nan
2,10,2,1000000,1,true,1000,10,512,100,5,0,nan
2,1,4,1000000,1,true,1,1000,512,10000,2,29,nan
4,10,2,1000000,1,false,1,10,1024,100,5,0,nan
4,10,2,1000000,1,false,1,1000,1024,10000,2,0,nan
2,1,4,1000000,10,false,1000,10,512,100,5,29,nan
4,1,2,1000000,10,true,1000,10,512,100,5,0,nan
2,1,4,10,10,false,1000,10,512,100,2,29,12117.0
2,1,2,10,1,false,1000,10,512,100,5,29,nan
4,10,4,1000000,1,false,1,10,1024,100,2,29,nan
2,1,4,10,1,false,1000,10,512,100,2,29,nan
4,10,2,1000000,10,false,1000,1000,1024,10000,2,29,1579.0
2,10,2,1000000,10,false,1000,1000,512,10000,2,29,nan
2,1,4,1000000,1,true,1000,1000,1024,10000,5,0,nan
2,1,4,10,10,true,1,1000,1024,10000,5,0,nan
2,1,4,10,1,false,1000,1000,512,10000,2,0,nan
4,10,4,1000000,10,true,1000,10,1024,100,5,0,nan
2,10,2,1000000,1,true,1,10,512,100,5,0,nan
4,10,4,10,1,false,1000,1000,1024,10000,2,29,nan
4,1,2,1000000,1,true,1000,1000,1024,10000,2,0,nan
2,1,2,1000000,1,true,1,10,1024,100,2,0,nan
2,1,4,10,10,false,1,1000,512,10000,2,29,nan
4,10,2,10,1,false,1000,1000,1024,10000,2,0,4720.0
2,1,2,10,1,true,1000,1000,1024,10000,5,0,nan
2,10,4,1000000,10,true,1000,1000,512,10000,5,29,nan
4,10,2,1000000,10,true,1000,10,512,100,2,29,nan
2,10,4,1000000,10,false,1000,10,512,100,5,29,nan
4,10,4,1000000,1,false,1000,1000,1024,10000,2,29,5563.0
2,10,2,10,1,false,1,10,1024,100,5,0,nan
4,10,2,10,1,false,1,10,512,100,5,0,nan
4,1,2,1000000,10,false,1000,1000,512,10000,2,0,2448.25
4,10,2,1000000,1,true,1,10,512,100,2,0,nan
4,10,4,1000000,1,false,1000,1000,512,10000,5,0,6042.5
4,10,2,10,10,false,1000,10,1024,100,5,0,8883.8888888888887
4,1,4,1000000,1,false,1000,1000,512,10000,5,29,5597.0
2,1,4,10,10,false,1,1000,1024,10000,2,29,3813.75
2,1,4,10,1,true,1,10,1024,100,2,0,nan
2,1,4,1000000,10,true,1000,10,512,100,2,0,nan
2,1,2,10,1,false,1000,1000,512,10000,5,29,nan
2,1,2,1000000,10,true,1000,1000,512,10000,2,0,nan
2,10,2,1000000,1,true,1000,1000,512,10000,5,0,nan
4,10,2,10,10,true,1000,1000,1024,10000,2,29,8798.8333333333339
4,10,2,1000000,10,true,1000,1000,512,10000,5,29,nan
4,10,4,1000000,1,false,1,10,1024,100,2,0,nan
2,10,4,10,10,true,1,10,1024,100,2,0,3702.5
4,10,2,10,1,false,1,1000,512,10000,5,0,nan
4,10,2,1000000,10,false,1000,10,512,100,5,29,1555.6666666666667
2,10,2,1000000,10,true,1000,1000,1024,10000,2,0,nan
2,1,4,10,1,false,1,10,512,100,2,0,nan
4,10,2,10,10,true,1000,10,1024,100,5,0,7120.1999999999998
2,10,2,10,1,true,1,1000,1024,10000,5,0,nan
4,10,4,10,10,false,1,10,512,100,5,0,5030.0
4,1,4,1000000,10,false,1,1000,512,10000,5,29,nan
2,1,2,10,1,false,1,1000,512,10000,5,29,nan
2,10,2,1000000,10,true,1000,1000,512,10000,2,29,nan
4,1,2,10,10,false,1000,10,512,100,5,29,5634.666666666667
4,10,4,10,10,true,1,1000,512,10000,5,0,4267.8000000000002
4,1,2,1000000,1,true,1000,1000,512,10000,5,0,6803.5
4,10,4,10,1,true,1000,1000,512,10000,2,29,6905.5
2,10,4,10,1,false,1,10,512,100,2,0,nan
4,10,2,10,10,true,1,10,1024,100,2,0,nan
2,1,4,1000000,1,false,1,10,1024,100,5,29,nan
4,1,4,1000000,1,false,1000,1000,1024,10000,5,29,nan
4,1,2,1000000,1,false,1,10,1024,100,2,0,nan
4,1,2,1000000,1,false,1,1000,512,10000,5,0,nan
2,1,4,10,1,true,1000,10,512,100,5,0,nan
2,10,2,10,10,true,1000,10,1024,100,2,0,4916.333333333333
4,1,2,10,10,true,1,1000,512,10000,5,29,4276.75
2,10,2,10,1,false,1000,1000,1024,10000,2,0,nan
2,10,4,1000000,1,false,1,10,512,100,2,0,nan
4,10,4,10,1,false,1000,1000,1024,10000,2,29,7030.5
4,1,4,10,1,false,1000,10,512,100,5,29,10715.333333333334
2,1,2,10,10,false,1,1000,1024,10000,2,29,nan
2,1,2,1000000,1,true,1000,10,1024,100,5,0,nan
4,1,2,10,1,false,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,true,1000,1000,1024,10000,2,29,nan
4,10,4,1000000,1,false,1,10,512,100,2,29,nan
4,1,4,10,10,true,1,1000,512,10000,2,29,4469.6000000000004
4,10,2,10,10,true,1,10,1024,100,2,0,4703.8000000000002
2,10,2,1000000,1,false,1,10,512,100,5,0,nan
4,1,4,1000000,10,false,1000,1000,1024,10000,2,29,86.0
2,1,4,1000000,1,true,1,1000,1024,10000,5,29,nan
4,10,2,1000000,10,false,1000,1000,512,10000,5,0,2082.5
4,1,2,10,10,true,1,1000,512,10000,2,29,4635.0
2,1,2,10,10,false,1,1000,512,10000,2,29,0.33333333333333331
4,10,4,10,1,true,1,1000,512,10000,2,29,nan
2,10,2,10,10,true,1000,10,512,100,2,0,6709.0
2,1,2,10,1,true,1000,1000,512,10000,5,29,nan
4,1,2,1000000,10,true,1,1000,1024,10000,5,29,nan
4,10,2,1000000,10,false,1,1000,512,10000,5,0,930.60000000000002
2,1,2,1000000,1,true,1000,10,512,100,2,0,nan
4,10,4,1000000,1,false,1,10,1024,100,5,0,nan
4,10,2,1000000,10,false,1,10,512,100,2,0,nan
2,1,4,10,1,true,1,1000,1024,10000,2,0,nan
2,10,4,10,10,true,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,true,1,10,1024,100,2,29,nan
2,10,4,10,1,false,1,1000,1024,10000,5,0,nan
2,10,4,10,10,false,1000,10,512,100,5,0,8737.25
4,1,2,1000000,1,false,1000,10,1024,100,2,29,nan
2,1,2,1000000,10,false,1,10,512,100,5,0,nan
4,1,2,1000000,1,true,1,10,1024,100,2,0,nan
2,1,4,10,10,false,1,10,512,100,5,0,203.0
2,1,4,10,1,false,1,10,512,100,5,29,nan
2,10,4,10,10,false,1000,1000,512,10000,5,29,nan
2,1,2,1000000,1,true,1,10,1024,100,2,0,nan
2,1,2,1000000,1,true,1,1000,512,10000,2,0,nan
4,1,2,1000000,1,false,1,10,512,100,2,29,nan
4,1,2,1000000,10,false,1000,10,1024,100,2,29,2342.5
2,10,2,10,1,false,1,1000,512,10000,5,0,nan
4,1,2,1000000,1,true,1,1000,512,10000,2,29,nan
4,1,2,10,10,false,1000,1000,1024,10000,5,29,7459.0
2,10,2,10,10,false,1000,1000,512,10000,2,0,nan
2,10,2,10,10,false,1000,10,512,100,2,0,nan
2,1,4,1000000,1,true,1,10,512,100,2,29,nan
4,10,4,10,10,false,1000,10,512,100,2,29,8261.625
2,1,2,10,10,true,1000,10,512,100,2,0,nan
4,10,4,10,1,false,1,1000,1024,10000,5,29,nan
4,10,2,10,10,false,1,1000,1024,10000,5,0,2080.0
4,1,2,1000000,10,false,1,10,1024,100,5,29,1078.75
2,10,2,1000000,1,true,1,10,512,100,2,0,nan
2,1,4,1000000,1,true,1000,1000,512,10000,5,29,nan
4,10,2,1000000,1,false,1000,10,1024,100,2,0,nan
4,1,4,1000000,1,true,1,1000,1024,10000,5,29,nan
2,1,4,10,10,true,1000,10,1024,100,2,0,18289.571428571428
2,10,2,10,1,false,1,10,1024,100,2,0,nan
4,10,4,10,10,false,1000,10,1024,100,5,29,8381.2857142857138
2,1,4,10,1,false,1000,10,1024,100,2,0,nan
4,10,4,10,10,true,1,10,1024,100,2,0,5058.166666666667
4,10,4,1000000,1,false,1,1000,1024,10000,2,29,nan
2,1,2,1000000,10,false,1000,10,512,100,5,0,nan
4,10,2,10,10,true,1000,1000,512,10000,5,29,8062.6000000000004
2,1,4,1000000,1,true,1000,1000,1024,10000,2,0,nan
4,1,2,10,10,true,1000,10,512,100,2,29,7276.5
4,1,4,1000000,1,true,1,10,1024,100,2,29,nan
2,1,4,10,10,true,1,10,512,100,2,0,nan
4,10,2,1000000,10,false,1,1000,1024,10000,2,0,nan
4,1,4,1000000,10,false,1000,10,1024,100,2,0,106.0
4,10,2,10,10,true,1,1000,512,10000,5,0,5175.2857142857147
4,1,2,10,10,true,1000,10,512,100,2,0,6703.5
4,1,2,1000000,1,false,1,1000,512,10000,2,29,nan
2,1,4,10,10,true,1,1000,512,10000,2,29,nan
4,10,4,10,1,true,1,1000,1024,10000,2,0,nan
4,1,4,1000000,10,true,1,1000,512,10000,5,29,nan
2,1,2,10,1,true,1000,1000,512,10000,2,0,nan
2,1,4,1000000,10,true,1000,1000,512,10000,5,0,nan
4,10,4,10,10,false,1,10,1024,100,2,29,4402.0
4,1,4,1000000,10,true,1000,10,512,100,2,29,7.0
4,1,4,10,10,true,1,10,1024,100,5,0,nan
4,10,2,10,1,false,1000,1000,512,10000,5,0,7544.5
2,1,2,10,1,false,1,10,1024,100,5,0,nan
4,10,4,10,10,false,1,1000,1024,10000,2,0,nan
4,10,4,1000000,10,true,1000,10,1024,100,5,0,nan
4,1,4,1000000,10,true,1,10,512,100,5,29,nan
4,10,4,1000000,1,true,1000,1000,512,10000,2,0,nan
4,1,2,1000000,1,true,1000,10,512,100,5,0,nan
2,1,4,1000000,10,false,1,10,512,100,5,29,nan
4,1,4,1000000,10,false,1000,1000,1024,10000,5,0,80.0
4,1,4,10,10,false,1000,1000,1024,10000,5,0,9513.2727272727279
2,1,4,1000000,10,false,1,1000,512,10000,2,29,nan
2,1,2,10,10,true,1000,1000,512,10000,5,0,nan
2,1,4,10,10,true,1,1000,1024,10000,2,0,nan
4,10,2,10,1,true,1,1000,1024,10000,5,0,nan
2,1,4,1000000,1,false,1000,10,1024,100,2,29,nan
2,1,2,1000000,1,true,1,1000,512,10000,5,0,nan
2,10,2,10,10,false,1000,10,1024,100,5,29,nan
2,1,4,10,10,true,1,10,1024,100,5,0,nan
4,10,2,1000000,10,false,1,10,512,100,2,0,nan
4,1,4,10,10,true,1000,1000,1024,10000,2,0,9500.3333333333339
4,10,2,10,10,false,1,10,512,100,2,0,3120.8000000000002
4,10,2,1000000,10,true,1,1000,512,10000,5,0,769.66666666666663
