SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,17487
0,0,0,0,1,0,1,0,0,1,0,0,0,1,18878
0,1,0,1,0,1,0,1,0,0,1,0,1,1,18926
1,1,0,0,0,1,0,0,1,1,0,1,0,1,18181
1,0,0,1,1,1,0,1,1,1,0,0,1,1,18703
1,1,1,1,0,0,1,0,1,1,1,0,1,0,19571
0,1,1,1,1,1,1,0,0,1,0,1,1,0,17394
1,0,1,0,1,0,0,1,1,1,0,0,0,1,18752
1,0,1,1,1,0,1,0,1,1,1,1,1,0,17507
1,0,0,1,1,1,0,1,1,0,1,1,0,0,17463
0,1,0,1,0,1,1,0,0,1,0,1,0,0,17826
0,0,0,1,0,1,0,1,0,1,1,1,0,0,17625
0,1,0,0,1,1,0,0,1,0,1,0,1,0,19070
0,1,1,1,1,0,0,1,0,1,0,0,1,0,19226
1,1,0,1,1,0,0,1,1,0,1,0,0,0,18655
0,0,1,0,1,1,0,1,1,1,0,0,0,0,18835
1,0,0,0,1,0,0,1,1,0,0,1,0,1,17826
1,1,0,0,0,0,0,1,0,0,1,1,1,1,17426
1,1,0,1,0,0,1,0,0,1,0,1,0,0,17917
0,0,0,0,0,1,0,1,1,0,0,1,0,1,17290
0,1,1,1,1,0,0,0,0,1,0,0,1,1,19509
1,0,0,0,1,1,0,0,1,1,1,0,0,0,20172
0,1,1,1,0,0,0,0,0,0,1,0,1,1,20384
1,1,1,1,1,0,0,1,0,1,1,0,1,0,19936
1,1,0,1,0,0,0,0,1,1,0,0,1,1,19657
0,0,1,0,0,0,1,0,1,1,0,1,0,0,18045
0,1,1,0,1,1,0,1,1,0,0,1,1,0,19012
1,0,0,1,1,0,1,1,0,0,0,1,1,0,18783
1,1,1,0,0,0,1,0,1,0,0,0,0,1,20160
0,0,0,0,1,0,0,0,1,0,1,0,1,0,20696
0,0,0,0,1,0,0,0,0,1,1,1,1,0,18326
1,0,1,1,1,1,0,1,0,0,0,1,0,0,18304
0,1,0,1,0,0,0,0,1,0,0,0,0,1,20173
0,1,0,1,0,0,0,0,0,0,1,1,0,1,15957
1,1,0,1,1,1,0,1,0,0,0,0,0,0,17062
0,1,1,0,0,0,1,0,0,1,1,1,0,0,16034
0,1,1,0,0,0,0,1,0,1,1,0,0,1,17437
1,1,1,0,1,1,0,0,1,0,1,1,1,1,19059
0,0,0,0,1,0,1,0,1,0,1,0,1,0,19822
0,0,0,1,1,1,0,0,0,0,0,1,1,1,18121
1,0,0,0,1,0,1,1,0,0,1,0,1,0,20184
1,0,0,1,0,1,0,1,1,0,0,0,1,0,19786
0,1,1,0,0,0,1,1,1,1,1,1,0,0,18088
1,0,1,1,0,0,0,0,1,1,1,0,1,0,19788
0,0,0,1,1,0,0,1,0,1,1,0,1,1,19230
1,1,1,1,1,0,0,1,1,1,0,0,1,0,19863
1,0,1,0,0,1,1,1,1,0,1,1,0,1,18272
0,1,0,1,1,1,0,0,1,1,0,0,1,0,19271
0,1,1,1,1,1,1,0,1,1,1,0,1,0,19368
0,1,0,1,0,0,1,1,1,1,1,0,0,0,19783
1,0,1,1,1,0,1,0,1,1,0,1,1,0,18283
1,0,0,1,1,1,1,0,0,0,1,1,1,0,19000
1,0,0,1,0,0,1,1,0,0,0,0,0,1,19911
1,1,1,0,0,1,0,0,1,0,1,0,1,1,20853
0,0,1,1,0,1,0,1,1,1,0,0,0,0,19650
1,0,0,0,1,1,0,1,0,1,1,1,1,0,18527
1,1,1,0,0,0,0,1,0,0,0,0,0,1,18849
0,0,1,0,1,1,1,0,0,0,1,0,0,0,19119
1,1,1,0,0,0,0,0,0,1,1,0,0,0,19108
0,0,0,0,0,1,1,1,1,0,0,1,1,0,17581
0,0,1,1,1,0,1,1,0,0,1,0,0,0,18991
0,1,0,0,0,1,1,1,1,1,0,1,1,0,17930
0,0,0,1,0,0,0,0,0,1,1,0,0,1,19562
1,0,0,0,1,1,0,1,0,1,1,1,0,0,18099
0,0,1,1,0,0,1,1,0,1,1,1,1,0,17569
0,1,1,1,1,0,1,0,0,0,1,0,1,0,18823
0,0,0,1,0,0,0,0,0,1,0,1,1,0,17998
0,1,0,1,0,0,1,0,0,1,1,0,1,1,18742
0,0,1,1,1,0,1,0,1,1,1,0,1,0,18781
0,0,0,1,1,0,1,0,1,1,0,0,1,0,18958
0,0,1,0,0,0,0,0,1,0,1,0,1,1,18889
0,0,1,0,1,0,1,0,0,0,0,0,0,1,18331
0,1,1,1,1,1,1,0,1,1,0,1,1,1,17554
1,1,0,1,0,0,0,1,0,1,0,1,0,0,17800
1,0,1,1,0,0,0,1,1,1,1,0,0,0,19233
1,1,0,0,1,1,1,0,0,0,0,1,1,0,18261
1,0,0,1,1,1,1,0,1,1,1,1,0,1,17377
0,0,0,0,0,1,0,1,0,0,0,0,0,1,18878
1,1,1,1,1,1,1,1,1,1,1,0,0,1,19118
0,0,1,1,0,0,1,1,0,0,1,1,0,0,17508
1,1,1,0,1,0,1,1,1,1,0,1,0,0,17482
0,0,0,1,1,0,0,0,0,1,1,0,1,0,18621
1,1,0,0,1,0,0,0,1,0,0,1,1,0,18168
0,1,0,1,1,0,0,0,0,0,0,1,1,0,17838
1,0,0,1,0,1,0,0,1,1,1,1,1,0,17821
1,1,1,1,1,1,0,0,1,1,1,0,0,0,19167
1,0,1,0,1,1,0,0,1,1,1,1,0,1,17723
0,0,1,1,0,1,0,1,0,0,1,1,0,1,17238
0,1,0,1,0,0,1,1,1,1,1,0,1,1,18863
1,0,0,1,1,1,1,0,1,0,0,1,1,0,17217
1,0,0,1,1,0,1,0,1,1,0,1,1,0,18873
0,0,1,1,0,0,0,0,1,1,0,0,1,0,19460
0,0,0,0,1,1,1,1,1,0,1,0,1,0,19496
1,0,0,1,1,1,1,1,1,0,1,0,0,1,20494
1,1,0,0,0,1,0,0,1,0,0,1,0,0,18610
1,0,1,1,0,0,0,0,0,0,1,1,0,0,18124
1,0,1,0,1,0,0,0,1,0,0,1,0,0,18768
0,1,1,1,1,1,0,1,1,0,0,0,0,0,20570
0,1,0,0,0,1,0,0,1,0,1,1,0,0,18958
1,0,0,0,1,1,0,0,0,1,1,0,0,1,19457
1,1,0,1,1,0,0,1,1,0,0,1,0,0,18843
1,0,1,1,0,1,0,1,1,1,1,0,1,1,19617
0,1,1,0,1,1,1,0,0,1,1,0,0,1,20312
1,1,0,1,0,0,1,1,0,0,1,1,1,0,18436
0,1,0,1,1,0,1,1,0,1,1,0,1,0,20004
1,0,0,1,1,0,1,1,0,1,0,1,0,1,18993
1,1,1,0,1,0,0,0,1,0,0,0,0,1,19866
0,0,1,1,0,0,1,0,0,1,0,1,0,1,18366
0,1,1,0,0,0,1,1,0,0,1,0,0,1,19027
0,1,1,1,1,1,0,0,0,1,1,1,0,1,18112
1,0,1,0,0,0,1,0,1,0,0,1,0,0,18124
0,0,1,0,0,1,1,0,1,0,0,0,1,1,19508
1,1,1,0,0,0,0,1,0,0,1,1,1,1,17618
0,0,0,1,0,1,1,1,1,1,0,0,0,0,19149
0,1,1,0,0,0,0,0,1,0,1,1,1,1,17564
0,1,0,0,0,0,0,1,0,1,1,1,1,0,17923
0,1,1,1,1,0,1,1,1,1,1,0,0,0,18845
0,0,0,1,1,0,0,0,0,1,1,1,0,1,17947
1,0,1,0,0,1,0,0,0,0,0,0,1,1,19529
1,0,1,0,1,1,0,0,1,1,0,1,0,0,17573
0,1,1,1,0,1,0,0,0,0,0,1,0,0,17721
1,0,1,1,0,1,0,1,0,0,0,0,1,1,18795
0,1,1,1,1,0,0,1,1,1,1,0,0,0,18961
0,1,0,1,1,0,1,0,0,1,1,0,1,0,18710
0,0,1,1,1,0,0,1,1,1,1,0,1,0,19048
1,0,1,1,1,1,1,1,0,1,1,0,1,0,19571
0,0,1,1,1,0,1,0,0,1,1,1,0,1,17370
1,1,0,0,0,0,1,1,1,1,1,0,1,0,18504
0,1,1,1,0,1,0,0,0,0,1,1,1,0,17605
1,1,1,1,0,1,1,1,1,1,1,0,1,1,18761
