SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,430.62
0,0,0,0,1,0,1,0,0,1,0,0,0,1,445.08
0,1,0,1,0,1,0,1,0,0,1,0,1,1,425.84
1,1,0,0,0,1,0,0,1,1,0,1,0,1,419.1
1,0,0,1,1,1,0,1,1,1,0,0,1,1,433.17
1,1,1,1,0,0,1,0,1,1,1,0,1,0,453.35
0,1,1,1,1,1,1,0,0,1,0,1,1,0,441.34
1,0,1,0,1,0,0,1,1,1,0,0,0,1,447.88
1,0,1,1,1,0,1,0,1,1,1,1,1,0,445.61
1,0,0,1,1,1,0,1,1,0,1,1,0,0,453.15
0,1,0,1,0,1,1,0,0,1,0,1,0,0,446.26
0,0,0,1,0,1,0,1,0,1,1,1,0,0,407.4
0,1,0,0,1,1,0,0,1,0,1,0,1,0,593.86
0,1,1,1,1,0,0,1,0,1,0,0,1,0,908.21
1,1,0,1,1,0,0,1,1,0,1,0,0,0,4808.3
0,0,1,0,1,1,0,1,1,1,0,0,0,0,4680.6
1,0,0,0,1,0,0,1,1,0,0,1,0,1,4936.6
1,1,0,0,0,0,0,1,0,0,1,1,1,1,4770.4
1,1,0,1,0,0,1,0,0,1,0,1,0,0,1658.1
0,0,0,0,0,1,0,1,1,0,0,1,0,1,1562.0
0,1,1,1,1,0,0,0,0,1,0,0,1,1,1308.1
1,0,0,0,1,1,0,0,1,1,1,0,0,0,1229.5
0,1,1,1,0,0,0,0,0,0,1,0,1,1,1538.3
1,1,1,1,1,0,0,1,0,1,1,0,1,0,1439.2
1,1,0,1,0,0,0,0,1,1,0,0,1,1,1493.5
0,0,1,0,0,0,1,0,1,1,0,1,0,0,1208.0
0,1,1,0,1,1,0,1,1,0,0,1,1,0,1380.3
1,0,0,1,1,0,1,1,0,0,0,1,1,0,1131.8
1,1,1,0,0,0,1,0,1,0,0,0,0,1,1046.7
0,0,0,0,1,0,0,0,1,0,1,0,1,0,1016.8
0,0,0,0,1,0,0,0,0,1,1,1,1,0,1114.9
1,0,1,1,1,1,0,1,0,0,0,1,0,0,1219.1
0,1,0,1,0,0,0,0,1,0,0,0,0,1,1059.6
0,1,0,1,0,0,0,0,0,0,1,1,0,1,1041.8
1,1,0,1,1,1,0,1,0,0,0,0,0,0,958.41
0,1,1,0,0,0,1,0,0,1,1,1,0,0,1147.3
0,1,1,0,0,0,0,1,0,1,1,0,0,1,919.18
1,1,1,0,1,1,0,0,1,0,1,1,1,1,895.03
0,0,0,0,1,0,1,0,1,0,1,0,1,0,916.94
0,0,0,1,1,1,0,0,0,0,0,1,1,1,970.4
1,0,0,0,1,0,1,1,0,0,1,0,1,0,955.88
1,0,0,1,0,1,0,1,1,0,0,0,1,0,850.95
0,1,1,0,0,0,1,1,1,1,1,1,0,0,1024.8
