SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.611567359776
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0394897780884
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.14467936397
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.716407478595
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.119692468985
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0463043858116
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.6094705574
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0646514066049
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.657871745588
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.739996505329
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.61069369212
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.578018521754
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.152891839944
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0293552332693
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0325004368338
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0784553555827
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.618906168094
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.61715883278
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.727765158134
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.773894810414
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.0473527869998
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0553905294426
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0856194303687
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0463043858116
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.057487331819
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.601957015551
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.607723222086
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.624322907566
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.112004193605
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0623798706972
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.693167918924
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.644417263673
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.12807967849
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.598986545518
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0803774244277
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.729687226979
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.0639524724795
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.585706797134
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0183470207933
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.547440153766
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.160580115324
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0415865804648
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.753450987244
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0300541673947
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0513716582212
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0457801852175
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.645116197798
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0255110955792
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0856194303687
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0361698409925
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.59287087192
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.608771623275
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0625546042286
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0749606849554
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0529442600035
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.688275380045
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0124060807269
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0791542897082
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.127206010833
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.594618207234
