SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.00697289713031
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0055065027792
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.00580227234046
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.0054006484099
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.00560716820882
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0106684599642
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.00710158283416
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0077024620481
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.00394463193813
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.0121805169844
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.00669061881219
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.00720536162758
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0303272768029
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.07583946666
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.833403902913
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.83218969103
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.954731690307
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.915160836374
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.275011727004
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.19849562261
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.155116086958
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.13062429171
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.298569513111
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.146512824983
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.152345193174
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.124532476536
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.137079332661
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.124532476536
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.103299335401
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0940007555096
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.128112844909
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.14008891767
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.109131703591
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.109557196644
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.11957185021
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.100704865565
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.0846191525839
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.0712731997493
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0696646284512
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.06684184527
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.0883551891472
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0884070785439
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.0713769785427
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0782575125469
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0568271917043
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0541081873166
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.077323503406
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0576470441724
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0582385832949
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0591310809184
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.095495170135
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.0921223593486
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0927450321092
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.131464899936
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.122041785493
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.139985138877
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.109411906333
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0706920385061
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.098857603042
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.0829068024924
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0823360191285
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.0788698074281
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0949347646505
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.113220588052
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.101493584395
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.0915619538641
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0713666006634
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.0629190068785
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0476842800035
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.0572007953607
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0481201509359
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0547619937152
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0565158553241
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0721345637347
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.112950763189
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.790169657571
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.687999435443
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.956226104933
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.876036231252
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.996990414991
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.957429938937
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.161456971237
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.125009858985
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.192912323524
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.119021822605
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.121948384579
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.134899977999
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.103008754779
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.120703039058
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.0941771794584
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.0718647388718
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0734317986525
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0567337907903
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.0704014578845
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0486805564204
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.0700901215042
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.064963449109
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.0564639659273
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.0562460304612
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.0582593390536
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.0599405555071
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.040162393056
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.0558205374081
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.0414814215204
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.0673088498404
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0623482235146
