SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.523138832998
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.140845070423
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0704225352113
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.596914822267
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.101945003353
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0831656606304
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.525150905433
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.11334674715
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.513749161636
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.533199195171
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.55466130114
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.461435278337
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0174379610999
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0912139503689
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0482897384306
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.165660630449
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.524480214621
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.51509054326
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.592219986586
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.486250838364
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.160965794769
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0623742454728
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.00268276324614
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0382293762575
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.0851777330651
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.577464788732
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.494299128102
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.507712944333
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0811535881958
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0154258886653
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.565392354125
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.556673373575
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.121395036888
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.446009389671
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.136150234742
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.50637156271
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.114688128773
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.464118041583
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0160965794769
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.46277665996
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.117370892019
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0851777330651
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.492287055667
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0912139503689
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0851777330651
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0804828973843
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.458752515091
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.103957075788
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0382293762575
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0617035546613
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.537894030852
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.539906103286
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.110663983903
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.110663983903
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.142186452046
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.564721663313
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0482897384306
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0355466130114
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.150905432596
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.477531857814
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0892018779343
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.651911468813
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0798122065728
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.591549295775
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.507712944333
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.00670690811536
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.531187122736
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.193158953722
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0811535881958
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.0811535881958
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0858484238766
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0342052313883
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.482897384306
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.600268276325
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.0576794097921
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.48490945674
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.605633802817
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.13547954393
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.125419181757
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.464788732394
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.65057008719
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.102615694165
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.553319919517
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.482226693494
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.591549295775
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.168343393696
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.678739101274
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.433266264252
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.027498323273
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.474178403756
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.560697518444
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.0912139503689
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0778001341382
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0865191146881
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.552649228706
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.519114688129
