SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.882962962963
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.977777777778
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.762962962963
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.837037037037
1,0,0,1,1,1,0,1,1,1,0,0,1,1,1.0
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.765185185185
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.894074074074
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.97037037037
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.902222222222
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.877037037037
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.888148148148
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.916296296296
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.834074074074
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.832592592593
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.874814814815
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.793333333333
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.862962962963
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.881481481481
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.900740740741
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.924444444444
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.798518518519
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.764444444444
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.745925925926
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.746666666667
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.642222222222
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.888148148148
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.737037037037
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.825925925926
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.903703703704
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.691111111111
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.813333333333
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.85037037037
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.712592592593
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.803703703704
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.834074074074
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.931111111111
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.921481481481
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.858518518519
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.7
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.987407407407
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.878518518519
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.695555555556
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.983703703704
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.625185185185
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.7
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.75037037037
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.804444444444
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.636296296296
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.665925925926
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.712592592593
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.84
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.754814814815
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.656296296296
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.727407407407
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.799259259259
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.732592592593
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.783703703704
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.631111111111
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.821481481481
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.767407407407
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.663703703704
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.71037037037
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.820740740741
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.739259259259
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.768888888889
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.677777777778
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.777777777778
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.511111111111
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.77037037037
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.745185185185
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.574814814815
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.738518518519
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.705925925926
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.902962962963
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.694814814815
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.968148148148
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.728888888889
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.805925925926
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.622962962963
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.675555555556
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.708148148148
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.704444444444
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.737777777778
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.774814814815
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.794074074074
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.781481481481
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.854814814815
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.705185185185
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.86
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.820740740741
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.80962962963
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.617037037037
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.555555555556
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.771111111111
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.766666666667
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.80962962963
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.751851851852
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.643703703704
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.740740740741
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.71037037037
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.913333333333
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.84962962963
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.659259259259
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.731111111111
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.692592592593
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.580740740741
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.741481481481
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.814814814815
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.665185185185
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.735555555556
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.845185185185
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.767407407407
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.838518518519
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.72
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.627407407407
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.52
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.704444444444
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.656296296296
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.702962962963
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.801481481481
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.831851851852
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.674074074074
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.659259259259
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.668148148148
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.582222222222
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.584444444444
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.651851851852
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.565185185185
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.663703703704
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.605925925926
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.571111111111
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.678518518519
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.748148148148
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.68962962963
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.525185185185
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.791111111111
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.788148148148
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.696296296296
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.645925925926
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.722222222222
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.620740740741
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.57037037037
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.731111111111
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.608148148148
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.566666666667
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.644444444444
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.414074074074
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.638518518519
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.582962962963
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.660740740741
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.695555555556
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.657777777778
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.751851851852
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.587407407407
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.687407407407
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.64962962963
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.81037037037
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.79037037037
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.617777777778
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.881481481481
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.702962962963
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.73037037037
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.425185185185
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.87037037037
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.832592592593
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.54
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.64962962963
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.62962962963
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.577777777778
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.831851851852
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.69037037037
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.622962962963
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.66962962963
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.691851851852
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.599259259259
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.674074074074
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.616296296296
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.768888888889
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.597777777778
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.711111111111
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.619259259259
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.42962962963
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.537037037037
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.71037037037
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.485185185185
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.552592592593
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.58
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.639259259259
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.558518518519
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.694074074074
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.785185185185
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.674814814815
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.541481481481
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.605185185185
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.451111111111
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.615555555556
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.474074074074
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.588888888889
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.679259259259
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.680740740741
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.617777777778
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.614074074074
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.75037037037
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.652592592593
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.526666666667
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.66
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.608888888889
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.768888888889
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.414814814815
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.673333333333
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.5
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.545925925926
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.700740740741
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.783703703704
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.637037037037
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.518518518519
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.725925925926
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.742962962963
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.713333333333
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.574074074074
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.611851851852
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.648888888889
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.77037037037
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.482222222222
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.685185185185
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.58962962963
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.536296296296
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.671851851852
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.614074074074
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.727407407407
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.615555555556
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.553333333333
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.617037037037
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.564444444444
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.693333333333
