SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.529100529101
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.147560258671
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0182245737801
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.601998824221
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0881834215168
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0846560846561
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.480893592005
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.179306290417
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.574955908289
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.653145208701
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.538506760729
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.514403292181
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.125808348031
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.16049382716
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.08759553204
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.121693121693
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.430335097002
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.564373897707
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.641975308642
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.658436213992
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.155202821869
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.186360964139
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0723104056437
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.1569664903
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.552616108172
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.480305702528
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.620223398001
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0887713109935
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0523221634333
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.686654908877
