SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,35.563
0,0,0,0,1,0,1,0,0,1,0,0,0,1,35.456
0,1,0,1,0,1,0,1,0,0,1,0,1,1,35.769
1,1,0,0,0,1,0,0,1,1,0,1,0,1,35.178
1,0,0,1,1,1,0,1,1,1,0,0,1,1,35.126
1,1,1,1,0,0,1,0,1,1,1,0,1,0,35.347
0,1,1,1,1,1,1,0,0,1,0,1,1,0,35.385
1,0,1,0,1,0,0,1,1,1,0,0,0,1,35.702
1,0,1,1,1,0,1,0,1,1,1,1,1,0,35.442
1,0,0,1,1,1,0,1,1,0,1,1,0,0,34.46
0,1,0,1,0,1,1,0,0,1,0,1,0,0,34.526
0,0,0,1,0,1,0,1,0,1,1,1,0,0,35.033
0,1,0,0,1,1,0,0,1,0,1,0,1,0,34.976
0,1,1,1,1,0,0,1,0,1,0,0,1,0,45.502
1,1,0,1,1,0,0,1,1,0,1,0,0,0,162.86
0,0,1,0,1,1,0,1,1,1,0,0,0,0,250.19
1,0,0,0,1,0,0,1,1,0,0,1,0,1,259.13
1,1,0,0,0,0,0,1,0,0,1,1,1,1,254.19
1,1,0,1,0,0,1,0,0,1,0,1,0,0,794.46
0,0,0,0,0,1,0,1,1,0,0,1,0,1,719.18
0,1,1,1,1,0,0,0,0,1,0,0,1,1,757.74
1,0,0,0,1,1,0,0,1,1,1,0,0,0,748.78
0,1,1,1,0,0,0,0,0,0,1,0,1,1,713.96
1,1,1,1,1,0,0,1,0,1,1,0,1,0,826.07
1,1,0,1,0,0,0,0,1,1,0,0,1,1,820.95
0,0,1,0,0,0,1,0,1,1,0,1,0,0,897.1
0,1,1,0,1,1,0,1,1,0,0,1,1,0,801.73
1,0,0,1,1,0,1,1,0,0,0,1,1,0,816.78
1,1,1,0,0,0,1,0,1,0,0,0,0,1,792.48
0,0,0,0,1,0,0,0,1,0,1,0,1,0,801.74
0,0,0,0,1,0,0,0,0,1,1,1,1,0,787.53
1,0,1,1,1,1,0,1,0,0,0,1,0,0,766.22
0,1,0,1,0,0,0,0,1,0,0,0,0,1,830.49
0,1,0,1,0,0,0,0,0,0,1,1,0,1,844.97
1,1,0,1,1,1,0,1,0,0,0,0,0,0,760.63
0,1,1,0,0,0,1,0,0,1,1,1,0,0,749.73
0,1,1,0,0,0,0,1,0,1,1,0,0,1,913.53
1,1,1,0,1,1,0,0,1,0,1,1,1,1,922.9
0,0,0,0,1,0,1,0,1,0,1,0,1,0,846.64
0,0,0,1,1,1,0,0,0,0,0,1,1,1,834.43
1,0,0,0,1,0,1,1,0,0,1,0,1,0,801.69
1,0,0,1,0,1,0,1,1,0,0,0,1,0,818.4
0,1,1,0,0,0,1,1,1,1,1,1,0,0,737.79
1,0,1,1,0,0,0,0,1,1,1,0,1,0,755.79
0,0,0,1,1,0,0,1,0,1,1,0,1,1,776.16
1,1,1,1,1,0,0,1,1,1,0,0,1,0,834.6
1,0,1,0,0,1,1,1,1,0,1,1,0,1,782.06
0,1,0,1,1,1,0,0,1,1,0,0,1,0,907.32
0,1,1,1,1,1,1,0,1,1,1,0,1,0,726.6
0,1,0,1,0,0,1,1,1,1,1,0,0,0,792.28
1,0,1,1,1,0,1,0,1,1,0,1,1,0,770.33
1,0,0,1,1,1,1,0,0,0,1,1,1,0,742.32
1,0,0,1,0,0,1,1,0,0,0,0,0,1,983.44
1,1,1,0,0,1,0,0,1,0,1,0,1,1,771.57
0,0,1,1,0,1,0,1,1,1,0,0,0,0,795.02
1,0,0,0,1,1,0,1,0,1,1,1,1,0,806.32
1,1,1,0,0,0,0,1,0,0,0,0,0,1,822.52
0,0,1,0,1,1,1,0,0,0,1,0,0,0,832.03
1,1,1,0,0,0,0,0,0,1,1,0,0,0,753.07
0,0,0,0,0,1,1,1,1,0,0,1,1,0,807.31
0,0,1,1,1,0,1,1,0,0,1,0,0,0,811.04
0,1,0,0,0,1,1,1,1,1,0,1,1,0,945.36
0,0,0,1,0,0,0,0,0,1,1,0,0,1,726.07
1,0,0,0,1,1,0,1,0,1,1,1,0,0,824.6
0,0,1,1,0,0,1,1,0,1,1,1,1,0,837.32
0,1,1,1,1,0,1,0,0,0,1,0,1,0,860.82
0,0,0,1,0,0,0,0,0,1,0,1,1,0,830.25
0,1,0,1,0,0,1,0,0,1,1,0,1,1,843.29
0,0,1,1,1,0,1,0,1,1,1,0,1,0,845.5
0,0,0,1,1,0,1,0,1,1,0,0,1,0,857.36
0,0,1,0,0,0,0,0,1,0,1,0,1,1,872.8
0,0,1,0,1,0,1,0,0,0,0,0,0,1,865.58
0,1,1,1,1,1,1,0,1,1,0,1,1,1,887.15
1,1,0,1,0,0,0,1,0,1,0,1,0,0,827.64
1,0,1,1,0,0,0,1,1,1,1,0,0,0,53.959
1,1,0,0,1,1,1,0,0,0,0,1,1,0,258.57
1,0,0,1,1,1,1,0,1,1,1,1,0,1,259.55
0,0,0,0,0,1,0,1,0,0,0,0,0,1,240.66
1,1,1,1,1,1,1,1,1,1,1,0,0,1,248.63
0,0,1,1,0,0,1,1,0,0,1,1,0,0,255.61
1,1,1,0,1,0,1,1,1,1,0,1,0,0,255.24
0,0,0,1,1,0,0,0,0,1,1,0,1,0,249.31
1,1,0,0,1,0,0,0,1,0,0,1,1,0,874.29
0,1,0,1,1,0,0,0,0,0,0,1,1,0,876.7
1,0,0,1,0,1,0,0,1,1,1,1,1,0,820.62
1,1,1,1,1,1,0,0,1,1,1,0,0,0,863.39
1,0,1,0,1,1,0,0,1,1,1,1,0,1,847.68
0,0,1,1,0,1,0,1,0,0,1,1,0,1,861.65
0,1,0,1,0,0,1,1,1,1,1,0,1,1,853.43
1,0,0,1,1,1,1,0,1,0,0,1,1,0,871.01
1,0,0,1,1,0,1,0,1,1,0,1,1,0,817.51
0,0,1,1,0,0,0,0,1,1,0,0,1,0,1014.2
0,0,0,0,1,1,1,1,1,0,1,0,1,0,859.05
1,0,0,1,1,1,1,1,1,0,1,0,0,1,810.97
1,1,0,0,0,1,0,0,1,0,0,1,0,0,825.69
1,0,1,1,0,0,0,0,0,0,1,1,0,0,925.6
1,0,1,0,1,0,0,0,1,0,0,1,0,0,799.35
0,1,1,1,1,1,0,1,1,0,0,0,0,0,832.54
0,1,0,0,0,1,0,0,1,0,1,1,0,0,873.75
1,0,0,0,1,1,0,0,0,1,1,0,0,1,832.0
1,1,0,1,1,0,0,1,1,0,0,1,0,0,854.6
1,0,1,1,0,1,0,1,1,1,1,0,1,1,869.91
0,1,1,0,1,1,1,0,0,1,1,0,0,1,847.7
1,1,0,1,0,0,1,1,0,0,1,1,1,0,787.34
0,1,0,1,1,0,1,1,0,1,1,0,1,0,873.9
1,0,0,1,1,0,1,1,0,1,0,1,0,1,877.79
1,1,1,0,1,0,0,0,1,0,0,0,0,1,831.36
0,0,1,1,0,0,1,0,0,1,0,1,0,1,960.32
0,1,1,0,0,0,1,1,0,0,1,0,0,1,932.94
0,1,1,1,1,1,0,0,0,1,1,1,0,1,843.7
1,0,1,0,0,0,1,0,1,0,0,1,0,0,891.64
0,0,1,0,0,1,1,0,1,0,0,0,1,1,852.48
1,1,1,0,0,0,0,1,0,0,1,1,1,1,849.38
0,0,0,1,0,1,1,1,1,1,0,0,0,0,879.24
0,1,1,0,0,0,0,0,1,0,1,1,1,1,839.24
0,1,0,0,0,0,0,1,0,1,1,1,1,0,771.7
0,1,1,1,1,0,1,1,1,1,1,0,0,0,812.06
0,0,0,1,1,0,0,0,0,1,1,1,0,1,794.19
1,0,1,0,0,1,0,0,0,0,0,0,1,1,791.04
1,0,1,0,1,1,0,0,1,1,0,1,0,0,867.48
0,1,1,1,0,1,0,0,0,0,0,1,0,0,833.91
1,0,1,1,0,1,0,1,0,0,0,0,1,1,857.39
0,1,1,1,1,0,0,1,1,1,1,0,0,0,874.7
0,1,0,1,1,0,1,0,0,1,1,0,1,0,873.88
0,0,1,1,1,0,0,1,1,1,1,0,1,0,848.7
1,0,1,1,1,1,1,1,0,1,1,0,1,0,847.93
0,0,1,1,1,0,1,0,0,1,1,1,0,1,792.54
1,1,0,0,0,0,1,1,1,1,1,0,1,0,809.49
0,1,1,1,0,1,0,0,0,0,1,1,1,0,830.6
1,1,1,1,0,1,1,1,1,1,1,0,1,1,751.5
1,1,1,0,0,0,1,0,0,1,1,0,1,1,879.64
1,0,0,0,0,1,1,1,1,1,0,1,1,0,827.74
1,1,0,1,1,0,1,1,0,1,0,1,1,1,874.21
1,0,1,1,1,1,0,0,1,0,1,0,0,1,887.78
0,0,1,1,0,0,1,0,0,0,1,0,1,0,812.5
1,1,0,1,0,1,0,1,0,1,0,0,0,0,842.44
1,1,1,0,0,1,1,0,1,0,0,1,0,0,949.81
1,1,0,1,0,1,1,0,1,1,0,1,0,1,824.94
1,0,1,0,1,0,1,1,0,1,0,1,1,0,778.16
1,0,1,1,0,1,0,0,1,0,1,1,0,1,855.28
1,0,0,0,1,0,0,1,0,1,1,0,1,1,872.66
1,0,0,1,0,0,0,1,1,1,1,0,0,0,871.32
1,0,1,0,0,1,1,1,1,1,1,0,0,1,837.07
1,0,0,0,0,1,0,1,0,0,0,0,1,0,867.61
0,1,1,1,1,1,0,0,1,1,0,0,1,1,856.97
1,1,1,1,1,1,0,1,0,0,0,1,1,0,881.16
1,1,1,1,0,0,1,0,1,1,0,0,1,0,848.61
0,1,0,1,0,0,1,0,1,0,0,1,0,0,770.71
0,1,0,1,1,0,1,0,1,1,1,0,0,1,825.5
0,0,1,1,0,1,0,1,1,0,0,0,0,0,867.62
0,0,1,1,0,1,0,1,0,1,0,0,1,0,951.58
0,0,0,1,1,0,0,0,0,1,1,0,1,0,853.52
0,1,1,0,1,0,0,1,0,0,0,1,1,0,871.16
0,1,1,1,0,1,0,1,0,0,1,1,1,1,847.66
1,1,0,0,1,1,1,0,0,1,1,1,1,1,810.52
1,1,1,0,0,0,0,1,1,0,0,1,1,1,906.11
1,1,1,1,1,1,0,1,1,0,0,0,1,0,854.18
1,1,0,0,0,1,0,1,1,0,1,1,1,0,823.57
0,1,0,0,0,1,0,1,1,0,0,1,0,0,948.44
1,0,1,1,1,1,0,1,1,0,0,1,1,1,942.06
1,0,0,1,1,1,0,0,1,0,1,0,1,1,857.63
0,1,0,1,1,1,0,1,1,0,0,1,1,0,766.11
1,1,1,1,1,1,1,1,1,0,0,0,1,0,849.0
0,0,1,1,1,1,0,1,1,1,1,1,1,1,905.5
0,1,1,0,0,0,0,0,0,1,0,1,1,1,836.21
1,0,1,0,0,0,1,1,1,0,0,0,0,1,828.56
1,1,0,1,0,0,0,0,0,0,0,0,1,0,893.32
0,1,1,0,1,1,1,1,1,1,0,0,1,1,889.23
1,1,1,1,1,0,1,0,1,0,0,0,1,1,899.11
1,1,1,0,0,1,0,0,0,1,1,1,0,0,869.96
