SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,942.86
0,0,0,0,1,0,1,0,0,1,0,0,0,1,927.5
0,1,0,1,0,1,0,1,0,0,1,0,1,1,953.17
1,1,0,0,0,1,0,0,1,1,0,1,0,1,980.11
1,0,0,1,1,1,0,1,1,1,0,0,1,1,923.65
1,1,1,1,0,0,1,0,1,1,1,0,1,0,917.18
0,1,1,1,1,1,1,0,0,1,0,1,1,0,891.31
1,0,1,0,1,0,0,1,1,1,0,0,0,1,953.08
1,0,1,1,1,0,1,0,1,1,1,1,1,0,924.69
1,0,0,1,1,1,0,1,1,0,1,1,0,0,913.05
0,1,0,1,0,1,1,0,0,1,0,1,0,0,924.77
0,0,0,1,0,1,0,1,0,1,1,1,0,0,918.23
0,1,0,0,1,1,0,0,1,0,1,0,1,0,987.77
0,1,1,1,1,0,0,1,0,1,0,0,1,0,955.54
1,1,0,1,1,0,0,1,1,0,1,0,0,0,981.38
0,0,1,0,1,1,0,1,1,1,0,0,0,0,1078.8
1,0,0,0,1,0,0,1,1,0,0,1,0,1,1041.9
1,1,0,0,0,0,0,1,0,0,1,1,1,1,1054.8
1,1,0,1,0,0,1,0,0,1,0,1,0,0,1059.9
0,0,0,0,0,1,0,1,1,0,0,1,0,1,11848.0
0,1,1,1,1,0,0,0,0,1,0,0,1,1,12300.0
1,0,0,0,1,1,0,0,1,1,1,0,0,0,12297.0
0,1,1,1,0,0,0,0,0,0,1,0,1,1,12296.0
1,1,1,1,1,0,0,1,0,1,1,0,1,0,12308.0
1,1,0,1,0,0,0,0,1,1,0,0,1,1,12312.0
0,0,1,0,0,0,1,0,1,1,0,1,0,0,11884.0
0,1,1,0,1,1,0,1,1,0,0,1,1,0,11889.0
1,0,0,1,1,0,1,1,0,0,0,1,1,0,11906.0
1,1,1,0,0,0,1,0,1,0,0,0,0,1,12300.0
0,0,0,0,1,0,0,0,1,0,1,0,1,0,12299.0
0,0,0,0,1,0,0,0,0,1,1,1,1,0,11902.0
1,0,1,1,1,1,0,1,0,0,0,1,0,0,11884.0
0,1,0,1,0,0,0,0,1,0,0,0,0,1,12414.0
0,1,0,1,0,0,0,0,0,0,1,1,0,1,11838.0
1,1,0,1,1,1,0,1,0,0,0,0,0,0,12350.0
0,1,1,0,0,0,1,0,0,1,1,1,0,0,11838.0
0,1,1,0,0,0,0,1,0,1,1,0,0,1,21593.0
1,1,1,0,1,1,0,0,1,0,1,1,1,1,11838.0
0,0,0,0,1,0,1,0,1,0,1,0,1,0,12317.0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,11850.0
1,0,0,0,1,0,1,1,0,0,1,0,1,0,12303.0
1,0,0,1,0,1,0,1,1,0,0,0,1,0,12295.0
0,1,1,0,0,0,1,1,1,1,1,1,0,0,11839.0
1,0,1,1,0,0,0,0,1,1,1,0,1,0,12309.0
0,0,0,1,1,0,0,1,0,1,1,0,1,1,12423.0
1,1,1,1,1,0,0,1,1,1,0,0,1,0,12320.0
1,0,1,0,0,1,1,1,1,0,1,1,0,1,11856.0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,12297.0
