SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,20.697
0,0,0,0,1,0,1,0,0,1,0,0,0,1,17.423
0,1,0,1,0,1,0,1,0,0,1,0,1,1,18.025
1,1,0,0,0,1,0,0,1,1,0,1,0,1,21.297
1,0,0,1,1,1,0,1,1,1,0,0,1,1,17.882
1,1,1,1,0,0,1,0,1,1,1,0,1,0,17.462
0,1,1,1,1,1,1,0,0,1,0,1,1,0,20.685
1,0,1,0,1,0,0,1,1,1,0,0,0,1,17.567
1,0,1,1,1,0,1,0,1,1,1,1,1,0,20.962
1,0,0,1,1,1,0,1,1,0,1,1,0,0,21.432
0,1,0,1,0,1,1,0,0,1,0,1,0,0,20.692
0,0,0,1,0,1,0,1,0,1,1,1,0,0,20.505
0,1,0,0,1,1,0,0,1,0,1,0,1,0,18.072
0,1,1,1,1,0,0,1,0,1,0,0,1,0,17.365
1,1,0,1,1,0,0,1,1,0,1,0,0,0,17.383
0,0,1,0,1,1,0,1,1,1,0,0,0,0,17.646
1,0,0,0,1,0,0,1,1,0,0,1,0,1,20.739
1,1,0,0,0,0,0,1,0,0,1,1,1,1,20.729
1,1,0,1,0,0,1,0,0,1,0,1,0,0,21.362
0,0,0,0,0,1,0,1,1,0,0,1,0,1,21.626
0,1,1,1,1,0,0,0,0,1,0,0,1,1,17.468
1,0,0,0,1,1,0,0,1,1,1,0,0,0,17.514
0,1,1,1,0,0,0,0,0,0,1,0,1,1,17.687
1,1,1,1,1,0,0,1,0,1,1,0,1,0,17.462
1,1,0,1,0,0,0,0,1,1,0,0,1,1,17.526
0,0,1,0,0,0,1,0,1,1,0,1,0,0,20.642
0,1,1,0,1,1,0,1,1,0,0,1,1,0,20.675
1,0,0,1,1,0,1,1,0,0,0,1,1,0,20.77
1,1,1,0,0,0,1,0,1,0,0,0,0,1,17.838
0,0,0,0,1,0,0,0,1,0,1,0,1,0,17.554
0,0,0,0,1,0,0,0,0,1,1,1,1,0,21.164
1,0,1,1,1,1,0,1,0,0,0,1,0,0,20.885
0,1,0,1,0,0,0,0,1,0,0,0,0,1,17.93
0,1,0,1,0,0,0,0,0,0,1,1,0,1,20.625
1,1,0,1,1,1,0,1,0,0,0,0,0,0,17.657
0,1,1,0,0,0,1,0,0,1,1,1,0,0,21.373
0,1,1,0,0,0,0,1,0,1,1,0,0,1,17.563
1,1,1,0,1,1,0,0,1,0,1,1,1,1,20.549
0,0,0,0,1,0,1,0,1,0,1,0,1,0,17.302
0,0,0,1,1,1,0,0,0,0,0,1,1,1,20.33
1,0,0,0,1,0,1,1,0,0,1,0,1,0,18.116
1,0,0,1,0,1,0,1,1,0,0,0,1,0,17.435
0,1,1,0,0,0,1,1,1,1,1,1,0,0,21.509
1,0,1,1,0,0,0,0,1,1,1,0,1,0,17.369
0,0,0,1,1,0,0,1,0,1,1,0,1,1,17.491
1,1,1,1,1,0,0,1,1,1,0,0,1,0,17.459
1,0,1,0,0,1,1,1,1,0,1,1,0,1,20.889
0,1,0,1,1,1,0,0,1,1,0,0,1,0,17.343
0,1,1,1,1,1,1,0,1,1,1,0,1,0,17.687
0,1,0,1,0,0,1,1,1,1,1,0,0,0,17.404
1,0,1,1,1,0,1,0,1,1,0,1,1,0,20.59
1,0,0,1,1,1,1,0,0,0,1,1,1,0,20.681
1,0,0,1,0,0,1,1,0,0,0,0,0,1,17.555
1,1,1,0,0,1,0,0,1,0,1,0,1,1,17.626
0,0,1,1,0,1,0,1,1,1,0,0,0,0,17.5
1,0,0,0,1,1,0,1,0,1,1,1,1,0,21.136
1,1,1,0,0,0,0,1,0,0,0,0,0,1,17.268
0,0,1,0,1,1,1,0,0,0,1,0,0,0,17.65
1,1,1,0,0,0,0,0,0,1,1,0,0,0,17.925
0,0,0,0,0,1,1,1,1,0,0,1,1,0,20.6
0,0,1,1,1,0,1,1,0,0,1,0,0,0,17.456
0,1,0,0,0,1,1,1,1,1,0,1,1,0,20.919
0,0,0,1,0,0,0,0,0,1,1,0,0,1,17.87
1,0,0,0,1,1,0,1,0,1,1,1,0,0,20.784
0,0,1,1,0,0,1,1,0,1,1,1,1,0,20.955
0,1,1,1,1,0,1,0,0,0,1,0,1,0,17.754
0,0,0,1,0,0,0,0,0,1,0,1,1,0,20.648
0,1,0,1,0,0,1,0,0,1,1,0,1,1,17.881
0,0,1,1,1,0,1,0,1,1,1,0,1,0,17.84
0,0,0,1,1,0,1,0,1,1,0,0,1,0,17.592
0,0,1,0,0,0,0,0,1,0,1,0,1,1,17.321
0,0,1,0,1,0,1,0,0,0,0,0,0,1,17.351
0,1,1,1,1,1,1,0,1,1,0,1,1,1,20.931
1,1,0,1,0,0,0,1,0,1,0,1,0,0,21.349
1,0,1,1,0,0,0,1,1,1,1,0,0,0,18.285
1,1,0,0,1,1,1,0,0,0,0,1,1,0,21.244
1,0,0,1,1,1,1,0,1,1,1,1,0,1,21.065
0,0,0,0,0,1,0,1,0,0,0,0,0,1,17.455
1,1,1,1,1,1,1,1,1,1,1,0,0,1,17.613
0,0,1,1,0,0,1,1,0,0,1,1,0,0,20.5
1,1,1,0,1,0,1,1,1,1,0,1,0,0,20.84
0,0,0,1,1,0,0,0,0,1,1,0,1,0,17.926
