SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.00313204332848
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.00442669661769
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.00277964134146
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.00115331559388
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.00493174331567
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0069670061284
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.00552913064126
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0069670061284
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.00424766887028
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.00938105396462
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.00806755564936
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.00336572165143
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0519142777455
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.095450056912
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.959087448459
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.964269830621
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.919380978585
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.983642517394
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.296760163123
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.267531527729
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.208471216107
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.193282125116
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.184274202667
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.161697861466
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.169386632092
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.183068121
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.156496634278
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.171365359827
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.148789018626
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.15138963222
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.159492993419
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.181277843526
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.15796654631
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.153688725398
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.166672948342
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.186252930402
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.196033498918
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.171233444645
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.128379855421
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.173268707457
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.140308756907
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.139611490943
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.13295919675
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.156685084539
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.216574577306
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.189908865454
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.186987886417
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.227711987698
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.164373855165
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.164844980816
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.180335592224
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.189776950272
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.488659063327
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.144058917089
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.159624908602
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.144285057402
