SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,5.17
0,0,0,0,1,0,1,0,0,1,0,0,0,1,4.608
0,1,0,1,0,1,0,1,0,0,1,0,1,1,4.507
1,1,0,0,0,1,0,0,1,1,0,1,0,1,5.262
1,0,0,1,1,1,0,1,1,1,0,0,1,1,4.584
1,1,1,1,0,0,1,0,1,1,1,0,1,0,4.539
0,1,1,1,1,1,1,0,0,1,0,1,1,0,5.204
1,0,1,0,1,0,0,1,1,1,0,0,0,1,4.653
1,0,1,1,1,0,1,0,1,1,1,1,1,0,5.233
1,0,0,1,1,1,0,1,1,0,1,1,0,0,5.19
0,1,0,1,0,1,1,0,0,1,0,1,0,0,5.242
0,0,0,1,0,1,0,1,0,1,1,1,0,0,5.108
0,1,0,0,1,1,0,0,1,0,1,0,1,0,4.482
0,1,1,1,1,0,0,1,0,1,0,0,1,0,4.558
1,1,0,1,1,0,0,1,1,0,1,0,0,0,4.497
0,0,1,0,1,1,0,1,1,1,0,0,0,0,4.645
1,0,0,0,1,0,0,1,1,0,0,1,0,1,5.21
1,1,0,0,0,0,0,1,0,0,1,1,1,1,5.247
1,1,0,1,0,0,1,0,0,1,0,1,0,0,5.318
0,0,0,0,0,1,0,1,1,0,0,1,0,1,5.151
0,1,1,1,1,0,0,0,0,1,0,0,1,1,4.562
1,0,0,0,1,1,0,0,1,1,1,0,0,0,4.526
0,1,1,1,0,0,0,0,0,0,1,0,1,1,4.452
1,1,1,1,1,0,0,1,0,1,1,0,1,0,4.497
1,1,0,1,0,0,0,0,1,1,0,0,1,1,4.531
0,0,1,0,0,0,1,0,1,1,0,1,0,0,5.307
0,1,1,0,1,1,0,1,1,0,0,1,1,0,5.079
1,0,0,1,1,0,1,1,0,0,0,1,1,0,5.458
1,1,1,0,0,0,1,0,1,0,0,0,0,1,4.599
0,0,0,0,1,0,0,0,1,0,1,0,1,0,4.475
0,0,0,0,1,0,0,0,0,1,1,1,1,0,5.248
1,0,1,1,1,1,0,1,0,0,0,1,0,0,5.262
0,1,0,1,0,0,0,0,1,0,0,0,0,1,4.58
0,1,0,1,0,0,0,0,0,0,1,1,0,1,5.191
1,1,0,1,1,1,0,1,0,0,0,0,0,0,4.55
0,1,1,0,0,0,1,0,0,1,1,1,0,0,5.166
0,1,1,0,0,0,0,1,0,1,1,0,0,1,4.576
1,1,1,0,1,1,0,0,1,0,1,1,1,1,5.109
