topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
2,1,2,10,10,0,1000,1000,1024,10000,5,29,1423.3583333333333
4,10,4,1000000,10,1,1,1000,512,10000,5,29,4.1749999999999998
2,10,4,10,10,0,1000,1000,512,10000,2,0,1798.3333333333333
4,1,4,10,1,0,1,1000,512,10000,2,29,1.2666666666666664
4,1,4,1000000,1,1,1000,10,512,100,5,0,243.42499999999998
4,10,2,10,10,0,1000,1000,512,10000,5,29,4005.3166666666662
4,10,2,10,1,0,1000,10,1024,100,5,29,181.0333333333333
2,10,2,10,1,1,1000,1000,1024,10000,2,0,107.84166666666668
2,10,2,1000000,1,0,1000,1000,1024,10000,5,0,103.00833333333334
4,10,2,1000000,10,0,1,10,1024,100,2,29,3.2249999999999992
4,10,4,1000000,1,1,1,10,1024,100,5,29,1.2666666666666664
2,10,4,10,10,0,1000,1000,1024,10000,2,29,1693.875
4,1,2,1000000,1,1,1,10,512,100,2,29,1.2499999999999998
4,1,2,1000000,1,1,1000,10,1024,100,2,0,185.45000000000002
2,1,4,10,10,0,1000,10,1024,100,5,0,1897.6999999999998
4,10,2,10,1,0,1000,1000,512,10000,2,0,194.48333333333335
2,1,4,10,1,0,1,10,512,100,5,0,1.0999999999999999
4,10,4,10,10,1,1,1000,1024,10000,5,0,4.3083333333333327
2,1,2,1000000,10,0,1000,10,1024,100,5,0,1472.9166666666667
2,10,4,1000000,10,0,1000,10,512,100,5,0,1734.7750000000003
4,1,2,1000000,10,0,1000,10,1024,100,2,0,3584.3833333333332
4,1,2,10,1,1,1,10,1024,100,2,0,1.2666666666666664
4,10,2,1000000,10,0,1000,10,512,100,2,0,4351.6749999999993
4,1,4,1000000,1,0,1000,10,1024,100,2,29,248.19999999999996
4,1,2,10,1,0,1000,1000,512,10000,2,0,187.65833333333333
4,1,4,10,1,0,1,10,1024,100,5,29,1.2666666666666664
2,10,2,10,1,0,1000,10,1024,100,5,0,105.02499999999999
4,1,2,10,1,1,1000,10,1024,100,2,29,184.875
2,1,2,10,10,1,1000,10,1024,100,5,29,1529.125
2,10,4,10,1,1,1,1000,512,10000,2,0,1.1249999999999998
4,1,2,1000000,1,0,1000,10,512,100,2,29,181.28333333333333
4,10,2,10,10,1,1,1000,512,10000,5,0,3.3083333333333331
2,10,4,1000000,1,0,1,1000,1024,10000,2,29,1.1333333333333331
2,1,4,1000000,10,0,1000,1000,1024,10000,5,0,1818.1749999999995
2,1,2,10,10,0,1,1000,1024,10000,2,29,2.2083333333333326
4,10,4,10,1,0,1,10,1024,100,2,29,1.2583333333333331
2,1,2,1000000,10,1,1000,10,512,100,2,0,1521.4083333333335
2,10,4,1000000,1,0,1000,10,512,100,5,0,121.91666666666667
4,1,2,10,10,1,1,1000,512,10000,2,0,3.5166666666666662
4,1,4,10,1,1,1000,10,512,100,2,29,245.125
2,10,4,10,1,0,1000,1000,1024,10000,2,0,124.70833333333333
4,1,2,10,1,1,1,1000,512,10000,5,0,1.2499999999999998
4,1,2,10,10,1,1000,1000,512,10000,5,29,4571.3000000000002
4,10,2,10,10,0,1000,1000,1024,10000,2,0,4064.8333333333339
2,1,2,1000000,10,1,1,10,1024,100,5,0,1.7916666666666663
4,10,2,10,10,0,1000,1000,512,10000,2,29,4452.3749999999991
4,10,4,10,1,1,1,1000,512,10000,2,29,1.2666666666666664
4,1,2,1000000,1,0,1000,10,1024,100,5,29,195.86666666666667
2,1,2,10,10,1,1,10,1024,100,5,0,1.7916666666666663
2,1,4,10,10,0,1000,10,512,100,5,29,1725.2333333333333
4,1,2,10,10,1,1,10,1024,100,2,29,3.3249999999999993
4,10,2,1000000,10,0,1000,1000,1024,10000,5,0,4528.0333333333338
4,1,2,1000000,1,1,1,10,512,100,2,0,1.2916666666666663
2,1,4,1000000,10,1,1000,10,512,100,5,29,1673.4416666666666
2,1,2,10,1,0,1,1000,1024,10000,2,29,1.1333333333333331
4,1,4,1000000,10,1,1000,10,1024,100,5,0,5702.9333333333316
2,10,2,1000000,10,1,1000,10,512,100,5,29,1450.4083333333335
2,10,2,1000000,1,1,1,10,512,100,2,29,1.1583333333333332
4,1,4,1000000,1,1,1,1000,1024,10000,5,0,1.2499999999999998
4,1,2,1000000,1,1,1000,1000,1024,10000,2,29,182.46666666666667
4,10,2,10,10,0,1,1000,512,10000,5,29,3.3333333333333326
4,1,2,1000000,1,1,1000,10,512,100,2,29,191.16666666666666
2,1,2,1000000,10,1,1000,10,512,100,5,29,1541.9750000000001
4,10,4,1000000,10,1,1000,10,1024,100,2,29,5190.9916666666668
4,10,4,1000000,1,1,1000,10,512,100,5,29,218.07499999999996
4,1,2,10,1,0,1,10,512,100,2,0,1.3416666666666668
2,1,4,1000000,1,1,1000,10,1024,100,5,0,114.25833333333334
4,10,2,1000000,1,1,1000,10,1024,100,2,29,180.4083333333333
4,10,4,10,10,0,1,10,512,100,2,0,4.2499999999999991
2,1,2,1000000,1,0,1000,1000,512,10000,5,29,101.86666666666669
4,1,2,10,10,0,1,1000,512,10000,2,29,3.3333333333333326
2,1,4,10,10,1,1000,10,1024,100,2,29,1675.325
2,10,4,1000000,1,1,1000,1000,512,10000,5,29,115.05833333333335
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,1.2416666666666665
2,10,4,10,1,1,1,1000,512,10000,2,29,1.1083333333333332
2,10,2,1000000,1,1,1,1000,1024,10000,2,29,1.1333333333333331
4,10,2,10,1,1,1,1000,1024,10000,2,0,1.2416666666666665
2,1,2,1000000,1,1,1,10,1024,100,2,0,1.1083333333333332
4,10,2,1000000,10,0,1,10,512,100,5,29,3.3333333333333326
4,1,4,1000000,1,0,1,10,1024,100,5,0,1.2583333333333331
4,10,2,1000000,10,1,1000,10,1024,100,5,29,4438.5333333333328
4,10,4,1000000,1,1,1,10,512,100,2,29,1.2749999999999997
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,231.39999999999995
4,1,4,1000000,10,1,1000,10,512,100,5,0,5030.0166666666664
2,10,4,10,10,1,1,10,1024,100,2,29,1.9333333333333336
4,10,4,10,10,0,1,10,1024,100,2,29,4.1583333333333332
2,1,4,10,10,0,1000,1000,512,10000,5,0,1726.7250000000001
4,10,4,10,1,1,1,1000,512,10000,2,0,1.2749999999999997
4,10,2,1000000,1,0,1000,10,1024,100,5,29,179.65833333333333
2,10,4,1000000,1,0,1,10,512,100,2,0,1.1416666666666666
4,1,2,10,1,1,1000,1000,1024,10000,5,29,190.9666666666667
2,1,4,10,1,0,1000,10,1024,100,5,29,118.0
4,1,4,1000000,10,0,1000,1000,512,10000,5,29,5121.541666666667
2,1,4,10,1,0,1,10,1024,100,5,0,1.1416666666666666
4,1,2,10,10,1,1,1000,1024,10000,2,0,3.1999999999999993
2,1,4,10,10,0,1,10,512,100,5,29,1.916666666666667
2,1,2,1000000,1,1,1000,1000,512,10000,2,29,96.00833333333334
4,1,2,10,10,0,1000,1000,1024,10000,5,29,3623.8083333333329
2,1,4,1000000,10,0,1,10,1024,100,2,29,1.916666666666667
4,1,4,10,10,0,1000,10,1024,100,5,0,3626.9416666666662
4,10,2,1000000,10,1,1,10,512,100,5,0,3.4083333333333328
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,1.1249999999999998
4,1,4,1000000,1,1,1000,1000,512,10000,2,0,237.39166666666668
4,1,2,1000000,10,0,1,10,512,100,5,0,3.2666666666666662
4,1,4,10,1,0,1000,10,1024,100,5,29,248.58333333333334
4,1,2,1000000,10,1,1000,1000,512,10000,5,29,2678.8166666666666
2,10,4,10,10,0,1,10,512,100,5,0,1.916666666666667
2,10,2,1000000,1,0,1000,10,512,100,5,0,100.70833333333331
4,1,2,10,10,1,1000,10,512,100,2,0,3860.1750000000006
4,10,2,10,10,0,1000,1000,1024,10000,2,29,5019.1166666666668
4,10,4,1000000,1,1,1000,10,512,100,2,29,234.875
4,1,4,10,10,0,1,10,512,100,5,29,4.2000000000000002
2,1,2,10,1,1,1000,1000,512,10000,2,29,97.36666666666666
4,10,2,1000000,10,1,1,1000,512,10000,2,29,3.2166666666666668
4,1,4,10,1,0,1000,10,1024,100,2,0,235.64166666666668
2,1,4,1000000,1,0,1000,10,1024,100,5,29,124.00000000000001
2,10,4,10,1,0,1,10,512,100,5,0,1.1333333333333331
4,10,2,10,1,1,1,1000,512,10000,2,0,1.2583333333333331
2,10,2,1000000,1,1,1000,1000,1024,10000,2,0,107.61666666666666
2,10,4,1000000,10,1,1000,1000,512,10000,2,29,1684.375
4,1,2,10,1,1,1,1000,1024,10000,5,29,1.2666666666666664
2,1,2,1000000,10,1,1000,1000,512,10000,2,0,1466.2333333333333
4,1,2,1000000,1,1,1,10,1024,100,2,29,1.2666666666666664
4,10,4,10,1,1,1,1000,1024,10000,5,29,1.2583333333333331
4,10,2,1000000,1,1,1000,10,1024,100,2,0,191.95833333333334
2,10,4,10,10,1,1,10,1024,100,5,0,1.9666666666666666
4,1,2,1000000,1,1,1000,10,1024,100,5,29,187.14166666666668
2,10,4,10,10,0,1000,10,512,100,5,0,1704.175
2,1,4,1000000,1,0,1,1000,512,10000,5,0,1.1333333333333331
2,10,2,1000000,10,0,1000,10,1024,100,5,29,1539.7416666666668
2,10,4,1000000,10,1,1,1000,512,10000,5,0,1.9500000000000002
4,1,2,1000000,1,0,1000,10,512,100,2,0,191.02499999999998
4,10,4,10,10,0,1000,1000,512,10000,5,0,5454.6583333333338
4,10,2,10,1,1,1000,1000,1024,10000,2,0,213.99166666666665
2,1,4,10,1,1,1,10,1024,100,2,29,1.1333333333333331
2,10,2,1000000,1,1,1,1000,512,10000,5,0,1.1166666666666665
2,10,4,10,1,1,1,10,512,100,2,29,1.0999999999999999
2,10,4,10,1,1,1000,1000,1024,10000,5,0,118.39999999999999
2,10,2,10,10,0,1,1000,512,10000,5,0,1.825
2,1,2,1000000,10,0,1000,10,512,100,5,29,1528.8
2,1,2,10,1,0,1000,10,512,100,2,29,103.67500000000001
2,1,4,1000000,10,1,1000,10,1024,100,5,29,1679.9999999999998
2,10,4,10,1,0,1,1000,1024,10000,5,29,1.1583333333333332
4,10,4,1000000,1,0,1000,1000,1024,10000,2,29,239.60833333333338
4,1,2,1000000,10,1,1000,10,512,100,2,0,4161.1166666666677
4,10,2,1000000,10,1,1000,1000,512,10000,2,0,3655.8416666666653
2,1,2,10,1,1,1,10,512,100,2,0,1.1416666666666666
4,1,2,1000000,1,0,1000,10,512,100,5,0,174.89166666666665
4,1,4,10,10,0,1,10,512,100,2,29,4.3916666666666657
4,1,4,1000000,1,0,1,10,512,100,5,29,1.583333333333333
2,1,2,1000000,10,0,1,10,512,100,5,0,1.7833333333333332
4,10,2,10,1,0,1000,1000,1024,10000,5,0,192.86666666666667
2,1,4,1000000,1,1,1000,1000,512,10000,2,0,108.84166666666668
4,1,2,10,10,0,1,10,512,100,5,0,3.3749999999999996
2,1,4,1000000,1,0,1000,10,512,100,5,29,120.175
2,1,4,1000000,1,1,1000,1000,512,10000,2,29,137.40833333333333
2,10,4,10,10,0,1000,1000,512,10000,5,0,1621.9333333333334
2,10,4,1000000,1,0,1000,1000,512,10000,2,0,137.83333333333331
2,10,4,10,10,0,1,10,512,100,2,29,1.9583333333333333
2,10,4,1000000,1,0,1000,10,1024,100,5,0,118.25833333333333
2,10,2,1000000,10,0,1,1000,1024,10000,5,29,1.825
4,10,4,1000000,10,0,1,10,512,100,2,29,4.0583333333333336
4,1,4,1000000,1,0,1,10,1024,100,5,29,1.2666666666666664
2,1,2,10,1,0,1000,1000,1024,10000,5,0,101.41666666666667
2,1,4,10,1,1,1,10,512,100,5,29,1.1083333333333332
4,10,4,10,10,0,1000,10,1024,100,5,0,5010.833333333333
4,1,4,1000000,1,1,1000,1000,512,10000,5,29,229.15833333333333
2,10,2,1000000,10,0,1000,10,512,100,2,29,1528.6166666666666
2,10,2,1000000,1,0,1,10,512,100,2,29,1.1249999999999998
2,1,2,10,1,1,1000,10,512,100,2,0,109.15833333333335
4,1,4,1000000,10,0,1,1000,1024,10000,5,29,5.1833333333333336
2,1,2,1000000,1,0,1,1000,1024,10000,5,29,1.1416666666666666
4,10,2,10,10,1,1000,1000,512,10000,5,0,4355.5666666666666
4,1,2,1000000,1,1,1,1000,512,10000,5,29,3.7916666666666665
4,10,4,10,1,1,1000,10,1024,100,5,29,263.61666666666667
4,10,2,1000000,1,0,1,1000,512,10000,2,29,1.2583333333333331
4,1,2,10,10,1,1000,10,512,100,5,29,3899.5583333333338
2,10,4,1000000,10,0,1,1000,1024,10000,5,29,2.291666666666667
4,10,2,10,1,1,1000,10,1024,100,2,0,206.56666666666663
4,1,4,10,10,0,1,1000,512,10000,2,0,4.1000000000000005
2,1,2,1000000,10,1,1000,10,1024,100,2,29,1454.8833333333332
4,1,4,1000000,1,0,1,1000,1024,10000,5,0,1.2749999999999997
4,1,2,10,10,1,1,1000,512,10000,2,29,4.0333333333333341
2,1,2,10,1,0,1,10,512,100,2,0,1.1333333333333331
4,10,2,10,1,0,1,10,512,100,2,29,1.2583333333333331
4,10,2,1000000,10,0,1000,10,512,100,5,0,2748.5583333333338
4,10,4,10,1,1,1,1000,1024,10000,2,0,1.2749999999999997
2,10,4,1000000,1,0,1000,1000,512,10000,5,29,123.70833333333333
4,1,4,1000000,10,1,1,1000,512,10000,2,0,4.25
2,1,2,1000000,10,0,1,10,512,100,5,29,1.8583333333333334
4,1,2,1000000,1,1,1,10,512,100,5,0,1.2416666666666665
2,10,4,10,10,1,1000,1000,512,10000,5,0,1633.6083333333333
2,10,2,1000000,1,0,1,10,512,100,5,29,1.1083333333333332
4,1,4,10,1,0,1000,1000,1024,10000,2,0,246.86666666666667
2,10,4,1000000,10,0,1,10,1024,100,2,0,1.9416666666666671
2,10,2,1000000,10,0,1,1000,1024,10000,5,0,1.825
2,10,2,1000000,1,1,1000,1000,512,10000,5,0,102.40833333333335
2,10,4,10,10,1,1,1000,1024,10000,5,29,2.0249999999999999
4,1,4,1000000,10,1,1000,10,1024,100,2,29,5018.1583333333338
4,10,2,10,1,1,1,10,512,100,2,0,1.2666666666666664
4,10,2,1000000,1,0,1,1000,512,10000,2,0,1.2749999999999997
2,10,2,10,10,0,1000,10,512,100,5,0,1561.5333333333335
4,1,4,1000000,1,1,1000,10,512,100,2,0,238.06666666666672
2,1,4,10,1,1,1000,1000,512,10000,5,0,120.875
4,10,2,10,10,0,1,10,512,100,5,0,3.2416666666666658
2,10,4,10,10,1,1000,10,512,100,2,0,1847.4083333333335
4,10,2,10,10,1,1000,1000,1024,10000,2,0,4550.7249999999995
2,10,4,10,10,0,1,10,1024,100,2,0,1.925
4,10,4,1000000,10,0,1000,10,512,100,2,0,5826.4166666666679
2,1,4,1000000,10,1,1,10,1024,100,2,29,2.3083333333333336
2,10,2,10,10,1,1000,10,1024,100,5,29,1464.6666666666667
4,1,4,10,1,1,1,10,512,100,5,29,1.2666666666666664
4,10,2,10,1,1,1000,10,512,100,2,0,164.73333333333335
4,1,2,1000000,10,0,1000,10,1024,100,2,29,4170.3249999999998
2,1,4,1000000,1,0,1,10,1024,100,5,29,1.1333333333333331
2,1,4,10,1,0,1,1000,1024,10000,2,29,1.1249999999999998
2,10,2,1000000,1,0,1,10,1024,100,2,0,1.1333333333333331
2,1,4,1000000,1,0,1,1000,1024,10000,2,29,1.1083333333333332
