SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.374919406834
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.139587362992
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.280464216634
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.158607350097
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.279819471309
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.332043842682
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.22114764668
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.075112830432
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.223726627982
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.24081237911
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.339780786589
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.426176660219
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.322372662798
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.041586073501
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.11057382334
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.323339780787
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.373629916183
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.434880722115
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.320116054159
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.416183107672
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.152159896841
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.363313990974
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0396518375242
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.105093488072
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.103803997421
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.194068343005
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.186331399097
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.338168923275
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.065441650548
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.071889103804
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.339136041264
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.191489361702
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.155705996132
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.50805931657
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.109606705351
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.661508704062
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.342037395229
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.23275306254
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.150548033527
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.230818826564
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.22469374597
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0441650548034
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.218246292714
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0999355254674
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.17279174726
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.128949065119
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.205673758865
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.316569954868
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0586718246293
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.161508704062
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.292069632495
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.258220502901
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.203417150226
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.146679561573
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.20051579626
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.436492585429
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.169890393295
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.152159896841
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.135396518375
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.146034816248
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.236299161831
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.203417150226
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.141843971631
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.29497098646
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.219535783366
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.239200515796
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.30528691167
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.101547388781
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0528691166989
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.151515151515
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0406189555126
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.216312056738
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.247259832366
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.304642166344
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.13249516441
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.307221147647
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.232430689877
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.292714377821
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.067053513862
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.331399097357
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.330431979368
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.236299161831
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.221792392005
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.217601547389
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.174081237911
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.165377176015
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.234364925854
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.206963249516
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.173758865248
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.248549323017
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.383301096067
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.253707285622
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0332043842682
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.220825274017
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.234042553191
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.314635718891
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.400709219858
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.47582205029
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.15892972276
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.0
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.264667956157
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.111863313991
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.264345583495
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.318504190845
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.0680206318504
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.284977433914
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.221792392005
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.170212765957
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.219858156028
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.336557059961
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.446163765313
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.236943907157
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.306254029658
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.134429400387
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.455190199871
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.422308188266
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.183107672469
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.309477756286
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.10025789813
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.223404255319
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.28110896196
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.261444229529
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.283687943262
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.148291424887
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.183752417795
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.0899419729207
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.25112830432
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.0744680851064
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.276595744681
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.149903288201
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.114119922631
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.394261766602
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.404255319149
