SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.509803921569
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.188725490196
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.303921568627
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.416666666667
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.355392156863
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.348039215686
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.612745098039
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.664215686275
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.546568627451
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.308823529412
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.490196078431
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.259803921569
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.115196078431
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.279411764706
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.335784313725
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.360294117647
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.583333333333
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.625
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.313725490196
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.416666666667
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.468137254902
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.348039215686
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.360294117647
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.683823529412
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.164215686275
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.416666666667
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.365196078431
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.575980392157
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.330882352941
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0588235294118
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.588235294118
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.335784313725
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.362745098039
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.438725490196
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.348039215686
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.421568627451
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.142156862745
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.666666666667
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.642156862745
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.470588235294
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.352941176471
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.122549019608
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.203431372549
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.651960784314
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.416666666667
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.34068627451
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.115196078431
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.338235294118
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.605392156863
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.382352941176
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.473039215686
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.497549019608
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.117647058824
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.367647058824
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.507352941176
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.19362745098
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.436274509804
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.237745098039
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.514705882353
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.147058823529
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.830882352941
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.156862745098
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.313725490196
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.620098039216
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.571078431373
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.259803921569
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.754901960784
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.578431372549
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.31862745098
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.166666666667
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.651960784314
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.634803921569
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.321078431373
