SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,20.117
0,0,0,0,1,0,1,0,0,1,0,0,0,1,19.358
0,1,0,1,0,1,0,1,0,0,1,0,1,1,19.345
1,1,0,0,0,1,0,0,1,1,0,1,0,1,20.308
1,0,0,1,1,1,0,1,1,1,0,0,1,1,19.138
1,1,1,1,0,0,1,0,1,1,1,0,1,0,19.432
0,1,1,1,1,1,1,0,0,1,0,1,1,0,20.19
1,0,1,0,1,0,0,1,1,1,0,0,0,1,19.587
1,0,1,1,1,0,1,0,1,1,1,1,1,0,20.278
1,0,0,1,1,1,0,1,1,0,1,1,0,0,20.249
0,1,0,1,0,1,1,0,0,1,0,1,0,0,20.027
0,0,0,1,0,1,0,1,0,1,1,1,0,0,19.993
0,1,0,0,1,1,0,0,1,0,1,0,1,0,18.978
0,1,1,1,1,0,0,1,0,1,0,0,1,0,19.104
1,1,0,1,1,0,0,1,1,0,1,0,0,0,19.341
0,0,1,0,1,1,0,1,1,1,0,0,0,0,19.336
1,0,0,0,1,0,0,1,1,0,0,1,0,1,19.918
1,1,0,0,0,0,0,1,0,0,1,1,1,1,20.292
1,1,0,1,0,0,1,0,0,1,0,1,0,0,20.093
0,0,0,0,0,1,0,1,1,0,0,1,0,1,20.127
0,1,1,1,1,0,0,0,0,1,0,0,1,1,19.442
1,0,0,0,1,1,0,0,1,1,1,0,0,0,19.187
0,1,1,1,0,0,0,0,0,0,1,0,1,1,19.027
1,1,1,1,1,0,0,1,0,1,1,0,1,0,19.194
1,1,0,1,0,0,0,0,1,1,0,0,1,1,19.23
0,0,1,0,0,0,1,0,1,1,0,1,0,0,20.164
0,1,1,0,1,1,0,1,1,0,0,1,1,0,20.356
1,0,0,1,1,0,1,1,0,0,0,1,1,0,20.009
1,1,1,0,0,0,1,0,1,0,0,0,0,1,19.881
0,0,0,0,1,0,0,0,1,0,1,0,1,0,19.269
0,0,0,0,1,0,0,0,0,1,1,1,1,0,20.132
1,0,1,1,1,1,0,1,0,0,0,1,0,0,20.768
