SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.13
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.00266852712764
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.00259026560244
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0037603708451
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.0027372445644
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.00707598716893
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0110434647332
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.00285368244336
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.00362484478926
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.00255018043099
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.0127165434366
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.00336906321909
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.00398179369689
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0360709278476
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0547534809677
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.728451595724
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.687125692782
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.729816400371
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.688251895217
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.205130138418
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.132556889925
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.121084895621
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.106262926275
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.280566613442
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.126983142277
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.114890782224
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.111407189944
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.11406044653
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.105117635662
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0753400797313
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0836720689389
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.0842447142452
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.116990481681
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.0891599197915
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.0966711173932
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0627514270798
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.0961748247944
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.0664736215712
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.0668458410203
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0430657902648
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0485211912168
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.0649083910671
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0530546332255
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.0508976692382
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0741470686764
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0368898106357
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0417553869221
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.0609762266301
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0461160809301
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0445699386029
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0485021030399
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.0652615223394
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.0760845186296
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0680293079868
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0749774043706
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0867261772394
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.0992671094487
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0699476697631
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0628182356989
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0585711163434
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.0679720434561
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0521479448237
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.0633145282977
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0751014775203
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.101090030341
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.0790527301342
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.0608616975688
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0514321381908
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.0446844676642
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0425227316326
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.0405747831822
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0367332875853
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0400250436881
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0369766618405
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.049265630115
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.0889022294036
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.726657307097
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.517374535799
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.807333486675
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.928323895821
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.843830080867
1,1,1,0,1,0,1,1,1,1,0,1,0,0,1.0
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.771333185082
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.140888879133
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.0949818137395
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.162601680332
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.109259770045
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.112628833264
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.116026528748
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.0860294587834
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.0851895790007
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.0862298846406
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.0502582153127
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0568818126896
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0436918824665
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.039279650381
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0439686610312
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.0440831900925
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.0351422880425
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.0358657299462
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.029849136594
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.0344637033545
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.047700399611
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.037781228496
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.0411254770851
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.0363887459927
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.0566241223018
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0392605622041
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.0460588163994
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.020089351756
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.0270049982391
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.031463996358
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.0276024581754
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.0474617974
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.0289978039053
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.0366683877839
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.0355192795359
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.0393579119062
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.0518329899052
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.0629041324949
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.0897039328325
