topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,1,4,10,10,0,1000,10,512,100,5,29,986.16666666666663
4,10,2,10,10,1,1,10,512,100,5,0,1163.5
2,10,2,1000000,1,1,1000,10,512,100,2,29,4706.25
4,1,4,10,10,0,1000,10,1024,100,2,29,886.25
2,10,4,10,1,1,1,10,512,100,5,0,774.25
4,10,4,10,10,0,1,1000,1024,10000,5,0,968.0
4,1,4,1000000,10,0,1000,10,1024,100,2,29,891.58333333333337
4,10,2,10,10,0,1000,10,1024,100,2,29,743.16666666666663
4,10,2,10,1,0,1000,10,1024,100,2,29,2430.8333333333335
4,1,2,10,10,0,1000,10,512,100,5,29,825.83333333333337
2,10,4,10,1,0,1,10,512,100,2,29,797.33333333333337
4,1,2,10,10,1,1,10,512,100,2,0,1245.0833333333333
2,1,4,1000000,1,0,1,1000,512,10000,5,0,789.58333333333337
2,1,2,10,10,1,1,1000,1024,10000,5,29,2500.3333333333335
2,1,2,1000000,1,1,1000,10,1024,100,2,29,4510.25
4,10,4,1000000,1,0,1,1000,512,10000,2,29,524.58333333333337
2,1,4,1000000,1,0,1000,10,512,100,2,0,3490.9166666666665
4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,901.0
4,1,4,10,10,1,1000,1000,1024,10000,2,0,942.75
4,10,4,1000000,1,0,1,1000,512,10000,2,0,491.41666666666669
2,1,4,1000000,10,1,1,1000,512,10000,5,0,2354.0833333333335
2,1,4,1000000,1,1,1,10,1024,100,5,0,761.16666666666663
2,1,2,1000000,10,1,1,1000,512,10000,5,0,2482.75
4,1,4,10,1,1,1,1000,1024,10000,2,0,529.5
2,10,4,1000000,10,0,1000,10,1024,100,5,29,1507.4166666666667
2,10,4,1000000,10,0,1,10,1024,100,5,29,2544.9166666666665
4,10,2,1000000,10,1,1,10,1024,100,2,0,1193.9166666666667
2,1,4,1000000,1,1,1000,10,1024,100,5,29,3666.6666666666665
4,1,4,10,10,1,1,10,512,100,5,29,1162.5
4,1,4,10,10,1,1,10,1024,100,2,0,1136.75
2,1,4,10,1,1,1000,10,1024,100,5,0,3602.0833333333335
2,1,4,10,10,1,1,1000,1024,10000,2,29,2362.75
4,10,4,1000000,10,1,1,1000,512,10000,2,0,1135.5833333333333
4,1,2,1000000,1,0,1,10,512,100,2,29,536.0
4,1,4,10,10,1,1,1000,1024,10000,2,0,1144.25
2,10,4,1000000,1,0,1000,1000,512,10000,5,29,3656.25
4,1,2,1000000,10,1,1,1000,1024,10000,5,29,1242.1666666666667
4,10,2,1000000,10,1,1,1000,512,10000,5,0,1277.5833333333333
2,1,4,1000000,10,1,1000,10,1024,100,5,0,1469.5
2,1,4,1000000,1,1,1000,10,512,100,5,29,3787.3333333333335
4,10,2,1000000,10,0,1000,10,512,100,5,0,624.25
2,10,4,10,10,0,1,1000,1024,10000,2,29,2428.5833333333335
4,10,2,10,1,0,1,1000,1024,10000,5,29,469.91666666666669
2,10,4,1000000,10,1,1,1000,512,10000,2,0,2411.5833333333335
2,10,4,10,1,1,1,10,1024,100,2,29,781.0
4,1,2,1000000,1,0,1000,10,512,100,2,0,2633.8333333333335
4,10,4,1000000,1,0,1000,1000,512,10000,2,29,2193.4166666666665
2,10,4,1000000,10,1,1000,1000,512,10000,2,29,1662.9166666666667
4,1,4,1000000,10,1,1,10,512,100,2,29,938.0
2,10,4,1000000,10,1,1000,1000,512,10000,2,0,1656.0833333333333
2,1,2,1000000,1,0,1000,1000,512,10000,5,0,4045.3333333333335
4,10,2,1000000,1,0,1,10,512,100,5,29,522.58333333333337
4,1,2,1000000,1,0,1,1000,1024,10000,2,29,532.75
4,1,4,1000000,1,0,1,10,512,100,5,0,544.58333333333337
2,1,4,1000000,1,0,1,1000,1024,10000,2,0,787.0
2,10,4,1000000,10,0,1,10,512,100,2,29,2459.6666666666665
4,1,2,1000000,10,1,1,10,512,100,2,29,1190.3333333333333
4,1,4,1000000,1,1,1,1000,512,10000,2,29,519.08333333333337
2,10,4,10,1,0,1000,1000,512,10000,5,29,3620.0833333333335
4,1,4,1000000,10,1,1,1000,1024,10000,2,0,1165.8333333333333
4,1,2,10,1,0,1,1000,512,10000,5,0,480.66666666666669
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,1185.3333333333333
2,10,2,1000000,1,1,1000,10,512,100,5,0,4595.666666666667
4,10,4,10,1,0,1000,10,512,100,2,0,2446.6666666666665
4,10,4,1000000,10,1,1,10,1024,100,2,29,1273.4166666666667
4,10,2,10,10,1,1000,10,1024,100,2,0,515.66666666666663
2,1,4,10,10,1,1000,10,1024,100,5,0,1467.8333333333333
2,10,4,10,10,1,1000,10,512,100,2,0,1181.5
2,1,4,10,1,1,1,1000,1024,10000,5,0,775.91666666666663
2,1,2,10,1,1,1,10,1024,100,5,29,769.66666666666663
2,1,4,10,10,1,1,1000,512,10000,2,0,2339.8333333333335
2,10,4,10,1,1,1000,1000,512,10000,2,29,3580.4166666666665
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,2265.3333333333335
2,10,2,10,10,1,1,10,512,100,2,29,2532.25
2,1,4,1000000,10,1,1000,10,1024,100,2,0,1186.3333333333333
2,1,4,10,10,0,1000,10,1024,100,5,29,1673.5
2,1,2,10,1,1,1000,1000,512,10000,2,29,4464.166666666667
4,10,4,10,1,1,1000,10,512,100,2,0,1983.25
4,1,4,1000000,10,0,1,10,1024,100,5,0,1171.3333333333333
2,1,2,10,10,0,1,1000,1024,10000,2,0,2533.75
2,10,2,10,1,0,1,10,512,100,5,29,783.5
4,10,2,1000000,10,1,1000,1000,512,10000,2,29,788.25
4,10,2,10,10,1,1000,10,1024,100,5,29,720.75
2,10,2,1000000,10,0,1000,1000,1024,10000,5,29,821.58333333333337
4,10,4,1000000,10,0,1000,1000,1024,10000,5,0,909.0
2,1,4,1000000,10,1,1,10,1024,100,2,29,2493.1666666666665
4,10,2,1000000,1,0,1,10,1024,100,5,0,541.0
4,10,2,10,10,1,1000,1000,512,10000,2,29,733.75
