SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.164285714286
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.133928571429
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.310714285714
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.075
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.075
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.133928571429
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.132142857143
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0928571428571
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.0839285714286
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.114285714286
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.196428571429
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.103571428571
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0821428571429
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.110714285714
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.330357142857
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0857142857143
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.0678571428571
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.110714285714
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.0946428571429
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.251785714286
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.0785714285714
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0875
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.1125
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.110714285714
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.0928571428571
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.0767857142857
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.0803571428571
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.0517857142857
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.075
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0714285714286
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.110714285714
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.114285714286
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.176785714286
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.0732142857143
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0678571428571
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.0535714285714
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.144642857143
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.146428571429
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.175
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0464285714286
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.0589285714286
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0625
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.075
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.1
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.075
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.158928571429
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.198214285714
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.144642857143
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0875
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.105357142857
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.0767857142857
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.114285714286
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0982142857143
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0678571428571
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0375
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.0660714285714
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.182142857143
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0982142857143
