SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.0668730650155
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0562435500516
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0293085655315
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.104747162023
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.116511867905
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0551083591331
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.0783281733746
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0366357069143
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.0567595459236
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.0882352941176
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.0450980392157
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.0712074303406
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0885448916409
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0236326109391
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.144478844169
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0546955624355
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.0920536635707
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.068524251806
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.0946336429309
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.0659442724458
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.009391124871
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0461300309598
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0359133126935
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0321981424149
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.0490196078431
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.0575851393189
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.109184726522
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.106398348813
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0608875128999
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0795665634675
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.119401444788
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.123735810114
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.0578947368421
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.0921568627451
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.135397316821
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.122084623323
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.0358101135191
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.0699690402477
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.112280701754
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0691434468524
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.0163054695562
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.068524251806
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.118472652219
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0625386996904
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.021568627451
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0303405572755
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.134468524252
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0414860681115
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0222910216718
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0406604747162
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.090092879257
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.0991744066047
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.108978328173
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0412796697626
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0278637770898
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.0930856553148
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0763673890609
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0231166150671
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0705882352941
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.0877192982456
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0892672858617
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.0701754385965
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0739938080495
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.085036119711
