SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.242973977695
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.257100371747
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0911524163569
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.241933085502
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.428252788104
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.292788104089
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.434944237918
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.318066914498
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.422304832714
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.370706319703
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.380074349442
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.314349442379
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.274498141264
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.124312267658
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.406988847584
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.433903345725
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.348550185874
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.0487732342007
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.36282527881
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.35375464684
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.265724907063
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.437026022305
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.323568773234
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.371003717472
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.414572490706
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.414275092937
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.140223048327
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.17531598513
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.242527881041
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0242379182156
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.143940520446
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.18780669145
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.423048327138
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.160594795539
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.399405204461
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.185576208178
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.245799256506
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.378587360595
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.436579925651
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.361040892193
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.229144981413
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.177100371747
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.471078066914
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0947211895911
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.444014869888
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.303940520446
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.0242379182156
