spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_feature11_2_7_4435
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228855721393
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995024875622
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000995024875622
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00199004975124
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.997014925373
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.00995024875622
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.997014925373
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0129353233831
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.00597014925373
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0129353233831
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00597014925373
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0606965174129
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.998009950249
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0686567164179
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0606965174129
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0696517412935
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0626865671642
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0716417910448
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0616915422886
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0676616915423
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0398009950249
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.798009950249
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0278606965174
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.995024875622
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0636815920398
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.802985074627
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0278606965174
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.995024875622
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0388059701493
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.995024875622
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0149253731343
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.996019900498
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0398009950249
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.995024875622
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0139303482587
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.995024875622
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0308457711443
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.995024875622
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0119402985075
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.995024875622
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0308457711443
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.0119402985075
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.995024875622
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0308457711443
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0119402985075
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0.996019900498
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.0308457711443
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.995024875622
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0109452736318
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.996019900498
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.122388059701
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.996019900498
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.108457711443
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0995024875622
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0636815920398
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.00696517412935
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.044776119403
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.00298507462687
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.999004975124
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0139303482587
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.999004975124
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0139303482587
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.999004975124
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0149253731343
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.999004975124
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00696517412935
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.999004975124
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0318407960199
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0.999004975124
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0358208955224
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.999004975124
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.00398009950249
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.999004975124
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0129353233831
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.8407960199
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.0626865671642
1,1,0,1,1,0,1,0,0,0,0,0,0,0,0.999004975124
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0109452736318
1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.999004975124
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.00995024875622
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0.575124378109
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0169154228856
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.997014925373
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0407960199005
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0189054726368
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.997014925373
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.0258706467662
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0089552238806
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.997014925373
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.01592039801
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.996019900498
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0248756218905
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.995024875622
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.0189054726368
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.996019900498
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0507462686567
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.0338308457711
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0587064676617
1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.0298507462687
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.044776119403
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.01592039801
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.0089552238806
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0208955223881
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0228855721393
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00199004975124
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.00199004975124
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.997014925373
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0089552238806
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.997014925373
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0129353233831
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.999004975124
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00597014925373
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.999004975124
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0139303482587
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.999004975124
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.00597014925373
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.999004975124
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0606965174129
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0686567164179
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0567164179104
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0676616915423
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0626865671642
1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0706467661692
1,1,0,1,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.0606965174129
1,0,1,1,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.0666666666667
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0.999004975124
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0398009950249
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.797014925373
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0268656716418
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.995024875622
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0636815920398
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.799004975124
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.0278606965174
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0.997014925373
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.0398009950249
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.995024875622
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.0149253731343
1,1,0,1,0,1,0,1,0,0,0,0,0,0,0.995024875622
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.0388059701493
1,0,1,1,0,1,0,1,0,0,0,0,0,0,0.995024875622
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.0139303482587
1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.996019900498
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0308457711443
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.996019900498
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.0119402985075
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0.996019900498
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.0308457711443
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0.996019900498
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0.0119402985075
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.997014925373
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.0308457711443
1,0,0,1,1,1,0,1,0,0,0,0,0,0,0.996019900498
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0119402985075
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.995024875622
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.0298507462687
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0.996019900498
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0.0119402985075
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.995024875622
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.121393034826
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.996019900498
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.109452736318
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0975124378109
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0626865671642
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0.00796019900498
1,1,1,0,0,0,1,1,0,0,0,0,0,0,0.044776119403
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.00398009950249
1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.999004975124
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.0149253731343
1,1,0,1,0,0,1,1,0,0,0,0,0,0,0.999004975124
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.0139303482587
1,0,1,1,0,0,1,1,0,0,0,0,0,0,0.998009950249
0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.0149253731343
1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.999004975124
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.00696517412935
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.999004975124
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.0308457711443
1,1,0,0,1,0,1,1,0,0,0,0,0,0,0.999004975124
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.0348258706468
1,0,1,0,1,0,1,1,0,0,0,0,0,0,0.999004975124
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.00398009950249
1,1,1,0,1,0,1,1,0,0,0,0,0,0,0.998009950249
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0109452736318
1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.779104477612
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0.0776119402985
1,1,0,1,1,0,1,1,0,0,0,0,0,0,0.998009950249
0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.0119402985075
1,0,1,1,1,0,1,1,0,0,0,0,0,0,0.997014925373
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0.00995024875622
1,1,1,1,1,0,1,1,0,0,0,0,0,0,0.576119402985
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0169154228856
1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.997014925373
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.0417910447761
1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.0189054726368
1,0,1,0,0,1,1,1,0,0,0,0,0,0,0.997014925373
0,1,1,0,0,1,1,1,0,0,0,0,0,0,0.0268656716418
1,1,1,0,0,1,1,1,0,0,0,0,0,0,0.996019900498
0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.0119402985075
1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.997014925373
0,1,0,1,0,1,1,1,0,0,0,0,0,0,0.01592039801
1,1,0,1,0,1,1,1,0,0,0,0,0,0,0.996019900498
0,0,1,1,0,1,1,1,0,0,0,0,0,0,0.0238805970149
1,0,1,1,0,1,1,1,0,0,0,0,0,0,0.995024875622
0,1,1,1,0,1,1,1,0,0,0,0,0,0,0.0189054726368
1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.997014925373
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0497512437811
1,0,0,0,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.0338308457711
1,1,0,0,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,0,1,0,1,1,1,1,0,0,0,0,0,0,0.0597014925373
1,0,1,0,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0.0308457711443
1,1,1,0,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0427860696517
1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.0169154228856
1,1,0,1,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0089552238806
1,0,1,1,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0.0199004975124
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.997014925373
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0218905472637
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.995024875622
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.00199004975124
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.997014925373
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00199004975124
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.997014925373
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0089552238806
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.997014925373
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0139303482587
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.999004975124
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.00597014925373
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.999004975124
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0129353233831
1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.999004975124
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.00398009950249
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.999004975124
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0606965174129
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.999004975124
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0706467661692
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0.999004975124
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.0597014925373
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0.999004975124
