SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,13.641
0,0,0,0,1,0,1,0,0,1,0,0,0,1,10.699
0,1,0,1,0,1,0,1,0,0,1,0,1,1,11.015
1,1,0,0,0,1,0,0,1,1,0,1,0,1,14.017
1,0,0,1,1,1,0,1,1,1,0,0,1,1,10.962
1,1,1,1,0,0,1,0,1,1,1,0,1,0,10.709
0,1,1,1,1,1,1,0,0,1,0,1,1,0,13.609
1,0,1,0,1,0,0,1,1,1,0,0,0,1,10.773
1,0,1,1,1,0,1,0,1,1,1,1,1,0,13.654
1,0,0,1,1,1,0,1,1,0,1,1,0,0,14.148
0,1,0,1,0,1,1,0,0,1,0,1,0,0,13.763
0,0,0,1,0,1,0,1,0,1,1,1,0,0,13.581
0,1,0,0,1,1,0,0,1,0,1,0,1,0,10.776
0,1,1,1,1,0,0,1,0,1,0,0,1,0,10.614
1,1,0,1,1,0,0,1,1,0,1,0,0,0,10.649
0,0,1,0,1,1,0,1,1,1,0,0,0,0,10.826
1,0,0,0,1,0,0,1,1,0,0,1,0,1,13.805
1,1,0,0,0,0,0,1,0,0,1,1,1,1,13.664
1,1,0,1,0,0,1,0,0,1,0,1,0,0,14.517
0,0,0,0,0,1,0,1,1,0,0,1,0,1,14.542
0,1,1,1,1,0,0,0,0,1,0,0,1,1,10.542
1,0,0,0,1,1,0,0,1,1,1,0,0,0,10.687
0,1,1,1,0,0,0,0,0,0,1,0,1,1,10.812
1,1,1,1,1,0,0,1,0,1,1,0,1,0,10.538
1,1,0,1,0,0,0,0,1,1,0,0,1,1,10.698
0,0,1,0,0,0,1,0,1,1,0,1,0,0,13.745
0,1,1,0,1,1,0,1,1,0,0,1,1,0,13.578
1,0,0,1,1,0,1,1,0,0,0,1,1,0,13.642
1,1,1,0,0,0,1,0,1,0,0,0,0,1,11.116
0,0,0,0,1,0,0,0,1,0,1,0,1,0,10.654
0,0,0,0,1,0,0,0,0,1,1,1,1,0,14.149
1,0,1,1,1,1,0,1,0,0,0,1,0,0,13.77
0,1,0,1,0,0,0,0,1,0,0,0,0,1,10.99
0,1,0,1,0,0,0,0,0,0,1,1,0,1,13.812
1,1,0,1,1,1,0,1,0,0,0,0,0,0,10.641
0,1,1,0,0,0,1,0,0,1,1,1,0,0,14.114
0,1,1,0,0,0,0,1,0,1,1,0,0,1,10.828
1,1,1,0,1,1,0,0,1,0,1,1,1,1,13.577
0,0,0,0,1,0,1,0,1,0,1,0,1,0,10.462
0,0,0,1,1,1,0,0,0,0,0,1,1,1,13.474
1,0,0,0,1,0,1,1,0,0,1,0,1,0,11.122
1,0,0,1,0,1,0,1,1,0,0,0,1,0,10.504
0,1,1,0,0,0,1,1,1,1,1,1,0,0,14.078
1,0,1,1,0,0,0,0,1,1,1,0,1,0,10.589
0,0,0,1,1,0,0,1,0,1,1,0,1,1,10.624
1,1,1,1,1,0,0,1,1,1,0,0,1,0,10.54
1,0,1,0,0,1,1,1,1,0,1,1,0,1,13.724
0,1,0,1,1,1,0,0,1,1,0,0,1,0,10.522
0,1,1,1,1,1,1,0,1,1,1,0,1,0,10.678
0,1,0,1,0,0,1,1,1,1,1,0,0,0,10.555
1,0,1,1,1,0,1,0,1,1,0,1,1,0,13.671
1,0,0,1,1,1,1,0,0,0,1,1,1,0,13.569
1,0,0,1,0,0,1,1,0,0,0,0,0,1,10.784
1,1,1,0,0,1,0,0,1,0,1,0,1,1,10.687
0,0,1,1,0,1,0,1,1,1,0,0,0,0,10.832
1,0,0,0,1,1,0,1,0,1,1,1,1,0,14.058
1,1,1,0,0,0,0,1,0,0,0,0,0,1,10.658
0,0,1,0,1,1,1,0,0,0,1,0,0,0,10.643
1,1,1,0,0,0,0,0,0,1,1,0,0,0,11.307
0,0,0,0,0,1,1,1,1,0,0,1,1,0,13.629
0,0,1,1,1,0,1,1,0,0,1,0,0,0,10.79
0,1,0,0,0,1,1,1,1,1,0,1,1,0,13.741
0,0,0,1,0,0,0,0,0,1,1,0,0,1,10.684
1,0,0,0,1,1,0,1,0,1,1,1,0,0,13.781
0,0,1,1,0,0,1,1,0,1,1,1,1,0,13.889
0,1,1,1,1,0,1,0,0,0,1,0,1,0,10.803
0,0,0,1,0,0,0,0,0,1,0,1,1,0,13.598
0,1,0,1,0,0,1,0,0,1,1,0,1,1,10.727
0,0,1,1,1,0,1,0,1,1,1,0,1,0,10.827
0,0,0,1,1,0,1,0,1,1,0,0,1,0,10.728
0,0,1,0,0,0,0,0,1,0,1,0,1,1,10.566
0,0,1,0,1,0,1,0,0,0,0,0,0,1,10.646
0,1,1,1,1,1,1,0,1,1,0,1,1,1,13.629
1,1,0,1,0,0,0,1,0,1,0,1,0,0,13.979
1,0,1,1,0,0,0,1,1,1,1,0,0,0,11.158
1,1,0,0,1,1,1,0,0,0,0,1,1,0,13.937
1,0,0,1,1,1,1,0,1,1,1,1,0,1,13.77
0,0,0,0,0,1,0,1,0,0,0,0,0,1,10.625
1,1,1,1,1,1,1,1,1,1,1,0,0,1,10.778
0,0,1,1,0,0,1,1,0,0,1,1,0,0,13.668
1,1,1,0,1,0,1,1,1,1,0,1,0,0,13.869
0,0,0,1,1,0,0,0,0,1,1,0,1,0,10.63
1,1,0,0,1,0,0,0,1,0,0,1,1,0,13.541
0,1,0,1,1,0,0,0,0,0,0,1,1,0,13.556
1,0,0,1,0,1,0,0,1,1,1,1,1,0,13.982
1,1,1,1,1,1,0,0,1,1,1,0,0,0,10.844
1,0,1,0,1,1,0,0,1,1,1,1,0,1,13.949
0,0,1,1,0,1,0,1,0,0,1,1,0,1,13.629
0,1,0,1,0,0,1,1,1,1,1,0,1,1,10.59
1,0,0,1,1,1,1,0,1,0,0,1,1,0,13.746
1,0,0,1,1,0,1,0,1,1,0,1,1,0,13.869
0,0,1,1,0,0,0,0,1,1,0,0,1,0,10.587
0,0,0,0,1,1,1,1,1,0,1,0,1,0,10.605
1,0,0,1,1,1,1,1,1,0,1,0,0,1,10.795
1,1,0,0,0,1,0,0,1,0,0,1,0,0,13.912
1,0,1,1,0,0,0,0,0,0,1,1,0,0,13.966
1,0,1,0,1,0,0,0,1,0,0,1,0,0,13.831
0,1,1,1,1,1,0,1,1,0,0,0,0,0,10.736
0,1,0,0,0,1,0,0,1,0,1,1,0,0,13.577
1,0,0,0,1,1,0,0,0,1,1,0,0,1,10.765
1,1,0,1,1,0,0,1,1,0,0,1,0,0,13.861
1,0,1,1,0,1,0,1,1,1,1,0,1,1,10.614
0,1,1,0,1,1,1,0,0,1,1,0,0,1,10.692
1,1,0,1,0,0,1,1,0,0,1,1,1,0,13.904
0,1,0,1,1,0,1,1,0,1,1,0,1,0,10.784
1,0,0,1,1,0,1,1,0,1,0,1,0,1,13.982
1,1,1,0,1,0,0,0,1,0,0,0,0,1,10.995
0,0,1,1,0,0,1,0,0,1,0,1,0,1,13.581
0,1,1,0,0,0,1,1,0,0,1,0,0,1,10.714
0,1,1,1,1,1,0,0,0,1,1,1,0,1,13.721
1,0,1,0,0,0,1,0,1,0,0,1,0,0,14.0
0,0,1,0,0,1,1,0,1,0,0,0,1,1,10.626
1,1,1,0,0,0,0,1,0,0,1,1,1,1,13.769
0,0,0,1,0,1,1,1,1,1,0,0,0,0,10.7
0,1,1,0,0,0,0,0,1,0,1,1,1,1,13.684
0,1,0,0,0,0,0,1,0,1,1,1,1,0,13.645
0,1,1,1,1,0,1,1,1,1,1,0,0,0,10.868
0,0,0,1,1,0,0,0,0,1,1,1,0,1,13.984
1,0,1,0,0,1,0,0,0,0,0,0,1,1,10.718
1,0,1,0,1,1,0,0,1,1,0,1,0,0,13.672
0,1,1,1,0,1,0,0,0,0,0,1,0,0,13.886
1,0,1,1,0,1,0,1,0,0,0,0,1,1,10.622
0,1,1,1,1,0,0,1,1,1,1,0,0,0,10.699
0,1,0,1,1,0,1,0,0,1,1,0,1,0,10.627
0,0,1,1,1,0,0,1,1,1,1,0,1,0,10.705
1,0,1,1,1,1,1,1,0,1,1,0,1,0,10.729
0,0,1,1,1,0,1,0,0,1,1,1,0,1,13.67
1,1,0,0,0,0,1,1,1,1,1,0,1,0,10.591
0,1,1,1,0,1,0,0,0,0,1,1,1,0,13.4
1,1,1,1,0,1,1,1,1,1,1,0,1,1,10.829
1,1,1,0,0,0,1,0,0,1,1,0,1,1,10.476
1,0,0,0,0,1,1,1,1,1,0,1,1,0,13.617
1,1,0,1,1,0,1,1,0,1,0,1,1,1,13.731
1,0,1,1,1,1,0,0,1,0,1,0,0,1,10.7
0,0,1,1,0,0,1,0,0,0,1,0,1,0,10.407
1,1,0,1,0,1,0,1,0,1,0,0,0,0,10.68
1,1,1,0,0,1,1,0,1,0,0,1,0,0,13.649
1,1,0,1,0,1,1,0,1,1,0,1,0,1,13.787
1,0,1,0,1,0,1,1,0,1,0,1,1,0,13.814
1,0,1,1,0,1,0,0,1,0,1,1,0,1,14.408
1,0,0,0,1,0,0,1,0,1,1,0,1,1,10.591
1,0,0,1,0,0,0,1,1,1,1,0,0,0,11.188
1,0,1,0,0,1,1,1,1,1,1,0,0,1,10.807
1,0,0,0,0,1,0,1,0,0,0,0,1,0,10.728
0,1,1,1,1,1,0,0,1,1,0,0,1,1,10.537
1,1,1,1,1,1,0,1,0,0,0,1,1,0,13.678
1,1,1,1,0,0,1,0,1,1,0,0,1,0,10.796
0,1,0,1,0,0,1,0,1,0,0,1,0,0,13.881
0,1,0,1,1,0,1,0,1,1,1,0,0,1,10.849
0,0,1,1,0,1,0,1,1,0,0,0,0,0,10.775
0,0,1,1,0,1,0,1,0,1,0,0,1,0,10.57
0,0,0,1,1,0,0,0,0,1,1,0,1,0,10.898
0,1,1,0,1,0,0,1,0,0,0,1,1,0,14.449
0,1,1,1,0,1,0,1,0,0,1,1,1,1,14.251
1,1,0,0,1,1,1,0,0,1,1,1,1,1,14.144
1,1,1,0,0,0,0,1,1,0,0,1,1,1,13.654
1,1,1,1,1,1,0,1,1,0,0,0,1,0,10.736
1,1,0,0,0,1,0,1,1,0,1,1,1,0,13.802
0,1,0,0,0,1,0,1,1,0,0,1,0,0,13.576
1,0,1,1,1,1,0,1,1,0,0,1,1,1,13.678
1,0,0,1,1,1,0,0,1,0,1,0,1,1,10.593
0,1,0,1,1,1,0,1,1,0,0,1,1,0,13.69
1,1,1,1,1,1,1,1,1,0,0,0,1,0,10.59
0,0,1,1,1,1,0,1,1,1,1,1,1,1,13.59
0,1,1,0,0,0,0,0,0,1,0,1,1,1,13.797
1,0,1,0,0,0,1,1,1,0,0,0,0,1,10.805
1,1,0,1,0,0,0,0,0,0,0,0,1,0,10.866
0,1,1,0,1,1,1,1,1,1,0,0,1,1,10.865
1,1,1,1,1,0,1,0,1,0,0,0,1,1,10.759
1,1,1,0,0,1,0,0,0,1,1,1,0,0,13.726
0,1,1,1,1,0,1,0,0,1,1,1,1,0,14.04
1,1,1,1,1,0,1,0,1,1,0,1,1,0,13.876
1,0,0,0,1,0,1,1,1,1,0,0,0,0,10.694
0,1,0,0,0,1,0,1,1,0,0,1,1,1,13.718
0,1,0,0,1,0,0,1,1,1,0,0,1,1,10.493
0,1,1,0,0,0,0,0,1,1,0,1,0,1,13.932
1,0,0,1,1,1,0,1,0,1,1,1,1,0,14.122
0,0,1,0,1,0,0,1,1,1,1,0,1,0,11.046
0,1,1,1,1,0,0,1,1,1,1,1,1,1,13.834
1,0,0,1,1,1,0,1,0,1,1,1,0,1,13.948
0,0,0,1,0,0,1,0,0,1,1,1,1,1,13.55
1,0,0,0,1,1,1,0,0,0,0,0,0,0,10.79
1,1,0,1,0,1,1,0,1,1,0,0,0,1,10.785
1,1,1,0,1,0,1,1,0,0,1,1,0,1,13.729
0,0,1,0,0,0,0,0,1,0,0,0,0,1,10.94
1,1,0,1,1,0,1,0,1,1,1,1,1,1,13.645
0,0,1,1,1,1,0,1,0,0,0,1,0,1,13.94
0,0,1,1,1,1,1,0,1,0,0,1,0,0,13.805
0,1,1,1,0,0,0,0,0,1,1,1,1,1,14.057
0,1,1,0,1,1,0,0,1,1,1,1,0,1,13.696
1,0,0,1,1,1,1,0,0,1,0,1,0,0,14.125
0,1,0,1,1,1,1,1,1,0,0,1,1,1,13.452
1,0,1,1,0,0,0,0,0,0,1,1,1,0,13.577
1,1,0,0,0,1,0,1,0,1,1,1,0,1,13.927
0,1,0,0,0,0,0,1,1,0,0,0,0,1,11.139
0,1,1,0,1,0,1,0,0,0,0,1,1,1,13.776
1,0,1,1,0,0,0,0,1,1,1,0,0,0,10.776
1,1,1,0,1,1,0,1,1,0,0,1,0,1,14.188
0,1,1,1,1,1,1,0,0,1,0,0,0,0,10.718
1,0,1,0,1,1,0,1,1,1,1,1,1,0,13.619
0,0,1,0,1,0,0,1,1,0,0,1,0,0,13.553
1,0,0,1,1,1,0,1,0,1,0,0,1,0,10.601
1,0,1,1,1,0,0,0,1,0,0,1,0,1,13.963
1,0,0,0,1,1,1,1,1,1,1,1,0,0,13.898
0,0,0,0,1,0,0,1,0,0,0,0,1,0,10.614
0,1,1,0,0,0,1,0,0,1,1,1,1,1,13.657
0,1,1,1,0,1,1,0,1,1,0,1,0,0,14.152
0,0,0,0,1,1,1,1,1,0,0,1,1,1,13.558
1,1,1,0,0,1,1,0,1,0,0,1,1,1,13.881
0,1,1,0,0,1,1,0,1,0,0,0,0,0,10.934
1,1,1,0,0,1,0,1,1,1,1,0,1,0,10.798
0,1,1,1,0,1,0,0,1,0,0,0,1,0,11.037
1,1,1,1,0,1,0,0,1,0,1,1,1,1,13.955
1,1,1,0,1,0,1,1,0,1,1,1,0,0,14.012
1,1,0,1,0,0,1,0,0,0,0,1,0,0,13.882
1,1,0,0,1,0,0,0,1,1,1,0,1,1,10.477
1,1,0,0,0,1,0,1,0,0,0,1,0,0,13.817
0,1,0,1,1,1,1,0,0,1,1,0,0,0,10.681
0,1,0,0,1,1,0,0,0,0,0,1,1,1,13.731
0,0,1,0,1,1,1,1,0,1,0,0,1,0,10.496
0,0,0,0,0,1,1,1,1,0,1,0,1,1,10.977
0,1,1,1,1,1,0,0,0,1,0,1,0,1,13.952
1,1,1,1,1,0,1,0,1,0,0,1,1,1,13.89
0,1,1,1,0,1,1,0,0,1,1,0,1,1,10.718
0,0,0,0,0,0,1,0,1,0,1,0,0,0,10.667
0,0,0,1,0,0,0,0,1,0,1,0,0,1,10.607
0,1,0,0,0,0,0,0,0,1,1,0,1,1,10.676
1,1,0,0,1,1,1,1,1,1,1,0,0,1,10.879
0,1,0,1,0,0,1,0,1,0,0,0,1,0,10.855
1,1,1,1,0,0,1,0,0,1,1,1,0,1,13.737
1,1,0,1,0,0,0,0,0,1,1,0,1,0,10.78
1,0,0,1,1,1,1,1,0,0,0,0,0,1,10.682
0,0,0,1,0,1,1,1,1,0,0,1,0,1,13.794
1,1,0,0,0,0,1,0,1,1,0,0,1,0,10.599
0,0,0,1,1,1,0,1,1,0,1,0,1,0,10.488
1,1,0,0,1,1,1,1,0,0,1,0,1,1,10.928
0,1,0,1,0,1,0,1,1,1,0,1,0,1,13.902
0,0,1,1,1,0,0,0,0,1,1,1,1,1,13.671
1,0,0,0,1,0,1,1,1,0,0,1,1,0,13.673
0,0,1,1,1,1,1,1,0,0,1,1,0,1,13.667
0,0,1,1,0,0,1,1,1,1,1,0,1,1,10.599
0,1,0,0,1,1,1,0,0,1,1,1,1,1,13.876
1,0,1,0,1,1,0,1,1,0,0,0,0,1,10.988
0,1,1,0,1,0,1,1,0,0,0,0,0,0,10.805
1,0,0,0,0,0,1,1,0,0,0,1,1,0,13.503
1,1,1,1,1,1,1,0,1,0,1,0,0,0,10.891
0,0,0,1,0,1,1,0,1,1,0,0,0,1,10.685
1,0,0,1,1,0,0,1,0,1,1,0,0,0,10.756
1,0,0,1,0,0,1,0,0,0,1,0,1,0,10.557
1,1,1,0,0,1,0,0,0,0,0,1,1,0,13.806
1,1,0,1,1,1,1,0,0,0,1,0,1,1,10.552
1,0,1,1,0,1,0,1,0,1,1,1,1,0,13.56
1,0,1,1,1,0,0,0,1,1,1,1,1,0,13.74
1,0,1,0,0,1,0,0,1,0,1,0,0,0,10.771
0,0,1,0,0,0,1,1,1,1,0,1,1,1,13.711
0,1,1,1,0,1,0,1,1,0,0,0,0,0,10.884
0,0,1,0,0,0,1,1,1,0,1,1,1,1,13.539
0,1,0,0,1,0,0,1,1,0,1,1,0,1,13.733
1,1,1,1,0,1,1,0,1,0,1,1,1,0,13.945
1,1,0,0,1,0,1,1,0,1,1,0,0,1,10.642
1,0,1,1,1,1,0,1,1,1,1,1,1,1,13.603
0,0,1,1,1,0,1,0,1,1,1,1,1,0,13.706
0,1,0,1,1,1,1,1,1,0,1,0,1,1,10.581
0,0,0,0,0,1,1,0,1,1,1,0,1,0,10.757
1,0,0,0,0,0,1,1,0,1,1,0,1,0,10.605
0,0,0,1,0,0,0,0,0,1,0,0,1,1,10.855
1,1,0,1,0,0,1,1,1,0,0,1,1,1,13.529
1,0,0,0,1,1,1,1,0,0,0,1,0,1,13.848
1,0,1,0,1,0,1,1,0,1,0,1,0,0,14.017
1,0,1,0,1,1,0,1,0,1,1,1,0,1,13.845
1,0,1,1,0,0,0,0,1,1,1,1,1,0,13.962
0,0,1,0,1,1,1,0,0,0,0,0,1,0,10.575
0,1,0,1,1,1,1,1,1,1,1,0,1,0,10.566
0,1,0,1,0,0,0,0,0,0,1,0,1,0,10.515
1,0,0,1,0,0,1,1,0,1,1,1,0,1,13.807
0,1,0,0,0,0,0,0,1,1,0,0,0,1,11.052
0,0,1,0,0,1,1,0,1,1,1,1,0,0,13.736
1,0,1,1,0,1,1,1,1,0,0,0,1,1,10.964
0,1,0,0,1,1,1,1,0,0,0,1,1,0,14.154
1,1,0,0,0,0,0,1,1,1,0,1,0,0,13.886
0,0,1,1,0,1,1,1,0,0,0,1,1,0,13.514
1,0,1,0,0,0,1,1,1,0,1,0,0,1,10.738
0,1,1,0,0,1,0,0,0,1,1,0,0,1,10.653
1,1,0,0,0,0,0,0,0,0,0,1,1,1,13.492
1,0,0,1,0,1,0,0,1,0,1,1,0,0,13.917
1,1,1,0,1,0,1,1,0,1,0,0,0,1,10.942
1,1,0,0,1,1,0,1,0,0,0,1,1,1,13.67
1,0,1,1,0,1,1,1,1,1,0,1,0,1,13.824
0,0,0,0,1,0,1,1,1,0,1,0,0,1,10.863
0,1,1,1,0,1,0,1,0,1,1,1,0,1,13.691
0,0,1,0,1,1,0,0,0,0,0,1,1,1,13.569
0,1,0,1,0,1,0,0,1,0,1,1,1,1,13.615
0,1,1,0,0,0,1,1,0,0,0,0,0,1,10.576
0,1,1,1,1,0,1,0,0,0,0,0,0,1,10.789
1,1,1,1,0,1,0,0,1,0,0,1,0,1,13.621
1,0,1,0,0,1,0,1,1,0,1,1,0,0,13.905
1,0,1,0,0,0,0,1,1,0,1,0,1,0,10.663
0,1,1,0,0,1,0,0,1,0,1,0,1,1,10.515
0,0,0,0,0,0,1,0,1,0,1,1,1,0,13.666
0,0,1,0,1,1,1,0,1,0,0,1,0,0,13.749
0,0,1,1,1,0,0,0,1,0,0,1,0,0,13.788
1,0,1,1,1,0,0,1,0,0,1,1,1,0,13.713
0,0,1,0,1,1,0,1,0,1,0,0,1,1,10.578
1,1,0,0,1,0,0,1,1,1,1,0,1,1,10.739
1,1,0,0,1,1,0,1,0,0,0,1,0,1,13.944
