spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_amazon_nano_2_7_10286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000970873786408
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00388349514563
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00194174757282
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.00194174757282
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.000970873786408
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00194174757282
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0135922330097
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.00388349514563
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0126213592233
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.00388349514563
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0126213592233
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.00388349514563
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0126213592233
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.00388349514563
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.970873786408
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00388349514563
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.970873786408
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.00582524271845
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.34854368932
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00388349514563
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.970873786408
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.00485436893204
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.332038834951
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.00388349514563
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.55145631068
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.00776699029126
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.425242718447
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.00194174757282
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.545631067961
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00679611650485
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.432038834951
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.00194174757282
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.00776699029126
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.00194174757282
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.00776699029126
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.00388349514563
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.00776699029126
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.00194174757282
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.00776699029126
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.970873786408
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00291262135922
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.970873786408
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00485436893204
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.970873786408
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00194174757282
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0417475728155
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.00776699029126
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.970873786408
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.00194174757282
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.970873786408
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.00291262135922
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.970873786408
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.00291262135922
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.866990291262
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.000970873786408
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.566990291262
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00776699029126
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.34854368932
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0116504854369
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0.970873786408
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.00291262135922
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.970873786408
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.00970873786408
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.970873786408
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.226213592233
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.00194174757282
1,1,0,1,1,0,1,0,0,0,0,0,0,0,0.258252427184
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.970873786408
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.00485436893204
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0.963106796117
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.00291262135922
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.970873786408
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.00776699029126
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.970873786408
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.00291262135922
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.970873786408
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.00776699029126
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0.970873786408
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.00291262135922
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.970873786408
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.00485436893204
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.970873786408
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.00388349514563
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.563106796117
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.00485436893204
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.0747572815534
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.00194174757282
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.970873786408
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.00873786407767
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0.970873786408
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.00291262135922
1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.970873786408
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.00582524271845
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0.970873786408
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.00388349514563
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.970873786408
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.00776699029126
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0.636893203883
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.00388349514563
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.970873786408
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00485436893204
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.970873786408
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.970873786408
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00485436893204
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.970873786408
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.970873786408
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.970873786408
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.00194174757282
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.970873786408
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.000970873786408
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.970873786408
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.000970873786408
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.971844660194
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.00291262135922
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.970873786408
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0116504854369
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.970873786408
