spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_feature11_2_7_4435.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.035
1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.01
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.01
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.18
1,1,1,0,0,0,0,0,0,0,0,0,0,0,5.01
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.22
1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.03
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.04
1,1,0,1,0,0,0,0,0,0,0,0,0,0,5.03
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.205
1,0,1,1,0,0,0,0,0,0,0,0,0,0,5.03
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.04
1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.03
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.065
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.02
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.225
1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.02
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.06
1,0,1,0,1,0,0,0,0,0,0,0,0,0,5.02
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.225
1,1,1,0,1,0,0,0,0,0,0,0,0,0,5.02
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.065
1,0,0,1,1,0,0,0,0,0,0,0,0,0,5.02
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.215
1,1,0,1,1,0,0,0,0,0,0,0,0,0,5.02
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.065
1,0,1,1,1,0,0,0,0,0,0,0,0,0,5.02
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.23
1,1,1,1,1,0,0,0,0,0,0,0,0,0,5.02
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.04
1,1,0,0,0,1,0,0,0,0,0,0,0,0,5.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.14
1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.04
1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.095
1,0,0,1,0,1,0,0,0,0,0,0,0,0,5.0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.04
1,1,0,1,0,1,0,0,0,0,0,0,0,0,5.0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.1
1,0,1,1,0,1,0,0,0,0,0,0,0,0,5.005
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.04
