spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_feature11_2_7_4435.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695825049702
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995029821074
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00596421471173
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.995029821074
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0188866799205
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.995029821074
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0347912524851
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.995029821074
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0427435387674
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999005964215
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.00695825049702
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.999005964215
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0397614314115
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.999005964215
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00695825049702
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.999005964215
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0119284294235
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0437375745527
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0109343936382
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0437375745527
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0119284294235
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0417495029821
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0119284294235
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.044731610338
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.997017892644
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0188866799205
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.993041749503
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.00695825049702
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.993041749503
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0268389662028
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.993041749503
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.00695825049702
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.993041749503
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0178926441352
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.993041749503
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.00695825049702
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.993041749503
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0188866799205
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.994035785288
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00695825049702
