SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,22.495
0,0,0,0,1,0,1,0,0,1,0,0,0,1,18.511
0,1,0,1,0,1,0,1,0,0,1,0,1,1,18.049
1,1,0,0,0,1,0,0,1,1,0,1,0,1,23.03
1,0,0,1,1,1,0,1,1,1,0,0,1,1,18.228
1,1,1,1,0,0,1,0,1,1,1,0,1,0,18.441
0,1,1,1,1,1,1,0,0,1,0,1,1,0,22.693
1,0,1,0,1,0,0,1,1,1,0,0,0,1,18.639
1,0,1,1,1,0,1,0,1,1,1,1,1,0,22.771
1,0,0,1,1,1,0,1,1,0,1,1,0,0,22.729
0,1,0,1,0,1,1,0,0,1,0,1,0,0,22.653
0,0,0,1,0,1,0,1,0,1,1,1,0,0,22.562
0,1,0,0,1,1,0,0,1,0,1,0,1,0,18.328
0,1,1,1,1,0,0,1,0,1,0,0,1,0,18.742
1,1,0,1,1,0,0,1,1,0,1,0,0,0,18.348
0,0,1,0,1,1,0,1,1,1,0,0,0,0,18.481
1,0,0,0,1,0,0,1,1,0,0,1,0,1,22.753
1,1,0,0,0,0,0,1,0,0,1,1,1,1,22.421
1,1,0,1,0,0,1,0,0,1,0,1,0,0,22.773
0,0,0,0,0,1,0,1,1,0,0,1,0,1,22.572
0,1,1,1,1,0,0,0,0,1,0,0,1,1,18.286
1,0,0,0,1,1,0,0,1,1,1,0,0,0,18.497
0,1,1,1,0,0,0,0,0,0,1,0,1,1,18.089
1,1,1,1,1,0,0,1,0,1,1,0,1,0,18.44
1,1,0,1,0,0,0,0,1,1,0,0,1,1,18.409
0,0,1,0,0,0,1,0,1,1,0,1,0,0,22.639
0,1,1,0,1,1,0,1,1,0,0,1,1,0,22.576
1,0,0,1,1,0,1,1,0,0,0,1,1,0,22.391
1,1,1,0,0,0,1,0,1,0,0,0,0,1,18.594
0,0,0,0,1,0,0,0,1,0,1,0,1,0,18.143
0,0,0,0,1,0,0,0,0,1,1,1,1,0,22.515
1,0,1,1,1,1,0,1,0,0,0,1,0,0,22.658
0,1,0,1,0,0,0,0,1,0,0,0,0,1,18.547
0,1,0,1,0,0,0,0,0,0,1,1,0,1,22.488
1,1,0,1,1,1,0,1,0,0,0,0,0,0,18.461
0,1,1,0,0,0,1,0,0,1,1,1,0,0,22.799
0,1,1,0,0,0,0,1,0,1,1,0,0,1,18.656
1,1,1,0,1,1,0,0,1,0,1,1,1,1,22.709
0,0,0,0,1,0,1,0,1,0,1,0,1,0,18.29
0,0,0,1,1,1,0,0,0,0,0,1,1,1,22.277
1,0,0,0,1,0,1,1,0,0,1,0,1,0,18.255
1,0,0,1,0,1,0,1,1,0,0,0,1,0,18.174
0,1,1,0,0,0,1,1,1,1,1,1,0,0,22.581
1,0,1,1,0,0,0,0,1,1,1,0,1,0,18.284
0,0,0,1,1,0,0,1,0,1,1,0,1,1,18.147
1,1,1,1,1,0,0,1,1,1,0,0,1,0,18.488
1,0,1,0,0,1,1,1,1,0,1,1,0,1,22.624
0,1,0,1,1,1,0,0,1,1,0,0,1,0,18.119
0,1,1,1,1,1,1,0,1,1,1,0,1,0,18.366
0,1,0,1,0,0,1,1,1,1,1,0,0,0,18.479
1,0,1,1,1,0,1,0,1,1,0,1,1,0,22.8
1,0,0,1,1,1,1,0,0,0,1,1,1,0,22.284
1,0,0,1,0,0,1,1,0,0,0,0,0,1,18.628
1,1,1,0,0,1,0,0,1,0,1,0,1,1,18.349
0,0,1,1,0,1,0,1,1,1,0,0,0,0,18.809
1,0,0,0,1,1,0,1,0,1,1,1,1,0,22.7
1,1,1,0,0,0,0,1,0,0,0,0,0,1,18.562
0,0,1,0,1,1,1,0,0,0,1,0,0,0,18.127
1,1,1,0,0,0,0,0,0,1,1,0,0,0,18.516
0,0,0,0,0,1,1,1,1,0,0,1,1,0,22.408
0,0,1,1,1,0,1,1,0,0,1,0,0,0,18.327
0,1,0,0,0,1,1,1,1,1,0,1,1,0,22.227
0,0,0,1,0,0,0,0,0,1,1,0,0,1,18.546
