SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,14275
0,0,0,0,1,0,1,0,0,1,0,0,0,1,15251
0,1,0,1,0,1,0,1,0,0,1,0,1,1,15029
1,1,0,0,0,1,0,0,1,1,0,1,0,1,14239
1,0,0,1,1,1,0,1,1,1,0,0,1,1,15177
1,1,1,1,0,0,1,0,1,1,1,0,1,0,15214
0,1,1,1,1,1,1,0,0,1,0,1,1,0,14307
1,0,1,0,1,0,0,1,1,1,0,0,0,1,15028
1,0,1,1,1,0,1,0,1,1,1,1,1,0,14332
1,0,0,1,1,1,0,1,1,0,1,1,0,0,13702
0,1,0,1,0,1,1,0,0,1,0,1,0,0,13899
0,0,0,1,0,1,0,1,0,1,1,1,0,0,13661
0,1,0,0,1,1,0,0,1,0,1,0,1,0,14329
0,1,1,1,1,0,0,1,0,1,0,0,1,0,14507
1,1,0,1,1,0,0,1,1,0,1,0,0,0,14287
0,0,1,0,1,1,0,1,1,1,0,0,0,0,14500
1,0,0,0,1,0,0,1,1,0,0,1,0,1,13613
1,1,0,0,0,0,0,1,0,0,1,1,1,1,13559
1,1,0,1,0,0,1,0,0,1,0,1,0,0,13628
0,0,0,0,0,1,0,1,1,0,0,1,0,1,13535
0,1,1,1,1,0,0,0,0,1,0,0,1,1,14080
1,0,0,0,1,1,0,0,1,1,1,0,0,0,14311
0,1,1,1,0,0,0,0,0,0,1,0,1,1,14048
1,1,1,1,1,0,0,1,0,1,1,0,1,0,14353
1,1,0,1,0,0,0,0,1,1,0,0,1,1,14011
0,0,1,0,0,0,1,0,1,1,0,1,0,0,13035
0,1,1,0,1,1,0,1,1,0,0,1,1,0,13316
1,0,0,1,1,0,1,1,0,0,0,1,1,0,13474
1,1,1,0,0,0,1,0,1,0,0,0,0,1,13970
0,0,0,0,1,0,0,0,1,0,1,0,1,0,14345
0,0,0,0,1,0,0,0,0,1,1,1,1,0,13491
1,0,1,1,1,1,0,1,0,0,0,1,0,0,13530
0,1,0,1,0,0,0,0,1,0,0,0,0,1,14332
0,1,0,1,0,0,0,0,0,0,1,1,0,1,13615
1,1,0,1,1,1,0,1,0,0,0,0,0,0,14282
0,1,1,0,0,0,1,0,0,1,1,1,0,0,13770
0,1,1,0,0,0,0,1,0,1,1,0,0,1,14470
1,1,1,0,1,1,0,0,1,0,1,1,1,1,13662
0,0,0,0,1,0,1,0,1,0,1,0,1,0,14530
0,0,0,1,1,1,0,0,0,0,0,1,1,1,13651
1,0,0,0,1,0,1,1,0,0,1,0,1,0,14370
1,0,0,1,0,1,0,1,1,0,0,0,1,0,14451
0,1,1,0,0,0,1,1,1,1,1,1,0,0,13732
1,0,1,1,0,0,0,0,1,1,1,0,1,0,14644
0,0,0,1,1,0,0,1,0,1,1,0,1,1,14343
1,1,1,1,1,0,0,1,1,1,0,0,1,0,14633
1,0,1,0,0,1,1,1,1,0,1,1,0,1,13852
0,1,0,1,1,1,0,0,1,1,0,0,1,0,14651
0,1,1,1,1,1,1,0,1,1,1,0,1,0,14661
0,1,0,1,0,0,1,1,1,1,1,0,0,0,14750
1,0,1,1,1,0,1,0,1,1,0,1,1,0,13849
1,0,0,1,1,1,1,0,0,0,1,1,1,0,13893
1,0,0,1,0,0,1,1,0,0,0,0,0,1,14794
1,1,1,0,0,1,0,0,1,0,1,0,1,1,14831
0,0,1,1,0,1,0,1,1,1,0,0,0,0,14783
1,0,0,0,1,1,0,1,0,1,1,1,1,0,14333
1,1,1,0,0,0,0,1,0,0,0,0,0,1,14921
0,0,1,0,1,1,1,0,0,0,1,0,0,0,14848
1,1,1,0,0,0,0,0,0,1,1,0,0,0,14928
0,0,0,0,0,1,1,1,1,0,0,1,1,0,14065
0,0,1,1,1,0,1,1,0,0,1,0,0,0,14958
0,1,0,0,0,1,1,1,1,1,0,1,1,0,14127
0,0,0,1,0,0,0,0,0,1,1,0,0,1,15012
1,0,0,0,1,1,0,1,0,1,1,1,0,0,14087
0,0,1,1,0,0,1,1,0,1,1,1,1,0,14840
0,1,1,1,1,0,1,0,0,0,1,0,1,0,16055
0,0,0,1,0,0,0,0,0,1,0,1,1,0,14855
0,1,0,1,0,0,1,0,0,1,1,0,1,1,16027
0,0,1,1,1,0,1,0,1,1,1,0,1,0,16293
0,0,0,1,1,0,1,0,1,1,0,0,1,0,15903
0,0,1,0,0,0,0,0,1,0,1,0,1,1,15862
0,0,1,0,1,0,1,0,0,0,0,0,0,1,16190
