SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,380.91
0,0,0,0,1,0,1,0,0,1,0,0,0,1,368.13
0,1,0,1,0,1,0,1,0,0,1,0,1,1,371.25
1,1,0,0,0,1,0,0,1,1,0,1,0,1,384.76
1,0,0,1,1,1,0,1,1,1,0,0,1,1,374.44
1,1,1,1,0,0,1,0,1,1,1,0,1,0,377.15
0,1,1,1,1,1,1,0,0,1,0,1,1,0,381.82
1,0,1,0,1,0,0,1,1,1,0,0,0,1,373.68
1,0,1,1,1,0,1,0,1,1,1,1,1,0,383.05
1,0,0,1,1,1,0,1,1,0,1,1,0,0,384.84
0,1,0,1,0,1,1,0,0,1,0,1,0,0,386.62
0,0,0,1,0,1,0,1,0,1,1,1,0,0,384.36
0,1,0,0,1,1,0,0,1,0,1,0,1,0,371.43
0,1,1,1,1,0,0,1,0,1,0,0,1,0,372.28
1,1,0,1,1,0,0,1,1,0,1,0,0,0,378.79
0,0,1,0,1,1,0,1,1,1,0,0,0,0,374.62
1,0,0,0,1,0,0,1,1,0,0,1,0,1,382.07
1,1,0,0,0,0,0,1,0,0,1,1,1,1,385.45
1,1,0,1,0,0,1,0,0,1,0,1,0,0,386.07
0,0,0,0,0,1,0,1,1,0,0,1,0,1,383.59
0,1,1,1,1,0,0,0,0,1,0,0,1,1,374.98
1,0,0,0,1,1,0,0,1,1,1,0,0,0,375.67
0,1,1,1,0,0,0,0,0,0,1,0,1,1,369.54
1,1,1,1,1,0,0,1,0,1,1,0,1,0,376.55
1,1,0,1,0,0,0,0,1,1,0,0,1,1,377.33
0,0,1,0,0,0,1,0,1,1,0,1,0,0,381.69
0,1,1,0,1,1,0,1,1,0,0,1,1,0,381.39
1,0,0,1,1,0,1,1,0,0,0,1,1,0,381.31
1,1,1,0,0,0,1,0,1,0,0,0,0,1,376.42
0,0,0,0,1,0,0,0,1,0,1,0,1,0,374.4
0,0,0,0,1,0,0,0,0,1,1,1,1,0,382.25
1,0,1,1,1,1,0,1,0,0,0,1,0,0,380.07
0,1,0,1,0,0,0,0,1,0,0,0,0,1,371.69
0,1,0,1,0,0,0,0,0,0,1,1,0,1,392.43
1,1,0,1,1,1,0,1,0,0,0,0,0,0,379.47
0,1,1,0,0,0,1,0,0,1,1,1,0,0,388.55
0,1,1,0,0,0,0,1,0,1,1,0,0,1,376.38
1,1,1,0,1,1,0,0,1,0,1,1,1,1,381.0
0,0,0,0,1,0,1,0,1,0,1,0,1,0,370.12
0,0,0,1,1,1,0,0,0,0,0,1,1,1,382.4
1,0,0,0,1,0,1,1,0,0,1,0,1,0,377.64
1,0,0,1,0,1,0,1,1,0,0,0,1,0,373.44
0,1,1,0,0,0,1,1,1,1,1,1,0,0,385.57
1,0,1,1,0,0,0,0,1,1,1,0,1,0,374.49
0,0,0,1,1,0,0,1,0,1,1,0,1,1,376.34
1,1,1,1,1,0,0,1,1,1,0,0,1,0,372.7
1,0,1,0,0,1,1,1,1,0,1,1,0,1,385.03
0,1,0,1,1,1,0,0,1,1,0,0,1,0,371.73
0,1,1,1,1,1,1,0,1,1,1,0,1,0,375.9
0,1,0,1,0,0,1,1,1,1,1,0,0,0,375.46
1,0,1,1,1,0,1,0,1,1,0,1,1,0,391.83
