SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,68.515
0,0,0,0,1,0,1,0,0,1,0,0,0,1,68.639
0,1,0,1,0,1,0,1,0,0,1,0,1,1,68.564
1,1,0,0,0,1,0,0,1,1,0,1,0,1,68.146
1,0,0,1,1,1,0,1,1,1,0,0,1,1,68.994
1,1,1,1,0,0,1,0,1,1,1,0,1,0,68.509
0,1,1,1,1,1,1,0,0,1,0,1,1,0,68.438
1,0,1,0,1,0,0,1,1,1,0,0,0,1,70.722
1,0,1,1,1,0,1,0,1,1,1,1,1,0,68.54
1,0,0,1,1,1,0,1,1,0,1,1,0,0,71.327
0,1,0,1,0,1,1,0,0,1,0,1,0,0,71.091
0,0,0,1,0,1,0,1,0,1,1,1,0,0,68.646
0,1,0,0,1,1,0,0,1,0,1,0,1,0,70.533
0,1,1,1,1,0,0,1,0,1,0,0,1,0,68.503
1,1,0,1,1,0,0,1,1,0,1,0,0,0,68.942
0,0,1,0,1,1,0,1,1,1,0,0,0,0,68.532
1,0,0,0,1,0,0,1,1,0,0,1,0,1,68.36
1,1,0,0,0,0,0,1,0,0,1,1,1,1,70.847
1,1,0,1,0,0,1,0,0,1,0,1,0,0,69.544
0,0,0,0,0,1,0,1,1,0,0,1,0,1,70.596
0,1,1,1,1,0,0,0,0,1,0,0,1,1,68.904
1,0,0,0,1,1,0,0,1,1,1,0,0,0,69.593
0,1,1,1,0,0,0,0,0,0,1,0,1,1,68.305
1,1,1,1,1,0,0,1,0,1,1,0,1,0,68.313
1,1,0,1,0,0,0,0,1,1,0,0,1,1,68.716
0,0,1,0,0,0,1,0,1,1,0,1,0,0,68.824
0,1,1,0,1,1,0,1,1,0,0,1,1,0,76.272
1,0,0,1,1,0,1,1,0,0,0,1,1,0,70.608
1,1,1,0,0,0,1,0,1,0,0,0,0,1,68.518
0,0,0,0,1,0,0,0,1,0,1,0,1,0,68.113
0,0,0,0,1,0,0,0,0,1,1,1,1,0,69.404
1,0,1,1,1,1,0,1,0,0,0,1,0,0,70.921
0,1,0,1,0,0,0,0,1,0,0,0,0,1,68.596
0,1,0,1,0,0,0,0,0,0,1,1,0,1,68.08
1,1,0,1,1,1,0,1,0,0,0,0,0,0,70.543
0,1,1,0,0,0,1,0,0,1,1,1,0,0,70.874
0,1,1,0,0,0,0,1,0,1,1,0,0,1,68.735
1,1,1,0,1,1,0,0,1,0,1,1,1,1,69.263
0,0,0,0,1,0,1,0,1,0,1,0,1,0,70.86
0,0,0,1,1,1,0,0,0,0,0,1,1,1,70.229
1,0,0,0,1,0,1,1,0,0,1,0,1,0,68.752
1,0,0,1,0,1,0,1,1,0,0,0,1,0,70.746
0,1,1,0,0,0,1,1,1,1,1,1,0,0,68.572
1,0,1,1,0,0,0,0,1,1,1,0,1,0,70.713
0,0,0,1,1,0,0,1,0,1,1,0,1,1,70.67
1,1,1,1,1,0,0,1,1,1,0,0,1,0,68.278
1,0,1,0,0,1,1,1,1,0,1,1,0,1,70.591
0,1,0,1,1,1,0,0,1,1,0,0,1,0,68.819
0,1,1,1,1,1,1,0,1,1,1,0,1,0,70.887
0,1,0,1,0,0,1,1,1,1,1,0,0,0,69.453
1,0,1,1,1,0,1,0,1,1,0,1,1,0,70.96
1,0,0,1,1,1,1,0,0,0,1,1,1,0,69.051
1,0,0,1,0,0,1,1,0,0,0,0,0,1,68.69
1,1,1,0,0,1,0,0,1,0,1,0,1,1,68.521
0,0,1,1,0,1,0,1,1,1,0,0,0,0,68.682
1,0,0,0,1,1,0,1,0,1,1,1,1,0,69.533
1,1,1,0,0,0,0,1,0,0,0,0,0,1,68.077
0,0,1,0,1,1,1,0,0,0,1,0,0,0,69.992
1,1,1,0,0,0,0,0,0,1,1,0,0,0,68.8
0,0,0,0,0,1,1,1,1,0,0,1,1,0,68.292
0,0,1,1,1,0,1,1,0,0,1,0,0,0,69.162
0,1,0,0,0,1,1,1,1,1,0,1,1,0,70.067
0,0,0,1,0,0,0,0,0,1,1,0,0,1,70.54
1,0,0,0,1,1,0,1,0,1,1,1,0,0,71.23
0,0,1,1,0,0,1,1,0,1,1,1,1,0,68.957
0,1,1,1,1,0,1,0,0,0,1,0,1,0,68.995
0,0,0,1,0,0,0,0,0,1,0,1,1,0,68.311
0,1,0,1,0,0,1,0,0,1,1,0,1,1,70.504
0,0,1,1,1,0,1,0,1,1,1,0,1,0,71.1
0,0,0,1,1,0,1,0,1,1,0,0,1,0,68.617
0,0,1,0,0,0,0,0,1,0,1,0,1,1,68.284
0,0,1,0,1,0,1,0,0,0,0,0,0,1,70.19
0,1,1,1,1,1,1,0,1,1,0,1,1,1,68.759
1,1,0,1,0,0,0,1,0,1,0,1,0,0,71.532
1,0,1,1,0,0,0,1,1,1,1,0,0,0,68.964
1,1,0,0,1,1,1,0,0,0,0,1,1,0,68.668
1,0,0,1,1,1,1,0,1,1,1,1,0,1,70.987
0,0,0,0,0,1,0,1,0,0,0,0,0,1,68.475
1,1,1,1,1,1,1,1,1,1,1,0,0,1,70.926
0,0,1,1,0,0,1,1,0,0,1,1,0,0,68.286
1,1,1,0,1,0,1,1,1,1,0,1,0,0,68.982
0,0,0,1,1,0,0,0,0,1,1,0,1,0,72.142
1,1,0,0,1,0,0,0,1,0,0,1,1,0,68.266
0,1,0,1,1,0,0,0,0,0,0,1,1,0,68.922
1,0,0,1,0,1,0,0,1,1,1,1,1,0,68.727
1,1,1,1,1,1,0,0,1,1,1,0,0,0,68.991
1,0,1,0,1,1,0,0,1,1,1,1,0,1,69.23
0,0,1,1,0,1,0,1,0,0,1,1,0,1,70.696
0,1,0,1,0,0,1,1,1,1,1,0,1,1,71.215
1,0,0,1,1,1,1,0,1,0,0,1,1,0,71.709
1,0,0,1,1,0,1,0,1,1,0,1,1,0,70.902
0,0,1,1,0,0,0,0,1,1,0,0,1,0,71.541
0,0,0,0,1,1,1,1,1,0,1,0,1,0,69.1
1,0,0,1,1,1,1,1,1,0,1,0,0,1,71.179
1,1,0,0,0,1,0,0,1,0,0,1,0,0,69.289
1,0,1,1,0,0,0,0,0,0,1,1,0,0,70.76
1,0,1,0,1,0,0,0,1,0,0,1,0,0,69.019
0,1,1,1,1,1,0,1,1,0,0,0,0,0,68.643
0,1,0,0,0,1,0,0,1,0,1,1,0,0,68.526
1,0,0,0,1,1,0,0,0,1,1,0,0,1,70.145
1,1,0,1,1,0,0,1,1,0,0,1,0,0,68.822
1,0,1,1,0,1,0,1,1,1,1,0,1,1,70.937
0,1,1,0,1,1,1,0,0,1,1,0,0,1,68.99
1,1,0,1,0,0,1,1,0,0,1,1,1,0,68.102
0,1,0,1,1,0,1,1,0,1,1,0,1,0,70.386
1,0,0,1,1,0,1,1,0,1,0,1,0,1,68.639
1,1,1,0,1,0,0,0,1,0,0,0,0,1,68.822
0,0,1,1,0,0,1,0,0,1,0,1,0,1,70.954
0,1,1,0,0,0,1,1,0,0,1,0,0,1,68.779
0,1,1,1,1,1,0,0,0,1,1,1,0,1,68.831
1,0,1,0,0,0,1,0,1,0,0,1,0,0,69.333
0,0,1,0,0,1,1,0,1,0,0,0,1,1,68.874
1,1,1,0,0,0,0,1,0,0,1,1,1,1,68.983
0,0,0,1,0,1,1,1,1,1,0,0,0,0,68.771
0,1,1,0,0,0,0,0,1,0,1,1,1,1,67.85
0,1,0,0,0,0,0,1,0,1,1,1,1,0,68.228
0,1,1,1,1,0,1,1,1,1,1,0,0,0,71.426
0,0,0,1,1,0,0,0,0,1,1,1,0,1,69.233
1,0,1,0,0,1,0,0,0,0,0,0,1,1,71.203
1,0,1,0,1,1,0,0,1,1,0,1,0,0,70.101
0,1,1,1,0,1,0,0,0,0,0,1,0,0,70.602
1,0,1,1,0,1,0,1,0,0,0,0,1,1,70.512
0,1,1,1,1,0,0,1,1,1,1,0,0,0,68.942
0,1,0,1,1,0,1,0,0,1,1,0,1,0,71.277
0,0,1,1,1,0,0,1,1,1,1,0,1,0,68.827
1,0,1,1,1,1,1,1,0,1,1,0,1,0,70.22
0,0,1,1,1,0,1,0,0,1,1,1,0,1,71.507
1,1,0,0,0,0,1,1,1,1,1,0,1,0,69.433
0,1,1,1,0,1,0,0,0,0,1,1,1,0,68.568
1,1,1,1,0,1,1,1,1,1,1,0,1,1,68.619
1,1,1,0,0,0,1,0,0,1,1,0,1,1,71.07
1,0,0,0,0,1,1,1,1,1,0,1,1,0,70.744
1,1,0,1,1,0,1,1,0,1,0,1,1,1,68.656
1,0,1,1,1,1,0,0,1,0,1,0,0,1,68.314
0,0,1,1,0,0,1,0,0,0,1,0,1,0,68.354
1,1,0,1,0,1,0,1,0,1,0,0,0,0,69.431
1,1,1,0,0,1,1,0,1,0,0,1,0,0,71.443
1,1,0,1,0,1,1,0,1,1,0,1,0,1,68.824
1,0,1,0,1,0,1,1,0,1,0,1,1,0,72.152
1,0,1,1,0,1,0,0,1,0,1,1,0,1,71.099
1,0,0,0,1,0,0,1,0,1,1,0,1,1,68.26
1,0,0,1,0,0,0,1,1,1,1,0,0,0,68.916
1,0,1,0,0,1,1,1,1,1,1,0,0,1,71.406
1,0,0,0,0,1,0,1,0,0,0,0,1,0,68.063
0,1,1,1,1,1,0,0,1,1,0,0,1,1,68.983
1,1,1,1,1,1,0,1,0,0,0,1,1,0,68.683
1,1,1,1,0,0,1,0,1,1,0,0,1,0,68.402
0,1,0,1,0,0,1,0,1,0,0,1,0,0,69.038
0,1,0,1,1,0,1,0,1,1,1,0,0,1,68.722
0,0,1,1,0,1,0,1,1,0,0,0,0,0,68.961
0,0,1,1,0,1,0,1,0,1,0,0,1,0,71.09
0,0,0,1,1,0,0,0,0,1,1,0,1,0,69.313
0,1,1,0,1,0,0,1,0,0,0,1,1,0,68.615
0,1,1,1,0,1,0,1,0,0,1,1,1,1,67.902
1,1,0,0,1,1,1,0,0,1,1,1,1,1,73.235
1,1,1,0,0,0,0,1,1,0,0,1,1,1,68.753
1,1,1,1,1,1,0,1,1,0,0,0,1,0,68.003
1,1,0,0,0,1,0,1,1,0,1,1,1,0,68.214
0,1,0,0,0,1,0,1,1,0,0,1,0,0,70.084
1,0,1,1,1,1,0,1,1,0,0,1,1,1,68.648
1,0,0,1,1,1,0,0,1,0,1,0,1,1,68.663
0,1,0,1,1,1,0,1,1,0,0,1,1,0,68.407
1,1,1,1,1,1,1,1,1,0,0,0,1,0,68.64
0,0,1,1,1,1,0,1,1,1,1,1,1,1,68.478
0,1,1,0,0,0,0,0,0,1,0,1,1,1,69.964
1,0,1,0,0,0,1,1,1,0,0,0,0,1,68.671
1,1,0,1,0,0,0,0,0,0,0,0,1,0,68.168
0,1,1,0,1,1,1,1,1,1,0,0,1,1,68.982
1,1,1,1,1,0,1,0,1,0,0,0,1,1,70.664
1,1,1,0,0,1,0,0,0,1,1,1,0,0,68.525
0,1,1,1,1,0,1,0,0,1,1,1,1,0,69.627
1,1,1,1,1,0,1,0,1,1,0,1,1,0,69.107
1,0,0,0,1,0,1,1,1,1,0,0,0,0,70.778
0,1,0,0,0,1,0,1,1,0,0,1,1,1,69.71
0,1,0,0,1,0,0,1,1,1,0,0,1,1,68.494
0,1,1,0,0,0,0,0,1,1,0,1,0,1,70.902
1,0,0,1,1,1,0,1,0,1,1,1,1,0,68.897
0,0,1,0,1,0,0,1,1,1,1,0,1,0,70.321
0,1,1,1,1,0,0,1,1,1,1,1,1,1,70.901
1,0,0,1,1,1,0,1,0,1,1,1,0,1,69.082
0,0,0,1,0,0,1,0,0,1,1,1,1,1,69.306
1,0,0,0,1,1,1,0,0,0,0,0,0,0,68.835
1,1,0,1,0,1,1,0,1,1,0,0,0,1,70.748
1,1,1,0,1,0,1,1,0,0,1,1,0,1,68.893
0,0,1,0,0,0,0,0,1,0,0,0,0,1,68.645
1,1,0,1,1,0,1,0,1,1,1,1,1,1,68.913
0,0,1,1,1,1,0,1,0,0,0,1,0,1,71.059
0,0,1,1,1,1,1,0,1,0,0,1,0,0,69.773
0,1,1,1,0,0,0,0,0,1,1,1,1,1,70.796
0,1,1,0,1,1,0,0,1,1,1,1,0,1,71.138
1,0,0,1,1,1,1,0,0,1,0,1,0,0,69.35
0,1,0,1,1,1,1,1,1,0,0,1,1,1,70.897
1,0,1,1,0,0,0,0,0,0,1,1,1,0,68.868
1,1,0,0,0,1,0,1,0,1,1,1,0,1,71.65
0,1,0,0,0,0,0,1,1,0,0,0,0,1,68.713
0,1,1,0,1,0,1,0,0,0,0,1,1,1,70.902
1,0,1,1,0,0,0,0,1,1,1,0,0,0,68.922
1,1,1,0,1,1,0,1,1,0,0,1,0,1,69.203
0,1,1,1,1,1,1,0,0,1,0,0,0,0,68.914
1,0,1,0,1,1,0,1,1,1,1,1,1,0,68.342
0,0,1,0,1,0,0,1,1,0,0,1,0,0,68.562
1,0,0,1,1,1,0,1,0,1,0,0,1,0,68.338
1,0,1,1,1,0,0,0,1,0,0,1,0,1,69.113
1,0,0,0,1,1,1,1,1,1,1,1,0,0,69.037
0,0,0,0,1,0,0,1,0,0,0,0,1,0,68.354
0,1,1,0,0,0,1,0,0,1,1,1,1,1,68.78
0,1,1,1,0,1,1,0,1,1,0,1,0,0,68.927
0,0,0,0,1,1,1,1,1,0,0,1,1,1,68.302
1,1,1,0,0,1,1,0,1,0,0,1,1,1,68.761
0,1,1,0,0,1,1,0,1,0,0,0,0,0,68.777
1,1,1,0,0,1,0,1,1,1,1,0,1,0,68.835
0,1,1,1,0,1,0,0,1,0,0,0,1,0,70.85
1,1,1,1,0,1,0,0,1,0,1,1,1,1,70.921
1,1,1,0,1,0,1,1,0,1,1,1,0,0,68.504
1,1,0,1,0,0,1,0,0,0,0,1,0,0,68.697
1,1,0,0,1,0,0,0,1,1,1,0,1,1,68.219
1,1,0,0,0,1,0,1,0,0,0,1,0,0,68.548
0,1,0,1,1,1,1,0,0,1,1,0,0,0,69.542
0,1,0,0,1,1,0,0,0,0,0,1,1,1,69.179
0,0,1,0,1,1,1,1,0,1,0,0,1,0,68.837
0,0,0,0,0,1,1,1,1,0,1,0,1,1,70.867
0,1,1,1,1,1,0,0,0,1,0,1,0,1,69.791
1,1,1,1,1,0,1,0,1,0,0,1,1,1,70.259
0,1,1,1,0,1,1,0,0,1,1,0,1,1,68.37
0,0,0,0,0,0,1,0,1,0,1,0,0,0,70.868
0,0,0,1,0,0,0,0,1,0,1,0,0,1,68.858
0,1,0,0,0,0,0,0,0,1,1,0,1,1,68.771
1,1,0,0,1,1,1,1,1,1,1,0,0,1,69.597
0,1,0,1,0,0,1,0,1,0,0,0,1,0,68.578
1,1,1,1,0,0,1,0,0,1,1,1,0,1,69.738
1,1,0,1,0,0,0,0,0,1,1,0,1,0,68.824
1,0,0,1,1,1,1,1,0,0,0,0,0,1,71.331
0,0,0,1,0,1,1,1,1,0,0,1,0,1,69.029
1,1,0,0,0,0,1,0,1,1,0,0,1,0,70.517
0,0,0,1,1,1,0,1,1,0,1,0,1,0,68.325
1,1,0,0,1,1,1,1,0,0,1,0,1,1,68.364
0,1,0,1,0,1,0,1,1,1,0,1,0,1,71.141
0,0,1,1,1,0,0,0,0,1,1,1,1,1,68.561
1,0,0,0,1,0,1,1,1,0,0,1,1,0,68.266
0,0,1,1,1,1,1,1,0,0,1,1,0,1,70.876
