SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,4.446
0,0,0,0,1,0,1,0,0,1,0,0,0,1,4.067
0,1,0,1,0,1,0,1,0,0,1,0,1,1,3.293
1,1,0,0,0,1,0,0,1,1,0,1,0,1,4.549
1,0,0,1,1,1,0,1,1,1,0,0,1,1,3.877
1,1,1,1,0,0,1,0,1,1,1,0,1,0,4.023
0,1,1,1,1,1,1,0,0,1,0,1,1,0,4.404
1,0,1,0,1,0,0,1,1,1,0,0,0,1,3.971
1,0,1,1,1,0,1,0,1,1,1,1,1,0,4.426
1,0,0,1,1,1,0,1,1,0,1,1,0,0,3.699
0,1,0,1,0,1,1,0,0,1,0,1,0,0,4.618
0,0,0,1,0,1,0,1,0,1,1,1,0,0,4.54
0,1,0,0,1,1,0,0,1,0,1,0,1,0,3.11
0,1,1,1,1,0,0,1,0,1,0,0,1,0,3.999
1,1,0,1,1,0,0,1,1,0,1,0,0,0,3.168
0,0,1,0,1,1,0,1,1,1,0,0,0,0,3.889
1,0,0,0,1,0,0,1,1,0,0,1,0,1,3.84
1,1,0,0,0,0,0,1,0,0,1,1,1,1,3.624
1,1,0,1,0,0,1,0,0,1,0,1,0,0,4.458
0,0,0,0,0,1,0,1,1,0,0,1,0,1,3.759
0,1,1,1,1,0,0,0,0,1,0,0,1,1,3.935
1,0,0,0,1,1,0,0,1,1,1,0,0,0,3.985
0,1,1,1,0,0,0,0,0,0,1,0,1,1,3.081
1,1,1,1,1,0,0,1,0,1,1,0,1,0,3.98
1,1,0,1,0,0,0,0,1,1,0,0,1,1,4.0
0,0,1,0,0,0,1,0,1,1,0,1,0,0,4.422
0,1,1,0,1,1,0,1,1,0,0,1,1,0,3.655
1,0,0,1,1,0,1,1,0,0,0,1,1,0,3.718
1,1,1,0,0,0,1,0,1,0,0,0,0,1,3.379
0,0,0,0,1,0,0,0,1,0,1,0,1,0,3.101
0,0,0,0,1,0,0,0,0,1,1,1,1,0,4.475
1,0,1,1,1,1,0,1,0,0,0,1,0,0,3.712
0,1,0,1,0,0,0,0,1,0,0,0,0,1,3.303
0,1,0,1,0,0,0,0,0,0,1,1,0,1,3.668
1,1,0,1,1,1,0,1,0,0,0,0,0,0,3.122
0,1,1,0,0,0,1,0,0,1,1,1,0,0,4.46
0,1,1,0,0,0,0,1,0,1,1,0,0,1,3.909
1,1,1,0,1,1,0,0,1,0,1,1,1,1,3.884
0,0,0,0,1,0,1,0,1,0,1,0,1,0,3.043
0,0,0,1,1,1,0,0,0,0,0,1,1,1,3.776
1,0,0,0,1,0,1,1,0,0,1,0,1,0,3.171
1,0,0,1,0,1,0,1,1,0,0,0,1,0,3.158
0,1,1,0,0,0,1,1,1,1,1,1,0,0,4.618
1,0,1,1,0,0,0,0,1,1,1,0,1,0,3.862
0,0,0,1,1,0,0,1,0,1,1,0,1,1,3.969
1,1,1,1,1,0,0,1,1,1,0,0,1,0,3.885
1,0,1,0,0,1,1,1,1,0,1,1,0,1,3.703
0,1,0,1,1,1,0,0,1,1,0,0,1,0,3.7
0,1,1,1,1,1,1,0,1,1,1,0,1,0,3.906
0,1,0,1,0,0,1,1,1,1,1,0,0,0,3.904
1,0,1,1,1,0,1,0,1,1,0,1,1,0,4.508
1,0,0,1,1,1,1,0,0,0,1,1,1,0,3.869
1,0,0,1,0,0,1,1,0,0,0,0,0,1,3.217
1,1,1,0,0,1,0,0,1,0,1,0,1,1,3.233
0,0,1,1,0,1,0,1,1,1,0,0,0,0,3.949
1,0,0,0,1,1,0,1,0,1,1,1,1,0,4.627
1,1,1,0,0,0,0,1,0,0,0,0,0,1,3.141
0,0,1,0,1,1,1,0,0,0,1,0,0,0,3.203
1,1,1,0,0,0,0,0,0,1,1,0,0,0,3.881
0,0,0,0,0,1,1,1,1,0,0,1,1,0,3.556
0,0,1,1,1,0,1,1,0,0,1,0,0,0,3.091
0,1,0,0,0,1,1,1,1,1,0,1,1,0,4.342
0,0,0,1,0,0,0,0,0,1,1,0,0,1,3.88
1,0,0,0,1,1,0,1,0,1,1,1,0,0,4.645
0,0,1,1,0,0,1,1,0,1,1,1,1,0,4.461
0,1,1,1,1,0,1,0,0,0,1,0,1,0,3.126
0,0,0,1,0,0,0,0,0,1,0,1,1,0,4.528
0,1,0,1,0,0,1,0,0,1,1,0,1,1,4.07
0,0,1,1,1,0,1,0,1,1,1,0,1,0,3.73
0,0,0,1,1,0,1,0,1,1,0,0,1,0,3.908
0,0,1,0,0,0,0,0,1,0,1,0,1,1,3.07
0,0,1,0,1,0,1,0,0,0,0,0,0,1,3.13
0,1,1,1,1,1,1,0,1,1,0,1,1,1,4.371
1,1,0,1,0,0,0,1,0,1,0,1,0,0,4.623
1,0,1,1,0,0,0,1,1,1,1,0,0,0,4.076
1,1,0,0,1,1,1,0,0,0,0,1,1,0,3.682
1,0,0,1,1,1,1,0,1,1,1,1,0,1,4.63
0,0,0,0,0,1,0,1,0,0,0,0,0,1,3.201
1,1,1,1,1,1,1,1,1,1,1,0,0,1,3.94
0,0,1,1,0,0,1,1,0,0,1,1,0,0,3.799
1,1,1,0,1,0,1,1,1,1,0,1,0,0,4.634
0,0,0,1,1,0,0,0,0,1,1,0,1,0,3.956
1,1,0,0,1,0,0,0,1,0,0,1,1,0,3.7
0,1,0,1,1,0,0,0,0,0,0,1,1,0,3.632
1,0,0,1,0,1,0,0,1,1,1,1,1,0,4.521
1,1,1,1,1,1,0,0,1,1,1,0,0,0,4.021
1,0,1,0,1,1,0,0,1,1,1,1,0,1,4.455
0,0,1,1,0,1,0,1,0,0,1,1,0,1,3.61
0,1,0,1,0,0,1,1,1,1,1,0,1,1,3.873
1,0,0,1,1,1,1,0,1,0,0,1,1,0,3.764
1,0,0,1,1,0,1,0,1,1,0,1,1,0,4.54
0,0,1,1,0,0,0,0,1,1,0,0,1,0,3.886
0,0,0,0,1,1,1,1,1,0,1,0,1,0,3.043
1,0,0,1,1,1,1,1,1,0,1,0,0,1,3.108
1,1,0,0,0,1,0,0,1,0,0,1,0,0,3.712
1,0,1,1,0,0,0,0,0,0,1,1,0,0,3.744
1,0,1,0,1,0,0,0,1,0,0,1,0,0,3.754
0,1,1,1,1,1,0,1,1,0,0,0,0,0,3.22
0,1,0,0,0,1,0,0,1,0,1,1,0,0,3.766
1,0,0,0,1,1,0,0,0,1,1,0,0,1,4.027
