SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,11.054
0,0,0,0,1,0,1,0,0,1,0,0,0,1,10.799
0,1,0,1,0,1,0,1,0,0,1,0,1,1,10.294
1,1,0,0,0,1,0,0,1,1,0,1,0,1,11.163
1,0,0,1,1,1,0,1,1,1,0,0,1,1,10.933
1,1,1,1,0,0,1,0,1,1,1,0,1,0,10.719
0,1,1,1,1,1,1,0,0,1,0,1,1,0,10.997
1,0,1,0,1,0,0,1,1,1,0,0,0,1,10.835
1,0,1,1,1,0,1,0,1,1,1,1,1,0,11.069
1,0,0,1,1,1,0,1,1,0,1,1,0,0,10.592
0,1,0,1,0,1,1,0,0,1,0,1,0,0,11.046
0,0,0,1,0,1,0,1,0,1,1,1,0,0,11.065
0,1,0,0,1,1,0,0,1,0,1,0,1,0,10.243
0,1,1,1,1,0,0,1,0,1,0,0,1,0,10.746
1,1,0,1,1,0,0,1,1,0,1,0,0,0,10.308
0,0,1,0,1,1,0,1,1,1,0,0,0,0,10.837
1,0,0,0,1,0,0,1,1,0,0,1,0,1,10.621
1,1,0,0,0,0,0,1,0,0,1,1,1,1,10.591
1,1,0,1,0,0,1,0,0,1,0,1,0,0,11.136
0,0,0,0,0,1,0,1,1,0,0,1,0,1,10.561
0,1,1,1,1,0,0,0,0,1,0,0,1,1,10.758
1,0,0,0,1,1,0,0,1,1,1,0,0,0,10.816
0,1,1,1,0,0,0,0,0,0,1,0,1,1,10.205
1,1,1,1,1,0,0,1,0,1,1,0,1,0,10.855
1,1,0,1,0,0,0,0,1,1,0,0,1,1,10.764
0,0,1,0,0,0,1,0,1,1,0,1,0,0,11.093
0,1,1,0,1,1,0,1,1,0,0,1,1,0,10.588
1,0,0,1,1,0,1,1,0,0,0,1,1,0,10.786
1,1,1,0,0,0,1,0,1,0,0,0,0,1,10.316
0,0,0,0,1,0,0,0,1,0,1,0,1,0,10.225
0,0,0,0,1,0,0,0,0,1,1,1,1,0,11.154
1,0,1,1,1,1,0,1,0,0,0,1,0,0,10.621
0,1,0,1,0,0,0,0,1,0,0,0,0,1,10.255
0,1,0,1,0,0,0,0,0,0,1,1,0,1,10.585
1,1,0,1,1,1,0,1,0,0,0,0,0,0,10.255
0,1,1,0,0,0,1,0,0,1,1,1,0,0,11.035
0,1,1,0,0,0,0,1,0,1,1,0,0,1,10.81
1,1,1,0,1,1,0,0,1,0,1,1,1,1,10.633
0,0,0,0,1,0,1,0,1,0,1,0,1,0,10.25
0,0,0,1,1,1,0,0,0,0,0,1,1,1,10.545
1,0,0,0,1,0,1,1,0,0,1,0,1,0,10.251
1,0,0,1,0,1,0,1,1,0,0,0,1,0,10.284
0,1,1,0,0,0,1,1,1,1,1,1,0,0,11.088
1,0,1,1,0,0,0,0,1,1,1,0,1,0,10.732
0,0,0,1,1,0,0,1,0,1,1,0,1,1,10.788
1,1,1,1,1,0,0,1,1,1,0,0,1,0,10.891
1,0,1,0,0,1,1,1,1,0,1,1,0,1,10.645
0,1,0,1,1,1,0,0,1,1,0,0,1,0,10.795
0,1,1,1,1,1,1,0,1,1,1,0,1,0,10.8
0,1,0,1,0,0,1,1,1,1,1,0,0,0,10.861
1,0,1,1,1,0,1,0,1,1,0,1,1,0,11.039
1,0,0,1,1,1,1,0,0,0,1,1,1,0,10.651
1,0,0,1,0,0,1,1,0,0,0,0,0,1,10.328
1,1,1,0,0,1,0,0,1,0,1,0,1,1,10.256
0,0,1,1,0,1,0,1,1,1,0,0,0,0,10.818
1,0,0,0,1,1,0,1,0,1,1,1,1,0,11.141
1,1,1,0,0,0,0,1,0,0,0,0,0,1,10.358
0,0,1,0,1,1,1,0,0,0,1,0,0,0,10.314
1,1,1,0,0,0,0,0,0,1,1,0,0,0,10.742
0,0,0,0,0,1,1,1,1,0,0,1,1,0,10.572
0,0,1,1,1,0,1,1,0,0,1,0,0,0,10.328
