SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,5.209
0,0,0,0,1,0,1,0,0,1,0,0,0,1,4.639
0,1,0,1,0,1,0,1,0,0,1,0,1,1,4.534
1,1,0,0,0,1,0,0,1,1,0,1,0,1,5.319
1,0,0,1,1,1,0,1,1,1,0,0,1,1,4.581
1,1,1,1,0,0,1,0,1,1,1,0,1,0,4.553
0,1,1,1,1,1,1,0,0,1,0,1,1,0,5.212
1,0,1,0,1,0,0,1,1,1,0,0,0,1,4.598
1,0,1,1,1,0,1,0,1,1,1,1,1,0,5.195
1,0,0,1,1,1,0,1,1,0,1,1,0,0,5.224
0,1,0,1,0,1,1,0,0,1,0,1,0,0,5.256
0,0,0,1,0,1,0,1,0,1,1,1,0,0,5.117
0,1,0,0,1,1,0,0,1,0,1,0,1,0,4.455
0,1,1,1,1,0,0,1,0,1,0,0,1,0,4.565
1,1,0,1,1,0,0,1,1,0,1,0,0,0,4.501
0,0,1,0,1,1,0,1,1,1,0,0,0,0,4.676
1,0,0,0,1,0,0,1,1,0,0,1,0,1,5.211
1,1,0,0,0,0,0,1,0,0,1,1,1,1,5.197
1,1,0,1,0,0,1,0,0,1,0,1,0,0,5.312
0,0,0,0,0,1,0,1,1,0,0,1,0,1,5.154
0,1,1,1,1,0,0,0,0,1,0,0,1,1,4.669
1,0,0,0,1,1,0,0,1,1,1,0,0,0,4.522
0,1,1,1,0,0,0,0,0,0,1,0,1,1,4.433
1,1,1,1,1,0,0,1,0,1,1,0,1,0,4.486
1,1,0,1,0,0,0,0,1,1,0,0,1,1,4.556
0,0,1,0,0,0,1,0,1,1,0,1,0,0,5.29
0,1,1,0,1,1,0,1,1,0,0,1,1,0,5.166
1,0,0,1,1,0,1,1,0,0,0,1,1,0,5.186
1,1,1,0,0,0,1,0,1,0,0,0,0,1,4.55
0,0,0,0,1,0,0,0,1,0,1,0,1,0,4.452
0,0,0,0,1,0,0,0,0,1,1,1,1,0,5.272
1,0,1,1,1,1,0,1,0,0,0,1,0,0,5.259
0,1,0,1,0,0,0,0,1,0,0,0,0,1,4.61
0,1,0,1,0,0,0,0,0,0,1,1,0,1,5.094
1,1,0,1,1,1,0,1,0,0,0,0,0,0,4.632
0,1,1,0,0,0,1,0,0,1,1,1,0,0,5.184
0,1,1,0,0,0,0,1,0,1,1,0,0,1,4.6
1,1,1,0,1,1,0,0,1,0,1,1,1,1,5.121
0,0,0,0,1,0,1,0,1,0,1,0,1,0,4.453
0,0,0,1,1,1,0,0,0,0,0,1,1,1,5.119
1,0,0,0,1,0,1,1,0,0,1,0,1,0,4.604
1,0,0,1,0,1,0,1,1,0,0,0,1,0,4.556
0,1,1,0,0,0,1,1,1,1,1,1,0,0,5.163
1,0,1,1,0,0,0,0,1,1,1,0,1,0,4.565
0,0,0,1,1,0,0,1,0,1,1,0,1,1,4.556
1,1,1,1,1,0,0,1,1,1,0,0,1,0,4.549
1,0,1,0,0,1,1,1,1,0,1,1,0,1,5.113
0,1,0,1,1,1,0,0,1,1,0,0,1,0,4.584
0,1,1,1,1,1,1,0,1,1,1,0,1,0,4.486
0,1,0,1,0,0,1,1,1,1,1,0,0,0,4.521
1,0,1,1,1,0,1,0,1,1,0,1,1,0,5.231
1,0,0,1,1,1,1,0,0,0,1,1,1,0,5.234
1,0,0,1,0,0,1,1,0,0,0,0,0,1,4.594
1,1,1,0,0,1,0,0,1,0,1,0,1,1,4.594
0,0,1,1,0,1,0,1,1,1,0,0,0,0,4.641
1,0,0,0,1,1,0,1,0,1,1,1,1,0,5.271
1,1,1,0,0,0,0,1,0,0,0,0,0,1,4.501
0,0,1,0,1,1,1,0,0,0,1,0,0,0,4.482
1,1,1,0,0,0,0,0,0,1,1,0,0,0,4.654
0,0,0,0,0,1,1,1,1,0,0,1,1,0,5.141
0,0,1,1,1,0,1,1,0,0,1,0,0,0,4.562
0,1,0,0,0,1,1,1,1,1,0,1,1,0,5.401
0,0,0,1,0,0,0,0,0,1,1,0,0,1,4.548
1,0,0,0,1,1,0,1,0,1,1,1,0,0,5.311
0,0,1,1,0,0,1,1,0,1,1,1,1,0,5.186
0,1,1,1,1,0,1,0,0,0,1,0,1,0,4.439
0,0,0,1,0,0,0,0,0,1,0,1,1,0,5.221
0,1,0,1,0,0,1,0,0,1,1,0,1,1,4.717
0,0,1,1,1,0,1,0,1,1,1,0,1,0,4.55
0,0,0,1,1,0,1,0,1,1,0,0,1,0,4.55
0,0,1,0,0,0,0,0,1,0,1,0,1,1,4.557
0,0,1,0,1,0,1,0,0,0,0,0,0,1,4.48
0,1,1,1,1,1,1,0,1,1,0,1,1,1,5.149
1,1,0,1,0,0,0,1,0,1,0,1,0,0,5.324
1,0,1,1,0,0,0,1,1,1,1,0,0,0,4.515
1,1,0,0,1,1,1,0,0,0,0,1,1,0,5.152
1,0,0,1,1,1,1,0,1,1,1,1,0,1,5.332
0,0,0,0,0,1,0,1,0,0,0,0,0,1,4.631
1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.616
0,0,1,1,0,0,1,1,0,0,1,1,0,0,5.122
1,1,1,0,1,0,1,1,1,1,0,1,0,0,5.399
0,0,0,1,1,0,0,0,0,1,1,0,1,0,4.582
1,1,0,0,1,0,0,0,1,0,0,1,1,0,5.254
0,1,0,1,1,0,0,0,0,0,0,1,1,0,5.148
1,0,0,1,0,1,0,0,1,1,1,1,1,0,5.311
1,1,1,1,1,1,0,0,1,1,1,0,0,0,4.68
1,0,1,0,1,1,0,0,1,1,1,1,0,1,5.441
0,0,1,1,0,1,0,1,0,0,1,1,0,1,5.075
0,1,0,1,0,0,1,1,1,1,1,0,1,1,4.47
1,0,0,1,1,1,1,0,1,0,0,1,1,0,5.136
1,0,0,1,1,0,1,0,1,1,0,1,1,0,5.265
0,0,1,1,0,0,0,0,1,1,0,0,1,0,4.565
0,0,0,0,1,1,1,1,1,0,1,0,1,0,4.545
1,0,0,1,1,1,1,1,1,0,1,0,0,1,4.558
1,1,0,0,0,1,0,0,1,0,0,1,0,0,5.253
1,0,1,1,0,0,0,0,0,0,1,1,0,0,5.203
1,0,1,0,1,0,0,0,1,0,0,1,0,0,5.225
0,1,1,1,1,1,0,1,1,0,0,0,0,0,4.505
0,1,0,0,0,1,0,0,1,0,1,1,0,0,5.068
1,0,0,0,1,1,0,0,0,1,1,0,0,1,4.562
1,1,0,1,1,0,0,1,1,0,0,1,0,0,5.405
1,0,1,1,0,1,0,1,1,1,1,0,1,1,4.527
0,1,1,0,1,1,1,0,0,1,1,0,0,1,4.58
1,1,0,1,0,0,1,1,0,0,1,1,1,0,5.183
0,1,0,1,1,0,1,1,0,1,1,0,1,0,4.527
1,0,0,1,1,0,1,1,0,1,0,1,0,1,5.236
1,1,1,0,1,0,0,0,1,0,0,0,0,1,4.578
0,0,1,1,0,0,1,0,0,1,0,1,0,1,5.233
0,1,1,0,0,0,1,1,0,0,1,0,0,1,4.634
0,1,1,1,1,1,0,0,0,1,1,1,0,1,5.159
1,0,1,0,0,0,1,0,1,0,0,1,0,0,5.218
0,0,1,0,0,1,1,0,1,0,0,0,1,1,4.529
1,1,1,0,0,0,0,1,0,0,1,1,1,1,5.1
0,0,0,1,0,1,1,1,1,1,0,0,0,0,4.595
0,1,1,0,0,0,0,0,1,0,1,1,1,1,5.119
0,1,0,0,0,0,0,1,0,1,1,1,1,0,5.263
0,1,1,1,1,0,1,1,1,1,1,0,0,0,4.646
0,0,0,1,1,0,0,0,0,1,1,1,0,1,5.267
1,0,1,0,0,1,0,0,0,0,0,0,1,1,4.568
1,0,1,0,1,1,0,0,1,1,0,1,0,0,5.374
0,1,1,1,0,1,0,0,0,0,0,1,0,0,5.087
1,0,1,1,0,1,0,1,0,0,0,0,1,1,4.54
0,1,1,1,1,0,0,1,1,1,1,0,0,0,4.677
0,1,0,1,1,0,1,0,0,1,1,0,1,0,4.542
0,0,1,1,1,0,0,1,1,1,1,0,1,0,4.498
1,0,1,1,1,1,1,1,0,1,1,0,1,0,4.469
