SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,33.565
0,0,0,0,1,0,1,0,0,1,0,0,0,1,33.121
0,1,0,1,0,1,0,1,0,0,1,0,1,1,30.024
1,1,0,0,0,1,0,0,1,1,0,1,0,1,42.031
1,0,0,1,1,1,0,1,1,1,0,0,1,1,28.565
1,1,1,1,0,0,1,0,1,1,1,0,1,0,32.83
0,1,1,1,1,1,1,0,0,1,0,1,1,0,35.291
1,0,1,0,1,0,0,1,1,1,0,0,0,1,32.11
1,0,1,1,1,0,1,0,1,1,1,1,1,0,37.061
1,0,0,1,1,1,0,1,1,0,1,1,0,0,31.67
0,1,0,1,0,1,1,0,0,1,0,1,0,0,37.622
0,0,0,1,0,1,0,1,0,1,1,1,0,0,32.195
0,1,0,0,1,1,0,0,1,0,1,0,1,0,34.415
0,1,1,1,1,0,0,1,0,1,0,0,1,0,29.967
1,1,0,1,1,0,0,1,1,0,1,0,0,0,27.813
0,0,1,0,1,1,0,1,1,1,0,0,0,0,28.484
1,0,0,0,1,0,0,1,1,0,0,1,0,1,31.987
1,1,0,0,0,0,0,1,0,0,1,1,1,1,36.048
1,1,0,1,0,0,1,0,0,1,0,1,0,0,38.966
0,0,0,0,0,1,0,1,1,0,0,1,0,1,34.798
0,1,1,1,1,0,0,0,0,1,0,0,1,1,37.39
1,0,0,0,1,1,0,0,1,1,1,0,0,0,39.072
0,1,1,1,0,0,0,0,0,0,1,0,1,1,27.597
1,1,1,1,1,0,0,1,0,1,1,0,1,0,28.569
1,1,0,1,0,0,0,0,1,1,0,0,1,1,39.124
0,0,1,0,0,0,1,0,1,1,0,1,0,0,41.461
0,1,1,0,1,1,0,1,1,0,0,1,1,0,35.548
1,0,0,1,1,0,1,1,0,0,0,1,1,0,38.171
1,1,1,0,0,0,1,0,1,0,0,0,0,1,27.684
0,0,0,0,1,0,0,0,1,0,1,0,1,0,39.908
0,0,0,0,1,0,0,0,0,1,1,1,1,0,38.915
1,0,1,1,1,1,0,1,0,0,0,1,0,0,41.457
0,1,0,1,0,0,0,0,1,0,0,0,0,1,27.539
0,1,0,1,0,0,0,0,0,0,1,1,0,1,31.665
1,1,0,1,1,1,0,1,0,0,0,0,0,0,27.816
0,1,1,0,0,0,1,0,0,1,1,1,0,0,34.94
0,1,1,0,0,0,0,1,0,1,1,0,0,1,28.792
1,1,1,0,1,1,0,0,1,0,1,1,1,1,31.323
0,0,0,0,1,0,1,0,1,0,1,0,1,0,27.427
0,0,0,1,1,1,0,0,0,0,0,1,1,1,43.342
1,0,0,0,1,0,1,1,0,0,1,0,1,0,27.328
1,0,0,1,0,1,0,1,1,0,0,0,1,0,37.141
0,1,1,0,0,0,1,1,1,1,1,1,0,0,38.187
1,0,1,1,0,0,0,0,1,1,1,0,1,0,38.417
0,0,0,1,1,0,0,1,0,1,1,0,1,1,40.005
1,1,1,1,1,0,0,1,1,1,0,0,1,0,30.46
1,0,1,0,0,1,1,1,1,0,1,1,0,1,37.273
0,1,0,1,1,1,0,0,1,1,0,0,1,0,38.737
0,1,1,1,1,1,1,0,1,1,1,0,1,0,37.952
0,1,0,1,0,0,1,1,1,1,1,0,0,0,32.196
1,0,1,1,1,0,1,0,1,1,0,1,1,0,45.989
1,0,0,1,1,1,1,0,0,0,1,1,1,0,42.567
1,0,0,1,0,0,1,1,0,0,0,0,0,1,28.743
1,1,1,0,0,1,0,0,1,0,1,0,1,1,36.712
0,0,1,1,0,1,0,1,1,1,0,0,0,0,28.97
1,0,0,0,1,1,0,1,0,1,1,1,1,0,39.809
1,1,1,0,0,0,0,1,0,0,0,0,0,1,27.724
0,0,1,0,1,1,1,0,0,0,1,0,0,0,27.688
1,1,1,0,0,0,0,0,0,1,1,0,0,0,33.698
0,0,0,0,0,1,1,1,1,0,0,1,1,0,37.441
0,0,1,1,1,0,1,1,0,0,1,0,0,0,27.835
0,1,0,0,0,1,1,1,1,1,0,1,1,0,34.018
0,0,0,1,0,0,0,0,0,1,1,0,0,1,29.574
1,0,0,0,1,1,0,1,0,1,1,1,0,0,37.305
0,0,1,1,0,0,1,1,0,1,1,1,1,0,34.798
0,1,1,1,1,0,1,0,0,0,1,0,1,0,30.212
0,0,0,1,0,0,0,0,0,1,0,1,1,0,38.215
0,1,0,1,0,0,1,0,0,1,1,0,1,1,28.615
0,0,1,1,1,0,1,0,1,1,1,0,1,0,34.221
0,0,0,1,1,0,1,0,1,1,0,0,1,0,30.616
0,0,1,0,0,0,0,0,1,0,1,0,1,1,28.596
0,0,1,0,1,0,1,0,0,0,0,0,0,1,27.974
0,1,1,1,1,1,1,0,1,1,0,1,1,1,32.209
1,1,0,1,0,0,0,1,0,1,0,1,0,0,35.369
1,0,1,1,0,0,0,1,1,1,1,0,0,0,28.716
1,1,0,0,1,1,1,0,0,0,0,1,1,0,31.508
1,0,0,1,1,1,1,0,1,1,1,1,0,1,35.834
0,0,0,0,0,1,0,1,0,0,0,0,0,1,27.665
1,1,1,1,1,1,1,1,1,1,1,0,0,1,34.29
0,0,1,1,0,0,1,1,0,0,1,1,0,0,35.537
1,1,1,0,1,0,1,1,1,1,0,1,0,0,31.998
0,0,0,1,1,0,0,0,0,1,1,0,1,0,29.572
1,1,0,0,1,0,0,0,1,0,0,1,1,0,30.607
0,1,0,1,1,0,0,0,0,0,0,1,1,0,33.964
1,0,0,1,0,1,0,0,1,1,1,1,1,0,32.5
1,1,1,1,1,1,0,0,1,1,1,0,0,0,28.953
1,0,1,0,1,1,0,0,1,1,1,1,0,1,35.677
0,0,1,1,0,1,0,1,0,0,1,1,0,1,37.907
0,1,0,1,0,0,1,1,1,1,1,0,1,1,29.933
1,0,0,1,1,1,1,0,1,0,0,1,1,0,39.749
1,0,0,1,1,0,1,0,1,1,0,1,1,0,45.208
0,0,1,1,0,0,0,0,1,1,0,0,1,0,29.247
0,0,0,0,1,1,1,1,1,0,1,0,1,0,27.674
1,0,0,1,1,1,1,1,1,0,1,0,0,1,27.871
1,1,0,0,0,1,0,0,1,0,0,1,0,0,45.077
1,0,1,1,0,0,0,0,0,0,1,1,0,0,39.407
1,0,1,0,1,0,0,0,1,0,0,1,0,0,37.044
0,1,1,1,1,1,0,1,1,0,0,0,0,0,27.95
0,1,0,0,0,1,0,0,1,0,1,1,0,0,43.809
1,0,0,0,1,1,0,0,0,1,1,0,0,1,38.072
1,1,0,1,1,0,0,1,1,0,0,1,0,0,53.212
1,0,1,1,0,1,0,1,1,1,1,0,1,1,36.451
0,1,1,0,1,1,1,0,0,1,1,0,0,1,29.072
1,1,0,1,0,0,1,1,0,0,1,1,1,0,40.833
0,1,0,1,1,0,1,1,0,1,1,0,1,0,36.686
1,0,0,1,1,0,1,1,0,1,0,1,0,1,49.168
1,1,1,0,1,0,0,0,1,0,0,0,0,1,27.82
0,0,1,1,0,0,1,0,0,1,0,1,0,1,32.116
0,1,1,0,0,0,1,1,0,0,1,0,0,1,33.482
0,1,1,1,1,1,0,0,0,1,1,1,0,1,34.947
1,0,1,0,0,0,1,0,1,0,0,1,0,0,36.024
0,0,1,0,0,1,1,0,1,0,0,0,1,1,38.587
