SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,453.88
0,0,0,0,1,0,1,0,0,1,0,0,0,1,460.75
0,1,0,1,0,1,0,1,0,0,1,0,1,1,452.01
1,1,0,0,0,1,0,0,1,1,0,1,0,1,443.38
1,0,0,1,1,1,0,1,1,1,0,0,1,1,463.43
1,1,1,1,0,0,1,0,1,1,1,0,1,0,474.23
0,1,1,1,1,1,1,0,0,1,0,1,1,0,466.6
1,0,1,0,1,0,0,1,1,1,0,0,0,1,474.23
1,0,1,1,1,0,1,0,1,1,1,1,1,0,459.8
1,0,0,1,1,1,0,1,1,0,1,1,0,0,487.04
0,1,0,1,0,1,1,0,0,1,0,1,0,0,480.07
0,0,0,1,0,1,0,1,0,1,1,1,0,0,455.12
0,1,0,0,1,1,0,0,1,0,1,0,1,0,712.74
0,1,1,1,1,0,0,1,0,1,0,0,1,0,943.76
1,1,0,1,1,0,0,1,1,0,1,0,0,0,5526.6
0,0,1,0,1,1,0,1,1,1,0,0,0,0,5554.1
1,0,0,0,1,0,0,1,1,0,0,1,0,1,5315.9
1,1,0,0,0,0,0,1,0,0,1,1,1,1,5656.9
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2012.0
0,0,0,0,0,1,0,1,1,0,0,1,0,1,1856.9
0,1,1,1,1,0,0,0,0,1,0,0,1,1,1543.5
1,0,0,0,1,1,0,0,1,1,1,0,0,0,1462.9
0,1,1,1,0,0,0,0,0,0,1,0,1,1,1415.1
1,1,1,1,1,0,0,1,0,1,1,0,1,0,1295.3
1,1,0,1,0,0,0,0,1,1,0,0,1,1,1336.1
0,0,1,0,0,0,1,0,1,1,0,1,0,0,1408.7
0,1,1,0,1,1,0,1,1,0,0,1,1,0,1267.7
1,0,0,1,1,0,1,1,0,0,0,1,1,0,1346.6
1,1,1,0,0,0,1,0,1,0,0,0,0,1,1226.8
0,0,0,0,1,0,0,0,1,0,1,0,1,0,1240.6
0,0,0,0,1,0,0,0,0,1,1,1,1,0,1283.6
1,0,1,1,1,1,0,1,0,0,0,1,0,0,1399.2
0,1,0,1,0,0,0,0,1,0,0,0,0,1,1275.5
0,1,0,1,0,0,0,0,0,0,1,1,0,1,1252.8
1,1,0,1,1,1,0,1,0,0,0,0,0,0,1321.7
0,1,1,0,0,0,1,0,0,1,1,1,0,0,1425.6
0,1,1,0,0,0,0,1,0,1,1,0,0,1,1477.5
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1345.9
0,0,0,0,1,0,1,0,1,0,1,0,1,0,1118.5
0,0,0,1,1,1,0,0,0,0,0,1,1,1,1356.7
1,0,0,0,1,0,1,1,0,0,1,0,1,0,1181.8
1,0,0,1,0,1,0,1,1,0,0,0,1,0,1178.1
0,1,1,0,0,0,1,1,1,1,1,1,0,0,1142.8
1,0,1,1,0,0,0,0,1,1,1,0,1,0,1268.7
0,0,0,1,1,0,0,1,0,1,1,0,1,1,1586.5
1,1,1,1,1,0,0,1,1,1,0,0,1,0,1445.0
1,0,1,0,0,1,1,1,1,0,1,1,0,1,1429.5
0,1,0,1,1,1,0,0,1,1,0,0,1,0,1645.6
0,1,1,1,1,1,1,0,1,1,1,0,1,0,1309.5
0,1,0,1,0,0,1,1,1,1,1,0,0,0,1312.0
1,0,1,1,1,0,1,0,1,1,0,1,1,0,1394.2
1,0,0,1,1,1,1,0,0,0,1,1,1,0,1444.3
1,0,0,1,0,0,1,1,0,0,0,0,0,1,3030.3
1,1,1,0,0,1,0,0,1,0,1,0,1,1,1201.7
0,0,1,1,0,1,0,1,1,1,0,0,0,0,1284.3
1,0,0,0,1,1,0,1,0,1,1,1,1,0,1202.9
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1294.8
0,0,1,0,1,1,1,0,0,0,1,0,0,0,1377.7
1,1,1,0,0,0,0,0,0,1,1,0,0,0,1313.1
0,0,0,0,0,1,1,1,1,0,0,1,1,0,1460.5
0,0,1,1,1,0,1,1,0,0,1,0,0,0,1290.9
